Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
Nhân Viên Trợ Lý Kế Toán (Accounting Assistant),CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM TRƯỜNG PHÁT,8tr-8tr ₫/tháng,"Lầu 4, 185 Bến Vân Đồn, Phường 5, Quận 4, 965-967-969 Nguyễn Trãi, Phường 14, Quận 5, TP Hồ Chí Minh, Việt Nam",Khả năng giao tiếp và dịch thuật cơ bản bằng tiếng Trung,14/05/2025,Kế Toán/Kiểm Toán > Kế Toán Tài Chính,Hàng tiêu dùng,1,,,,,Nhân viên,"Biết Tiếng Trung, Kế Toán, Tài Chính, Tiếng Anh",Bất kỳ,Không giới hạn,,,,,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Hàng tiêu dùng, Biết Tiếng Trung, Kế Toán, Tài Chính, Tiếng Anh, CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI THỰC PHẨM TRƯỜNG PHÁT, Hồ Chí Minh"
Legal Counsel (FMCG),Navigos Search,Thương lượng,"Ho Chi Minh City, Vietnam, HCMC","• Bachelor’s or Master’s Degree in Law; licensed to practice
• Minimum 5 years of legal experience, preferably in an FMCG or multinational company setting.
• Solid knowledge of commercial, corporate, and regulatory law, particularly in the FMCG or consumer goods industry.
• Demonstrated ability to work independently and manage multiple priorities under pressure.
• Strong communication and negotiation skills with fluency in English (both written and spoken).
• Practical, solution-oriented mindset with sound business judgment.
• High level of integrity, discretion, and professionalism.",14/05/2025,Pháp Lý > Luật Lao động/Hưu Trí,Hàng tiêu dùng,5,Cử nhân,30-40,1,9:00 - 18:00,Trưởng phòng,"Commercial Law, English Fluency, Regulatory Compliance, Risk Management, Fmcg Industry Legal Matters",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Pháp Lý, Luật Lao động/Hưu Trí, Hàng tiêu dùng, Commercial Law, English Fluency, Regulatory Compliance, Risk Management, Fmcg Industry Legal Matters, Navigos Search, Hồ Chí Minh"
Thư Ký Tiếng Trung Bộ Phận Hành Chính,Play Travel Company Limited,"$ 500-1,000 /tháng","Tháp Bitexco, Tầng 56, 2 Đ. Hải Triều, P. Bến Nghé, Quận 1, TP Hồ Chí Minh","Thành thạo tiếng Trung (nghe, nói, đọc, viết); có thể giao tiếp lưu loát bằng cả tiếng Trung và tiếng Việt.
Có khả năng tháp tùng và hỗ trợ cấp trên trong các chuyến công tác và hoạt động tại Việt Nam, với tính linh hoạt cao.

Có phụ cấp tăng ca và tiền ăn theo tình hình làm việc thực tế.

Kỹ năng quản lý thời gian và tổ chức công việc tốt, có khả năng xử lý nhiều nhiệm vụ cùng lúc một cách hiệu quả.

Tỉ mỉ, cẩn thận, có tinh thần trách nhiệm cao trong công việc.

Kỹ năng giao tiếp, phối hợp và quan hệ cá nhân xuất sắc, có thể làm việc hiệu quả với cả đội ngũ nội bộ và các đối tác bên ngoài.

Thành thạo các ứng dụng Microsoft Office (Word, Excel, PowerPoint), có thể tự lập báo cáo và trình bày slide độc lập.",14/05/2025,Hành Chính Văn Phòng > Thư Ký,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,Không yêu cầu,Cao đẳng,Không hiển thị,Không hiển thị,,Mới Tốt Nghiệp,"Chinese, Windows, Office Software",Tiếng Trung Quốc,Không hiển thị,Nữ,Không hiển thị,,Toàn thời gian,"Hành Chính Văn Phòng, Thư Ký, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Chinese, Windows, Office Software, Play Travel Company Limited, Hồ Chí Minh"
"[Hưng Yên] 25 Kỹ Thuật Viên ( Không Yêu Cầu Kinh Nghiệm ) Làm Kíp, Thu Nhập Từ 10-16 Triệu",Mektec Manufacturing Corporation (Vietnam) Ltd.,Thương lượng,"KCN Thăng Long II, tỉnh Hưng Yên, Plot K-3&4, Thang Long Industrial Park II, Di Su Commune, My Hao District, Hung Yen Province, Vietnam.","- Tốt nghiệp Cao đẳng trở lên
- Không yêu cầu kinh nghiệm
- Tin học cơ bản
- Nhanh nhẹn, có thể làm Kíp ( Làm 4 ngày, nghỉ 2 ngày ; 12h/1 ngày, luân phiên kíp ngày 4 ngày liên tục đến kíp đêm )

Ví dụ : Từ thứ 4 đến thứ 7 làm từ 08:00 đến 20:00, nghỉ thứ 7 và Chủ Nhật ; làm 4 ngày tiếp theo ( từ thứ 2 đến thứ 5 ) từ 20:00 đến 08:00


Chế độ phúc lợi :
- Chế độ làm việc làm việc tốt nhất Khu công nghiệp: Chỉ làm việc từ thứ 2 đến thứ 6, nghỉ tất cả thứ 7 và chủ nhật ( đối với khối làm Hành chính )
- Chính sách lương hấp dẫn, lộ trình thăng tiến rõ ràng.
- Thưởng cuối năm hấp dẫn lên đến trên > 2 tháng lương/ năm, Chế độ Thưởng vào các ngày Lễ, Tết, ngày sinh nhật, Chế độ thăm hỏi, quà tặng...
- Nhiều tuyến xe đưa đón CNV từ Hà Nội – Hưng Yên – Hải Dương.
- Có bảo hiểm 24/7 cho toàn bộ CNV, Bảo hiểm sức khỏe cho cấp quản lý.
- Văn hóa công ty tôn trọng con người, môi trường làm việc trẻ năng động, đa quốc gia như Nhật, Hàn, Mỹ, Trung, Thái..
- Có chế độ đào tạo và phát triển nhân tài, đội ngũ kế nhiệm: công nhân viên được tham gia các khóa đào tạo nâng cao trình độ chuyên môn, nâng cao kỹ năng để phát triển sự nghiệp và bản thân ( Các Khóa kỹ năng mềm, kỹ năng quản lý, excel, Tiếng Anh, Tiếng Nhật...) đa nền tảng: Trực tiếp, online, Tư vấn (Mentoring), Khai vấn ( Coaching).
- Thư viện công ty với trên 1000 đầu sách nhiều lĩnh vực dành cho gia đình công nhân viên mượn, tham khảo.
- Cơ sở vật chất văn phòng, nhà máy, khu nghỉ dành cho công nhân viên sạch sẽ, hiện đại, tiện nghi bậc nhất khu công nghiệp, thường xuyên được đón tiếp khách cấp tỉnh, trung ương đến thăm.
- Công ty có nhiều hoạt động gắn kết cho công nhân viên: Du lịch hè, liên hoan cuối năm, ngày hội gia đình, nhiều hoạt động, hội thi sôi nổi: Ngày hội thể thao, Hội xuân, Khéo tay 8/3.
- Được phát huy sở thích, thể mạnh ở các hoạt động câu lạc bộ: Câu lạc bộ Truyền thông, câu lạc bộ Tiếng Anh, Văn nghệ, Thể thao.
- Có hoạt động thăm hỏi, hỗ trợ công nhân viên công ty và dân cư khu vực lân cận có hoàn cảnh khó khăn hàng năm.",14/05/2025,Khoa Học & Kỹ Thuật > Kỹ Thuật Điện/Điện Tử,Sản xuất,Không yêu cầu,Không giới hạn,Không hiển thị,25,,Mới Tốt Nghiệp,Tin học cơ bản,Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Sản xuất, Tin học cơ bản, Mektec Manufacturing Corporation (Vietnam) Ltd., Hưng Yên"
Nhân Viên Kinh Doanh,Công Ty TNHH Trend Marker,$ 300-600 /tháng,"Số 9, Đường 12, Phường 10, KDC CItyland Park Hill, Quận Gò Vấp, Vincom Center Đồng Khởi, Đường Lê Thánh Tôn, Bến Nghé, Quận 1, Hồ Chí Minh, Việt Nam","Kỹ năng giao tiếp tốt, dễ gần và có khả năng thuyết phục khách hàng.
Thái độ làm việc chuyên nghiệp, năng động và chịu khó học hỏi.
Sử dụng thành thạo các công cụ bán hàng online và mạng xã hội.",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Phần Mềm CNTT/Dịch vụ Phần mềm,Không yêu cầu,Cao đẳng,Không hiển thị,Không hiển thị,,Thực tập sinh/Sinh viên,"Tìm Kiếm Khách Hàng, Bán Hàng, Chăm Sóc Khách Hàng, B2B Sales, Đàm Phán Thương Lượng",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Phần Mềm CNTT/Dịch vụ Phần mềm, Tìm Kiếm Khách Hàng, Bán Hàng, Chăm Sóc Khách Hàng, B2B Sales, Đàm Phán Thương Lượng, Công Ty TNHH Trend Marker, Hồ Chí Minh"
Business HR Specialist,Abbott,Thương lượng,"Me Linh Point, 2 Ngo Duc Ke, Ben Nghe Ward, 02 Ngo Duc Ke, Dist. 1, HCM","MINIMUM BACKGROUND/ EXPERIENCE REQUIRED
- University graduate or above.
- At least 02 years’ professional working experience in human resources, prefer having background in HRBP/ Generalist

Professional Skill
• Analytical skill
• Planning & time management skill
• Problem-solving skills and can speak up and give suggestion
• Good written and oral communication skills

Behavioral / Leadership Skill
• Abbott first
• Play to win
• One step ahead
• Power by people

Language Skill
• Proficient in verbal and written communication in Vietnamese and English
Computer Skill
• Proficient in Microsoft Office",14/05/2025,Nhân Sự/Tuyển Dụng > Nhân Sự Tổng Hợp,Khác,2,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Human Resources, HRBP, HR Service",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Khác, Human Resources, HRBP, HR Service, Abbott, Hồ Chí Minh"
Giám Đốc Kinh Doanh Vùng (Mảng Giáo Dục )- Thu nhập 60 triệu + Thưởng,Công Ty Cổ Phần Đào Tạo Công Nghệ Trẻ Teky,45tr-60tr ₫/tháng,"Số B-TT01-51-53 Khu nhà ở Ngân Hà Vạn Phúc, phường Vạn Phúc, quận Hà Đông, TP Hà Nội, Tầng 2, Tòa nhà Parkview, 152 Điện Biên Phủ, p. 25, quận Bình Thạnh, TP. Hồ Chí Minh, Head office: Số B-TT01-51-53 Khu nhà ở Ngân Hà Vạn Phúc, phường Vạn Phúc, Quận Hà Đông và 22 chi nhánh học viện","• Tốt nghiệp Đại học chuyên ngành Quản trị kinh doanh, Marketing hoặc các ngành tương tự.
• Có kinh nghiệm tối thiểu 05 năm làm việc tại vị trí Quản lý, Giám đốc Cơ sở/Chi nhánh hoặc tối thiểu 02 năm làm việc các vị trí Giám đốc Vùng/Khu vực của đơn vị kinh doanh chuỗi dịch vụ đào tạo; dịch vụ khách hàng.
• Có kinh nghiệm và thành tích thực tế trong công tác xây dựng chương trình và thực hiện đào tạo đội ngũ tư vấn bán hàng chạy doanh số, dẫn dắt đội ngũ kinh doanh hoàn thành chỉ tiêu.
• Có kỹ năng quản lý, điều hành, giao tiếp, đàm phán, thuyết trình, đào tạo, huấn luyện tốt.
• Kỹ năng lập kế hoạch, tổ chức và giám sát công việc.
• Kỹ năng tư duy/phân tích/tổng hợp.
• Kỹ năng sale tốt, quản lý đội ngũ.
• Chủ động và sáng tạo trong công việc.
• Nhiệt tình và có trách nhiệm cao.",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Giáo dục/Đào Tạo,5,Cử nhân,30-45,2,9:00 - 18:00,Giám Đốc và Cấp Cao Hơn,"Giao Tiếp Chủ Động, Kỹ năng giao tiếp, Kỹ năng giao tiếp, Kỹ Năng Quản Lý, Marketing Development, Quản Trị Kinh Doanh",Bất kỳ,Người Việt Nam,Bất kỳ,Bất kỳ,T3 - CN,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Giáo dục/Đào Tạo, Giao Tiếp Chủ Động, Kỹ năng giao tiếp, Kỹ năng giao tiếp, Kỹ Năng Quản Lý, Marketing Development, Quản Trị Kinh Doanh, Công Ty Cổ Phần Đào Tạo Công Nghệ Trẻ Teky, Hà Nội, Hồ Chí Minh"
[Remote] Senior Social Media Specialist,Navigos Search,Thương lượng,"Ho Chi Minh, Vietnam, HCMC","• 3-5 years of experience in social media, preferably within the e-commerce or home décor industry
• Commercial mindset with a focus on achieving business objectives and driving sales through social media and affiliate channels.
• Strong ability to create engaging content for social media, with experience collaborating on visuals and copy for both organic and paid ads.
• Proficiency in using social media automation tools such as ManyChat, and Hootsuite for content scheduling, social media management, and performance analytics.
• Proven track record of building and growing social media communities from scratch.
• Ability to create engaging visual content (photos, videos), with design skills in tools like Canva or Adobe Photoshop being a plus.
• Strong understanding of the US market and consumer behavior.
• Experience with affiliate platforms and managing influencer partnerships is a plus.
• Excellent English communication skills with attention to detail.
• Strong visual aesthetic sense.",14/05/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị Trực Tuyến",Truyền thông/Báo chí/Quảng cáo,3,Không giới hạn,Không hiển thị,Không hiển thị,08:00 - 17:00,Nhân viên,"Affiliate Marketing, Community Development, Content Creation, English Communication, Social Media Marketing",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị Trực Tuyến, Truyền thông/Báo chí/Quảng cáo, Affiliate Marketing, Community Development, Content Creation, English Communication, Social Media Marketing, Navigos Search, Hồ Chí Minh"
Head Of Sales (MT & GT) - FMCG,Navigos Search,"$ 3,000-4,000 /tháng","District 1, Vietnam, HCMC","• Age: around 35
• Gender: Male is preferable
• Education level: Bachelor
• Experience: Having at least 3 years as an ASM/NSM who overseeing sales for both MT and TT channels (mainly) in the southern area at a food manufacturer.
• Specific Experience:
- Must be knowledgeable in building a TT distributors network in each province in the southern area (as FVC plan to build a new sales TT distributor network with short time.
- Management skills are essential.
• Language: English – Business level",14/05/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Hàng tiêu dùng,3,Cử nhân,34-40,1,9:00 - 18:00,Giám Đốc và Cấp Cao Hơn,"Distribution Network, FMCG sales experience, Leadership, Market Development, Sales Management",Tiếng Anh,Người Việt Nam,Nam,Bất kỳ,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Distribution Network, FMCG sales experience, Leadership, Market Development, Sales Management, Navigos Search, Hồ Chí Minh"
Ecommerce Business Development Manager - Temporaty 7 Months,Reckitt (Vietnam),Thương lượng,"Ho Chi Minh, Floor 4th, The Metropolitan Building, 235 Dong Khoi Street, District 1, HCM","Education:
Bachelor's degree in Marketing, Business, Commerce, or a related field
Background:
Minimum 3 years of experience in eCommerce and eRetailer relationship management, with a background in sales
Prior experience in 3P business models or TikTok business development is highly preferred and will be a valuable asset in this role
Strong familiarity with market trends, online customer behavior, and digital marketing strategies, ensuring effective business planning
Competencies:
Exceptional negotiation & networking skills for building strategic partnerships and managing vendor relations
Data-driven mindset, with the ability to analyze sales performance metrics and optimize strategies for growth
Project management expertise, overseeing campaign execution, online business expansion, and cross-platform initiatives
Strong ability to collaborate with cross-functional teams (marketing, finance, distributor) to drive revenue and operational efficiency
Problem-solving & adaptability, with a proactive approach in navigating the fast-paced and evolving e-commerce landscape",14/05/2025,Khác > Khác,Thương mại điện tử,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Ecomerce, Tiktok, Lazada Ads",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Khác, Khác, Thương mại điện tử, Ecomerce, Tiktok, Lazada Ads, Reckitt (Vietnam), Hồ Chí Minh"
