Title,Company,Salary,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
Chuyên Viên BIM,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG SGC,Thương lượng,"Vinhomes Ocean Park, Gia Lâm, Tầng 10, Tòa nhà VP TechnoPark, Vinhomes Ocean Park, Gia Lâm, Hà Nội","• Chịu trách nhiệm duy trì việc tạo lập thông tin và đảm bảo chất lượng mô hình BIM ở các nhóm thiết kế dự án.
• Thiết lập và quản lý hệ thống môi trường dữ liệu chung sử dụng cho dự án (CDE).
• Thực hiện mô hình hóa thông tin công trình, cập nhật, chỉnh sửa mô hình theo chuyên môn.
• Kiểm soát chất lượng, tính toàn vẹn của mô hình, đảm bảo các xung đột trong mô hình 3D từng bộ môn được giải quyết trước khi phối hợp đa bộ môn.
• Phối hợp mô hình các bộ môn / nhà thầu, xuất báo cáo xung đột thông qua các cuộc họp điều phối tại các mốc quan trọng được xác định trong Kế hoạch thực hiện BIM.
• Phối hợp với các bộ môn khác để xử lý các thay đổi về thiết kế và các điều chỉnh sau khi phối hợp mô hình.
• Xuất bản mô hình, trích xuất thông tin, bản vẽ triển khai từ mô hình khi cần.
• Đào tạo phần mềm và các công cụ BIM cho đội ngũ cán bộ thiết kế và các bộ phận liên quan đến dự án áp dụng BIM.
• Thực hiện các công việc khác theo chỉ đạo của CBLĐ trực tiếp.","• Tối thiểu 3 năm kinh nghiệm làm việc trong lĩnh vực BIM.
• Có kiến thức vững về các phần mềm BIM như Revit, Navisworks, và các công cụ liên quan.
• Kỹ năng giao tiếp tốt và khả năng làm việc nhóm.
• Có khả năng phân tích và giải quyết vấn đề hiệu quả.
• Chịu được áp lực công việc và có khả năng quản lý thời gian tốt.
• Có kinh nghiệm trong việc đào tạo và hướng dẫn nhân viên mới.
• Tốt nghiệp đại học chuyên ngành xây dựng, kiến trúc hoặc các ngành liên quan.",15/10/2025,Kiến Trúc/Xây Dựng > Xây Dựng,Kỹ thuật xây dựng/Cơ sở hạ tầng,3,Cử nhân,Không hiển thị,1,9:00 - 18:00,Nhân viên,"BIM Application, Navisworks, Problem-solving, Revit, Teamwork",Tiếng Việt,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T7,Toàn thời gian,"Kiến Trúc/Xây Dựng, Xây Dựng, Kỹ thuật xây dựng/Cơ sở hạ tầng, BIM Application, Navisworks, Problem-solving, Revit, Teamwork, CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG SGC, Hà Nội"
Senior Network and System Engineer,Coherent Vietnam,Thương lượng,"2A – 1.F1, Tran Phu Street, Nhon Trach I Industrial Park, Nhon Trach Ward, Dong Nai Province, Vietnam, Số 36, đường số 4, Khu công nghiệp VSIP I, Thành phố Thuận An, Tỉnh Bình Dương","Company Overview:
Coherent Corp. is a global leaders in datacenter and communications industries. Headquartered in Saxonburg, Pennsylvania, USA, and founded in 1971, Coherent operates in over 20 countries worldwide. Since entering Vietnam in 2005, Coherent has expanded to over 2,400 employees across Binh Duong (VSIP1), Dong Nai (Nhon Trach 1), Hanoi, and Bac Ninh (Yen Phong IP). As part of our global growth strategy and commitment to local talent development, we aim to create over 4,000 new job opportunities in Vietnam within the next five years.

Work Location: NHƠN TRẠCH 1 - ĐỒNG NAI

Job Summary: Administer and implement high-availability network and computing infrastructure technologies and services serving the users. Promote and enforce infrastructure standards for operations, security, and data integrity and for availability, performance, and capacity management. Provide support to technical team members in regarding to systems maintenance, implementation, and troubleshooting. Collaborate with regional and global team members. Provide leadership and assistance in the selection, set up, implementation and support of information technology solutions and business process change management to support the manufacturing environment.

Primary Duties & Responsibilities
Providing setup and manage IT network and system for Vietnam sites
Support all IT Requests at local sites when needed","Education & Experience
Bachelor’s degree in computer science, Information Technology or related specializations
5+ years of experience in network and system management and administration with 1+ years managerial/leadership experience. 
MCSE and Cisco certification desired 

Skills
Strong knowledge of network operating systems, (Windows Server) and data communication protocols and technologies.
Demonstrated project planning, project management, documentation, problem-solving and work prioritization skills.
Excellent customer service skills including telephone techniques, listening skills, sense of urgency and enthusiasm.
Excellent interpersonal and communication skills; ability to communicate effectively with end-users and management.
Good command of spoken and written Vietnamese and English.
Must be both team-oriented and self-motivated.
Familiarity with administration and support of voice communications.
Culturally sensitive – values diversity, able to understand and cooperate with other team members from different cultures.
Willing to travel, internationally and domestically.

What We Offer:
• Flexible Working Hours: Standard 40-hour workweek with flexible arrangements to support work-life balance and productivity.
• Free Shuttle Service: Staff transportation from Dong Nai and Ho Chi Minh City to our offices in Nhon Trach and VSIP1.
• Competitive Compensation Package: Competitive salary with annual reviews, plus allowances for accommodation, transportation, parking.
• Attractive Annual Bonus: From 1.96 to 4.00 months of salary, including the 13th-month bonus (effective for new offers from July 2025).
• Premium Health Insurance: Comprehensive BVH coverage for employees, with optional family inclusion.
• Employee Well-being & Development: Training programs, annual health check-ups, holiday gifts, travel opportunities, sports events, and more.

At Coherent, our people are the driving force behind our success. Through continuous improvement in talent acquisition and management, we deliver a seamless and inclusive experience that empowers individuals to thrive. Our commitment to diversity, equity, and inclusion ensures every candidate and employee is valued, supported, and positioned to make meaningful contributions to our mission and long-term growth.

Join Coherent and become part of a team, today.",15/10/2025,Công Nghệ Thông Tin/Viễn Thông > Quản Lý Công Nghệ Thông Tin,Hệ thống CNTT & Thiết bị,5,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Information Technology, Network Management, System Management, MCSE, Cisco",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Quản Lý Công Nghệ Thông Tin, Hệ thống CNTT & Thiết bị, Information Technology, Network Management, System Management, MCSE, Cisco, Coherent Vietnam, Đồng Nai"
Senior ERP Developer (SAP/ABAP),Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận (PNJ),Thương lượng,"170E Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, 170E Phan Đăng Lưu, Phường 03, Quận Phú Nhuận, Tp. Hồ Chí Minh","Mô tả công việc
1. Lập trình ABAP
• Tư vấn giải pháp về Technical cho các dự án liên quan đến Core SAP.
• Lập trình bằng ngôn ngữ ABAP cho hệ thống SAP ERP ( Adobe Form / Odata / Dynpro, ALV ).
• Lập trình SAPUI5/Fiori.
• Phân hệ thực hiện FI, CO, MM, PP, SD.
• Cài đặt cấu hình cho các chức năng integration.
• Test thử nghiệm.
• Phối hợp với Bộ phận Phân tích nghiệp vụ & Vận hành ERP đào tạo nghiệp vụ cho EndUser.
2. Thực hiện các công việc đào tạo, hướng dẫn cho các đơn vị trong dự án.
• Thực hiện các công việc của Quản lý cao cấp/Chuyên gia.","Bằng cấp và chuyên ngành:
• Đại học trở lên.
• Chuyên ngành: CNTT.
• Trình độ ngoại ngữ: Tiếng Anh - Đọc hiểu tài liệu tốt.
• Các học vấn khác cần cho ngành nghề: Có kiến thúc nghiệp vụ về mảng dữ liệu.
CÁC KINH NGHIỆM LIÊN QUAN
• Số năm kinh nghiệm ở vị trí tương đương (phạm vị, quy mô, ngành nghề…): 03 năm trở lên.
• Số năm kinh nghiệm làm việc có liên quan đến công việc hiện tại: tối thiểu 02 năm trong lĩnh vực SAP/ABAP.",15/10/2025,Công Nghệ Thông Tin/Viễn Thông > Phần Mềm Máy Tính,Phần Mềm CNTT/Dịch vụ Phần mềm,3,Cử nhân,15-60,1,9:00 - 18:00,Nhân viên,"ABAP, English Reading, Manage ERP Software, SAP, Technical Management",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Phần Mềm Máy Tính, Phần Mềm CNTT/Dịch vụ Phần mềm, ABAP, English Reading, Manage ERP Software, SAP, Technical Management, Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận (PNJ), Hồ Chí Minh"
Senior Legal Manager – Blockchain & Digital Asset Exchange,"Galaxy Digital Holdings Co., Ltd (GH)",Thương lượng,"D1 Road, Hi-tech park, District 9, Galaxy Innovation Hub, Road D1, Hi-Tech Park, District 9, HCMC.","Overview
Galaxy Holdings is building Vietnam’s first integrated blockchain and digital asset ecosystem — spanning fintech, loyalty, and technology ventures. We are seeking an experienced Senior Legal Manager to design, lead, and govern the full legal and compliance framework for the Group’s Digital Asset Exchange and blockchain initiatives.
This role is both strategic and hands-on — advising leadership, ensuring 100% regulatory compliance, and enabling innovation in a fast-evolving legal environment. You will also collaborate with global partners and represent Galaxy Holdings in key blockchain and fintech forums.

Job Description:
• Advise the BOD on corporate structure, joint ventures (including those with foreign partners), capital, governance, and IP matters.
• Research, monitor, and advise the BOD on draft laws, decrees, and policies related to digital assets, as well as on legal issues arising during project implementation, including but not limited to: capital structure, corporate governance, labor, and intellectual property; participate in policy-building consultations when required.
• Develop and implement the overall legal strategy, entity structure, and compliance framework for blockchain and digital asset operations.
• Prepare and manage licensing procedures, legal filings, and regulatory documentation for exchange and token-related activities.
• Establish and monitor AML/KYC, data protection, and cybersecurity compliance frameworks in line with Vietnamese and international standards.
• Research, update and track new regulations, laws, and policies on blockchain, digital assets, data privacy, and cybersecurity; provide timely advisory to senior management.
• Lead and develop the internal legal team; coordinate with external counsels, regulators, and government agencies to ensure alignment and compliance.
• Build internal awareness and deliver in-house compliance training programs for relevant business units.
• Prepare regular compliance reports for the Group Legal Director and BOM; propose process improvements and mitigate legal risks.
• Maintain a culture of integrity, transparency, and proactive problem-solving, positioning Legal as a strategic business partner.
• Ensure 100% legal and regulatory compliance.
• Complete licensing milestones on time and without violations.
• Contribute to continuous process improvements and legal innovation.","• Bachelor’s or Master’s degree in Law or International Law; LL.M or international certification in Fintech/Blockchain is a strong plus.
• 7–10 years of legal experience, with at least 3 years in management or leadership roles.
• Deep knowledge of digital assets, cryptocurrency, and blockchain regulations, including emerging trends and legal risks.
• Proven experience in joint ventures, cross-border structuring, or government relations.
• Strong leadership, stakeholder management, and negotiation skills.
• Excellent English communication and legal drafting capabilities.
• Hands-on, execution-oriented mindset with high integrity, collaboration, and continuous learning spirit.
• Passionate about building a “Legal as Enabler” culture that empowers business growth while ensuring full compliance.",15/10/2025,Pháp Lý > Tư Vấn Pháp Lý,Luật/Dịch vụ pháp lý,7,Cử nhân,Không hiển thị,1,08:30 - 17:30,Trưởng phòng,"Blockchain knowledge, Financial Law, Investment Advisory, Digital Asset Regulations, Joint Ventures Experience",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Pháp Lý, Tư Vấn Pháp Lý, Luật/Dịch vụ pháp lý, Blockchain knowledge, Financial Law, Investment Advisory, Digital Asset Regulations, Joint Ventures Experience, Galaxy Digital Holdings Co., Ltd (GH), Hồ Chí Minh"
Phiên Dịch Tiếng Trung,Công Ty TNHH Điện Tử Meiko Hòa Bình,$ 600-800 /tháng,"Khu công nghiệp Bờ Trái Sông Đà, Hữu Nghị, Hòa Bình, Vietnam, Khu công nghiệp Bờ Trái Sông Đà, phường Hữu Nghị, TP Hòa Bình","- Phiên dịch trực tiếp cho các bộ phận, dịch tài liệu hồ sơ.
- Các công việc khác nếu có.","- Tốt nghiệp đại học.
- Sử dụng thành thạo tiếng Trung (4 kĩ năng). Chứng chỉ tiếng HSK 5 trở lên (hoặc chứng chỉ khác tương đương).
- Ưu tiên ứng viên có kinh nghiệm làm nhà máy.
- Sẵn sàng làm việc tại Hòa Bình.

(CV nộp song ngữ Việt - Trung)",15/10/2025,Hành Chính Văn Phòng > Biên Phiên Dịch,Điện/Điện tử,Không yêu cầu,Cử nhân,Không hiển thị,10,,Nhân viên,"Tiếng Trung, Phiên Dịch, Biên Phiên Dịch Tiếng Trung, Tiếng Anh, Biên Phiên Dịch",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hành Chính Văn Phòng, Biên Phiên Dịch, Điện/Điện tử, Tiếng Trung, Phiên Dịch, Biên Phiên Dịch Tiếng Trung, Tiếng Anh, Biên Phiên Dịch, Công Ty TNHH Điện Tử Meiko Hòa Bình, Hòa Bình"
Chuyên Viên Phòng Kỹ Thuật Sản Xuất (PE),Công Ty TNHH Điện Tử Meiko Hòa Bình,"$ 600-1,200 /tháng","Khu công nghiệp Bờ Trái Sông Đà, Hữu Nghị, Hòa Bình, Vietnam, Khu công nghiệp Bờ Trái Sông Đà, phường Hữu Nghị, TP Hòa Bình","- Đưa vào khởi động thiết bị mới.
- Kiểm chứng điều kiện sản phẩm mới.
- Tổng hợp báo cáo, quản lý công đoạn, phân tích dữ liệu.
- Kiểm chứng Lưu trình mới.
- Lập tiêu chuẩn quản lý công đoạn.""","- Tốt nghiệp Đại Học chuyên ngành liên quan Gia công cơ khí, điện điện tử, kỹ thuật hóa học.
- Có ít nhất 3 năm kinh nghiệm về PCB/FPCB... liên quan đến thiết bị NC, Router, Laser / mạ đồng điện hoặc mạ đồng không điện phân / công đoạn AOI, AOS, AVI.
- Yêu cầu có kỹ năng tổng hợp dữ liệu, phân tích và cải tiến, đối ứng với các phòng ban liên quan.
- Ưu tiên nhân viên đã từng làm việc tại công ty Nhật.",15/10/2025,Kỹ Thuật > Cơ Khí Tự Động Hoá,Điện/Điện tử,3,Cử nhân,Không hiển thị,10,,Nhân viên,"Tự Động Hóa, Kỹ Thuật, Điện tử, Kỹ Thuật Sản Xuất, Ngoại ngữ",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kỹ Thuật, Cơ Khí Tự Động Hoá, Điện/Điện tử, Tự Động Hóa, Kỹ Thuật, Điện tử, Kỹ Thuật Sản Xuất, Ngoại ngữ, Công Ty TNHH Điện Tử Meiko Hòa Bình, Hòa Bình"
"Market Executive, Vietnam",Trip.com Group,Thương lượng,Ho Chi Minh City,"In this Role, you'll get to

 * Provide administrative support to the hotels team and the hotel supply network.
 * Support the team with the maintenance of hotel relationships and to coordinate with other departments involved in the assigned project.
 * Train new hotel partners on how to use the extranet, manage rates and availability on site.
 * Assist in activation of hotels, and work with Market Managers to manage property accounts.
 * Resolve all issues relating to accounting, allotment, notification, cancellations, etc.
 * Participate in market and competition research.
 * Evaluate production and determine follow up action.
 * Prepare business review reports as necessary.
 * Co-ordinate the merchandising activities for hotel partners with special deals and promotions.
 * Responsible for timely and accurate delivery of content and photos for new and existing hotels.
 * Manage other ad-hoc administrative requests and operative tasks.

 What you'll Need to Succeed

 * Bachelor's degree in Business, Hospitality, or related field.
 * Experience in hospitality is preferred.
 * Fluent in English & Chinese, with excellent written and verbal communication skills in order to liaise with stakeholder from different country
 * Fast learning capability and be able to work independently.
 * Dynamic, positive, and a good team player.
 * Proficiency in Microsoft Word, Excel, Outlook, and PowerPoint.

Why Trip.com Group

 We offer a stage to unleash your full potential and drive global impact. As an international team, we embrace an open and inclusive culture that supports and respect team members in and out of the workplace. Everyone is on a trip, whether it's a career trip or a life trip. At Trip.com Group, you can define your own trip by setting a goal and celebrate your success by recognizing the progress you have made. 

What's more? 

 * Our rapid business growth in global offers abundant career opportunities at various levels and in multiple functions
 * Internal transfer is encouraged, and global job rotation program enable you to pursue a global career path and make global impact
 * We provide learning opportunities to further your career in areas of leadership capability, soft skill and professional expertise.
 * Have fun with company-sponsored greetings and activities at holidays, birthdays, and colorful team events.
 
Find out more job opportunities at https://careers.trip.com
 
 
Have a good trip, and see you soon!","This role is a sales operations role, supporting our Hotel Business Unit. Strong data sense and communication skills are required for this role.",15/10/2025,N/A,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,1,Không giới hạn,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Sales Coordination, Account Management, Administrative support & coordination, Communication and negotiation skills",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Sales Coordination, Account Management, Administrative support & coordination, Communication and negotiation skills, Trip.com Group, Hồ Chí Minh"
Chinese Speaking - Client Services Associate,Navigos Search,18tr-23tr ₫/tháng,"District 1, Ho Chi Minh City, Vietnam, HCMC","• Act as a bridge between clients and industry experts by understanding client needs and finding the right experts to support them.
• Research industries and companies to identify experts with the most relevant experience.
• Reach out to potential experts by phone, email, or LinkedIn to confirm their suitability.
• Evaluate and select the best experts based on client requirements and quality standards.
• Work on multiple client projects, developing skills in sales, communication, time management, and negotiation.","• Bachelor's degree in Business, Economics, International Relations, or related fields.
• Open for Fresher
• Fluent in Chinese, and working proficiency in English (reading, writing, and basic communication)
OR
• Fluent in English, and working proficiency in Chinese (reading, writing, and basic communication)
• Energetic, open, and growth mindset personality.
• Willing to do the sales job, clear motivation
• Excellent communication, problem-solving
• High ability in Logical thinking",15/10/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Cung cấp nhân lực,1,Cử nhân,22-30,1,9:00 - 18:00,Nhân viên,"Chinese Communication, Chinese Communication, Chinese Communication, English Language Proficiency, HR Consulting, Logical Thinking, Problem-solving",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Cung cấp nhân lực, Chinese Communication, Chinese Communication, Chinese Communication, English Language Proficiency, HR Consulting, Logical Thinking, Problem-solving, Navigos Search, Hồ Chí Minh"
Sales Manager – Life Sciences Market / Laboratory Equipment,ESCO Vietnam Limited Liability Company,Thương lượng,"14 Lô G3 Khu định cư Tân Quy Đông, đường số 53, Phường Tân Phong, Quận 7, TP. Hồ Chí Minh, Việt Nam, HCMC Branch Office: No. 14 - Lot G3, Street No. 53, Tan Quy Dong Settlements, Tan Phong Ward, District 7, HCMC, Vietnam","The Opportunity
Esco Group is a renowned Singapore-based life science company with a diversified portfolio and sales in over 100 countries. As a world leading manufacturer of laboratory and biopharma equipment, and IVF medical devices, Esco offers tailored solutions that fit the needs of laboratories.
With three divisions, namely, Life Sciences, Medical and Healthcare, Esco contributes to meet the challenges of the 21st century by continuously innovating our products to support cutting-edge research, helping biopharmaceutical companies make their drugs safer and more cost-effective, enabling lower cost manufacturing of vaccines, and directly through innovative medical devices and diagnostics

The Ideal Candidate Would Possess:
• Degree/Diploma in Science or Engineering or other relevant fields
• Background: Scientific industry. With experience in life sciences market
• Experience in sales of laboratory equipment preferred but not mandatory
• Laboratory experience including working with standard equipment such a biosafety cabinet, incubator, fume hoods etc will be a plus
• Excellent communication, interpersonal and presentation skills
• Able to work independently in fast-paced work environment
• Able to work long hours when required to accommodate communication with stakeholders from different time zones
• Self-driven, results - oriented and able to work well under pressure
• Able to start work within short notice","Main Duties
Responsibilities:
• Achieve sales target
• Execute specific growth strategies in line with global growth / business plan of the company
• Sustain and develop new sales / distribution channels
• Conduct end user awareness seminars
• Conduct sales and product training for distributors
• Support operations process, work with multiple stakeholders to review and effect changes when required. This includes answering technical questions, preparation of project/tender documents, addressing service-related technical issues and making joint-customer visits where necessary.
• Translate where necessary selected sales and marketing materials
• Support new product launches, build and execute on pre-planned strategies. This includes organising exhibitions, webinars, email blast campaigns and trainings.
• Continuous analyses of markets (Healthcare, Research, Industries, Education etc) and competitors .
• Monitor and analyse sales performance. This includes conducting frequent meetings with the channel partner.
• Prepare monthly sales and marketing report
• Follow up on sales pipeline and align measures to increase effectiveness and efficiency
• Perform other related duties as assigned",15/10/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Dịch vụ Y tế/Chăm sóc sức khỏe,2,Không giới hạn,Không hiển thị,Không hiển thị,08:00 - 17:30,Trưởng phòng,"Laboratory Equipment, Sales Management, Engineering, Science background, strong logical critical thinking, Science",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Dịch vụ Y tế/Chăm sóc sức khỏe, Laboratory Equipment, Sales Management, Engineering, Science background, strong logical critical thinking, Science, ESCO Vietnam Limited Liability Company, Hồ Chí Minh"
"Assistant Manager, Claims (Care & Complaint Handling)",FWD Vietnam Life Insurance Company Limited,Thương lượng,"Ho Chi Minh City, Vietnam, 11th Floor, Diamond Plaza Building, 34 Le Duan Street, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam","- The role of claim ambassador aims to deliver the best customer experience to achieve FWD’s vision “Changing the way customers feel about insurance”. Claim ambassador is Claims Department’s representative in communication with customers and distribution channels to support claimants/ customers in claim process (specialized in major claim) from submission to decision/ payment.
- In the other hand Claim ambassador has some activities to take care customers such as visiting Life Assured (for special cases) at home to give company’s gift or give some advices to customer on treatment methods/ good hospitals.

THE JOB:
- Take care customer in major claim case (CI/ Death/ TPD) and support minor case (if needed).
+ Take care of customer on phone (after receiving claim submission).
+ Pending letter: call out to explain required documents and support.
+ In case of declined or partial approved: call to explain decision.
+ TPD case: visit customer with gifts also advise treatment method/ hospital.
- Handle claim inquiries/ complaints effectively in line with company guidelines and give customer satisfaction;
- Co-ordinate across departments in case of customer experience/ distribution channel issues;
- Follow up resolve complicated complaining cases;
- Contribute to build up and improve Claims systems to help daily operation of faster more accurate and convenient
- Representative of Claims to communicate with Distribution channels.
- Collaborate with TPA to handle all issues relating to customers and distribution channels arising from minor claim. Support to follow up TPA's quality;
- Review and revise all coummunication forms generated from Claims.","THE PERSON:
- University Graduate in Economics Finance or Medical University is preferable;
- LOMA certificate is preferable;
- 5 years experience in claims field at life insurance company is preferable.
- Good command of English and Vietnamese;
- Experienced in claim assessment or knowledge of insurance would be great advantage;
- Effective interpersonal skills and good teamwork spirit.
- Customer Service Mindset;
- Well organized and good time management;
- Pro-active innovative integrity meticulous and diligent;
- Strong manner of carefulness responsibilities problem solving decision making management under high pressure and upon challenges;
- Able to work under high pressures",15/10/2025,Bảo Hiểm > Bồi Thường Bảo Hiểm,Bảo hiểm,5,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Claims Handling, Insurance Claims, Complaint Handling, Customer Care Mindset",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Bảo Hiểm, Bồi Thường Bảo Hiểm, Bảo hiểm, Claims Handling, Insurance Claims, Complaint Handling, Customer Care Mindset, FWD Vietnam Life Insurance Company Limited, Hồ Chí Minh"
