Title,Company,Salary,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
Chuyên Viên Hành Chính Nhân Sự,Công Ty Cổ Phần Tập Đoàn Trân Châu,$ 600-800 /tháng,"99P Đường Cộng Hòa, Phường 4, Tân Bình, Ho Chi Minh City, Vietnam, 99P Cộng Hòa, phường 4, Tân Bình, HCM","- Phụ trách các chức năng của phòng nhân sự bao gồm việc tiến hành trả lương, tuyển dụng, đào tạo, định hướng nhân viên, phúc lợi nhân viên và lợi ích, bồi thường và các vấn đề kỷ luật.
- Đảm bảo thời gian trả lương và sự chính xác của các dữ liệu khi chuyển lương.
- Duy trì và cập nhật báo cáo nhân sự.
- Chuẩn bị báo cáo nhân sự hàng tháng cho cấp trên.
- Giữ liên hệ với các cơ quan pháp luật về các vấn đề liên quan.
- Giữ liên lạc với các cơ quan chính phủ về gia hạn giấy phép lao động và các giấy phép khác.
- Chịu trách nhiệm về các vấn đề hành chính hằng ngày của văn phòng.
- Đảm bảo các thiết bị và đồ dùng văn phòng được bảo quản tốt.
- Quản lý và chịu trách nhiệm các chuyến công tác của Tổng giám đốc và tất cả nhân viên: đặt vé máy bay, sắp xếp xe, đặt phòng khách sạn, xin thị thực, quyết định công tác
- Bảo đảm các hồ sơ được sắp xếp một cách hệ thống, lưu giữ các hồ sơ thông tin riêng tư và bảo mật.
- Quản lý hành chính để đảm bảo hoạt động làm việc suôn sẻ tại văn phòng và các tài sản, thiết bị của công ty luôn ở điều kiện tốt
- Hỗ trợ cấp trên quản lý và giám sát nhân viên cấp dưới.
- Thực hiện các nhiệm vụ khi được giao.","- Tốt nghiệp đại học chuyên ngành nhân sự/ quản trị kinh doanh hoặc liên quan
- 2 năm kinh nghiệm trong lĩnh vực hành chinh-nhân sự
- Kỹ năng Anh Văn tốt (nghe, nói, đọc, viết)
- Sử dụng thành thạo tin học văn phòng (Word, Excel, Power Point…)
- Khả năng sắp xếp công việc, cẩn thận, tỉ mỉ, linh động
-Quản lý hồ sơ nhân viên
-Thực hiện các thủ tục hành chính,
-Hỗ trợ tuyển dụng, quản lý văn phòng, và đảm bảo tuân thủ quy định pháp luật.
-Tham gia vào các hoạt động như tổ chức sự kiện, quản lý tài sản, và hỗ trợ các hoạt động nội bộ khác.",23/07/2025,Nhân Sự/Tuyển Dụng > Nhân Sự Tổng Hợp,Hàng tiêu dùng,2,Cử nhân,27-40,Không hiển thị,,Nhân viên,"Tuyển Dụng, Nhân Sự, Human Resources, Hành Chính Nhân Sự, HR",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Hàng tiêu dùng, Tuyển Dụng, Nhân Sự, Human Resources, Hành Chính Nhân Sự, HR, Công Ty Cổ Phần Tập Đoàn Trân Châu, Hồ Chí Minh"
HRBP Chuyên viên Nhân sự - Vận hành | Focus C&B,Công Ty TNHH Thái Mậu,15tr-20tr ₫/tháng,"53 Hà Huy Tập, Phường Tân Hưng, TP. Hồ Chí Minh, 53 Hà Huy Tập, Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","MÔ TẢ CÔNG VIỆC:
1. Quản trị dữ liệu nhân sự & hiệu suất vận hành
• Quản lý toàn bộ dữ liệu nhân sự trên hệ thống Base.vn, đảm bảo chính xác ≥ 98% và cập nhật đúng hạn 100%.
• Thiết lập và duy trì dashboard theo dõi tình trạng nhân sự từng chi nhánh (tăng/giảm nhân sự, tỷ lệ nghỉ việc, đi trễ, hiệu suất làm việc…).
• Báo cáo định kỳ hàng tuần/tháng về hiệu quả nhân sự cho Ban giám đốc & Quản lý vận hành.
2. Triển khai hệ thống KPI – C&B – chính sách nhân sự
• Phối hợp cùng vận hành để triển khai hệ thống KPI theo từng cấp bậc (Trainee → SM), đảm bảo tỷ lệ áp dụng ≥ 90%.
• Theo dõi và kiểm tra tính chính xác lương – thưởng – phụ cấp hàng tháng trên Base; đối chiếu số liệu thực tế với kế toán.
• Phối hợp xử lý các trường hợp sai lệch dữ liệu kịp thời, đảm bảo độ chính xác lương ≥ 95%.
• Chủ động đề xuất tối thiểu 3 cải tiến mỗi tháng liên quan đến cơ chế lương, KPI, hoặc chính sách vận hành nhân sự.
3. Đồng hành đào tạo & phát triển đội ngũ chi nhánh
• Cùng Quản lý chi nhánh triển khai chương trình đào tạo nội bộ cho nhân sự mới theo lộ trình 10–30–60 ngày.
• Hướng dẫn và kiểm tra tiến độ đào tạo tại cửa hàng: on-the-job, họp ca, test đầu vào, test sau đào tạo…
• Sử dụng các công cụ AI (ChatGPT, Google Sheet AI…), checklist, video nội bộ để hỗ trợ việc học – ghi nhớ – kiểm tra.
• Đảm bảo tỷ lệ hoàn thành đào tạo đúng tiến độ của nhân sự mới ≥ 90%, đánh giá từ SM/AM ≥ 4.0/5.
4. Truyền thông nội bộ & lan tỏa văn hóa chi nhánh
• Truyền tải chính sách, quy định, hướng dẫn công việc… đến đội ngũ vận hành bằng ngôn ngữ đơn giản, dễ hiểu, đúng thời điểm.
• Phối hợp xây dựng & tổ chức nội dung họp ca, bảng tin, poster, video, checklist… phù hợp từng thương hiệu (Đông Nguyên, DONDON, Đông Hỷ).
• Đảm bảo nhân viên hiểu đúng ≥ 85% các nội dung được truyền thông (dựa trên khảo sát nhanh, phản hồi thực tế).
5. Đề xuất cải tiến & ứng dụng công nghệ
• Phát hiện điểm chưa tối ưu trong quy trình nhân sự – vận hành, chủ động đề xuất các giải pháp cải tiến hiệu quả, dễ thực thi.
• Sử dụng thành thạo các công cụ: Base WorkFlow, Google Sheet, AppScript, ChatGPT… để tăng tốc độ xử lý và số hóa công việc.
• Mỗi tháng cần có tối thiểu 3 đề xuất cải tiến, trong đó ≥ 50% được thực thi thử nghiệm hoặc duyệt triển khai chính thức.","YÊU CẦU CHUNG:
• Có ≥3 năm kinh nghiệm nhân sự, trong đó ít nhất 1 năm làm C&B hoặc HRBP tại môi trường chuỗi F&B, bán lẻ.
• Hiểu sâu và từng triển khai thực tế hệ thống lương 3P, KPI, đánh giá hiệu suất cho nhân sự vận hành.
• Sử dụng thành thạo Base.vn, Google Sheets, biết tạo báo cáo – kiểm tra lương – phối hợp với kế toán và vận hành.
• Có tư duy dữ liệu – logic – hệ thống; chủ động đề xuất cải tiến chính sách C&B sát thực tế.
• Giao tiếp tốt với chi nhánh, làm việc độc lập, phối hợp hiệu quả với SM – AM – HRM.
• Ưu tiên ứng viên đã quen làm việc với công cụ AI (ChatGPT, Sheet AI) và có tinh thần học hỏi – cải tiến liên tục.",23/07/2025,Nhân Sự/Tuyển Dụng > Nhân Sự Tổng Hợp,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,3,Cử nhân,24-100,1,09:00 - 18:00,Nhân viên,"Giao Tiếp, Quản Trị Dữ Liệu, Sử Dụng Công Cụ Ai, Triển Khai KPIs, Đào Tạo Nhân Sự",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T7,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Giao Tiếp, Quản Trị Dữ Liệu, Sử Dụng Công Cụ Ai, Triển Khai KPIs, Đào Tạo Nhân Sự, Công Ty TNHH Thái Mậu, Hồ Chí Minh"
Card Operations Management Expert,FE CREDIT,"$ 1,100-1,500 /tháng","Tầng 2, Tò nhà REE Tower, Số 9 Đoàn Văn Bơ, Phường 13, Quận 4, TP. HCM, 3B Floor, REE TOWER, 09 Doan Van Bo Street, Ward 13, Dist 4, HCMC","- Build up Control rules, reports and tools to prevent risky activities incurred on Card System related. Give idea to improve job and assure card operation activities can run smoothly under control rules. Besides, be a contact point to make payment for vendors and responsible all tasks/ reports related to cost management of Card operation department
- Assess the internal documents to propose and build up the Legal process and the Standardized process diagrams which is in compliance with the common orientation from time to time. Regularly review the existing Card Operation processes and related processes to promptly update activities as the current regulations.
- Participant in projects & change requests of company to build up new function, improve and automate credit card operation activities
- Others task from Manager as each period time","- 05 years experiences with Card activities and experience in Card Management systems is preferable
- Minimum of 3 years related to card control & process.
- Bachelor University, preferably in Economy, Finance, Banking, IT",23/07/2025,Công Nghệ Thông Tin/Viễn Thông > Quản Lý Dự Án Công Nghệ,Tài Chính,3,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Credit Card System, Customer Service, Dispute Settlement, Card operations",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Quản Lý Dự Án Công Nghệ, Tài Chính, Credit Card System, Customer Service, Dispute Settlement, Card operations, FE CREDIT, Hồ Chí Minh"
Accountant,Readingstar English Institute,$ 450-650 /tháng,"102-104 My Kim 2, Tan Phong, District 7, Ho Chi Minh City, 04 Street No. 8, Ward 12, An Khanh Ward, Thu Duc City, Ho Chi Minh City, Vietnam, 102-104 Khu Phố Mỹ Kim, Khu đô thị Phú Mỹ Hưng, phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh, Việt Nam","-Record all transactions on daily basis
-Controlling accounts payable and receivable
-Prepare legal documents and do outside work with the third parties when neccessary
-Assit the chief accountant to improve accounting system
-Manage human resource, social insurance
-Check data for tax reports.
-Prepare reports to the CEO Monthly

*Benefit:
-13th salary
-Pay social insurance, tax under legal law","-Bachelor's/Master degree in Accounting
-At least 1 year experience
-Communicate in English
-Proficiency in using accounting software and Microsoft Office Suite.",23/07/2025,Kế Toán/Kiểm Toán > Kế Toán Tổng Hợp,Giáo dục/Đào Tạo,1,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Kiểm Toán, Kế Toán Tổng Hợp, Kế Toán, Báo Cáo Tài Chính, Tài Chính",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tổng Hợp, Giáo dục/Đào Tạo, Kiểm Toán, Kế Toán Tổng Hợp, Kế Toán, Báo Cáo Tài Chính, Tài Chính, Readingstar English Institute, Hồ Chí Minh"
Chuyên Viên Dự Toán Xây Dựng,Công Ty Cổ Phần Tập Đoàn Kim Oanh,Thương lượng,"219 Xô Viết Nghệ Tĩnh, phường 17, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam, 219 - 221 Xô Viết Nghệ Tĩnh, Phường 17, Quận Bình Thạnh, Tp HCM","- Tính toán khối lượng, xây dựng đơn giá phục vụ cho việc xây dựng khái toán, tổng mức đầu tư và ngân sách cho các dự án.
- Tiếp nhận, phân tích thông tin về đơn giá, định mức các hạng mục công trình. Hỗ trợ Trưởng nhóm về việc phối hợp với các đơn vị liên quan xây dựng khái toán, tổng mức đầu tư và ngân sách cho các dự án của Tập đoàn để phục vụ quá trình phân tích, ra quyết định đầu tư.
- Lập dự toán, dự toán chi tiết công trình hoặc hạng mục công trình trên cơ sở thiết kế cơ sở, kỹ thuật, thiết kế bản vẽ thi công và các yêu cầu công việc phải thực hiện của các công trình, dự án.
- Cập nhật phát sinh chi phí, ngân sách dự án hàng tuần, hàng tháng để báo cáo Trưởng bộ phận.
- Kiểm tra Dự toán xây dựng, dự toán gói thầu được lập bởi đơn vị Thiết kế hoặc đơn vị Thứ 3. Kiểm tra phạm vi công việc, khối lượng và đơn giá của Nhà thầu.
- Phối hợp và thực hiện về việc xây dựng tiến độ thực hiện ngân sách của dự án.
- Thực hiện và quản lý chi phí xây dựng dự án khi được phân công/ yêu cầu.","- Tốt nghiệp Đại học chuyên ngành Xây dựng hoặc kinh tế xây dựng
- Kiến thức về quản lý nhà nước về xây dưng Tổng mức đầu tư, tổng dự toán.
- Chứng chỉ định giá xây dựng hạng III trở lên
- Tối thiểu 5 kinh nghiệm, trong đó 2 năm kinh nghiệm làm việc tại các công ty tư vấn khối lượng, Dự toán và 3 năm kinh nghiệm ở vị trí tương đương trong vai trò Chủ Đầu Tư/Nhà thầu chính",23/07/2025,Kiến Trúc/Xây Dựng > Xây Dựng,Kỹ thuật xây dựng/Cơ sở hạ tầng,5,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"Xây Dựng, Kinh Tế Xây Dựng, Dự Toán Xây Dựng, Dự Toán, QS Ngành Xây Dựng",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kiến Trúc/Xây Dựng, Xây Dựng, Kỹ thuật xây dựng/Cơ sở hạ tầng, Xây Dựng, Kinh Tế Xây Dựng, Dự Toán Xây Dựng, Dự Toán, QS Ngành Xây Dựng, Công Ty Cổ Phần Tập Đoàn Kim Oanh, Hồ Chí Minh"
Senior Digital Marketing & Messaging Specialist,FE CREDIT,"$ 700-1,500 /tháng","Tầng 2, Tò nhà REE Tower, Số 9 Đoàn Văn Bơ, Phường 13, Quận 4, TP. HCM, 3B Floor, REE TOWER, 09 Doan Van Bo Street, Ward 13, Dist 4, HCMC","Develop and execute an SMS engagement strategy that enhances CX, balancing automation with personalization
Identify key touchpoints where SMS can proactively improve customer interactions and reduce friction
Align SMS with omnichannel customer journeys (email, Zalo, push notifications, etc.) to create a seamless experience
Maintain a customer-first approach by analyzing feedback and optimizing messaging
Collaborate with Marketing to ensure SMS content aligns with brand voice and tone guidelines
Work with Business Functions to ensure all SMS content meets compliance regulations)
Conduct A/B testing on messaging styles and calls-to-action to improve engagement rates
Act as the bridge between CX, Marketing, Business Functions, and IT to ensure SMS aligns with overall customer engagement strategies
Support Marketing in crisis communication via SMS, ensuring quick, clear, and brand-compliant messaging during service disruptions
Advocate for SMS as a strategic CX tool, not just a transactional channel, influencing senior leadership on SMS best practices
Resolve & escalate to authorities’ level departmental issues in assigned functions
Undertake other tasks assigned by line manager","At least 01 year of experience in SMS marketing, digital engagement, or CX strategy
Bachelor graduate with majors: Business Administration, Marketing or relevant majors.
Experience working in financial services, fintech, telecommunications, or e-commerce is preferred.
Understanding of CX and customer journey
Good analytical and problem-solving abilities",23/07/2025,Dịch Vụ Khách Hàng > Dịch Vụ Khách Hàng - Hướng Khách Hàng,Tài Chính,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Digital platform operations, Digital Banking, Customer Journey Mapping, Framework, Monitor",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Dịch Vụ Khách Hàng, Dịch Vụ Khách Hàng - Hướng Khách Hàng, Tài Chính, Digital platform operations, Digital Banking, Customer Journey Mapping, Framework, Monitor, FE CREDIT, Hồ Chí Minh"
Technical Supervisor,Knauf Vietnam,Thương lượng,"Ho Chi Minh Office (Headquarter), Floor 7, Habour View Building, 35 Nguyen Hue Street, Dist 1, HCM City","• Technical Enquiry Co-ordination - This will involve supporting in developing project detailed blue-prints from initial information provided by Architect and Project Sales team members.
• Read the drawings from customers to prepare design presentation, shop drawing, system summary for project customers.
• Prepare CAD drawings, Technical Library.
• Responsible for the preparation of architectural detailed shop-drawings and working drawings (Architectural / structural) using Revit and ensuring that design and detail confirms to project construction.
• Assist Project Team by providing timely BIM Coordination and best knowledge with accurate information for construction.
• To extract information from 3D Revit and develop the shop-drawings and resolve discrepancies in the drawings with Engineering Department & Project Team.
• Reading and understanding VN standard.
• Calculate the structural when propose the design to the customer.
• Prepare mock-up, samples for Architect & Project Sales team and hand to customers if required. Coordinate with MKT to make sure sample, mock-up available to give customers.
• Customer Services - This will include working closely with the Architect and Project Sales team members to guarantee customer satisfaction, sending correspondence, following customer meetings when Project Sales Sup, Managers are not available
• Other tasks assigned by Line Manager","• Bachelor’s degree or higher in Architecture, Civil & Industrial Construction Engineering.
• 3 -4 years of experience of the construction industry would be an advantage
• The ability to understand architectural drawings, building construction techniques, concepts and principles
• Proficiency in AutoCAD, Revit, and BIM.
• Good command of English
• Be able to calculate the simple structural (internal partition and external wall) by using engineer software.",23/07/2025,Kiến Trúc/Xây Dựng > Thiết Kế Kiến Trúc/Họa Viên Kiến Trúc,Vật liệu xây dựng,3,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Technical Support, Shop Drawing, engineer, AutoCAD, Architectur Design",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kiến Trúc/Xây Dựng, Thiết Kế Kiến Trúc/Họa Viên Kiến Trúc, Vật liệu xây dựng, Technical Support, Shop Drawing, engineer, AutoCAD, Architectur Design, Knauf Vietnam, Hồ Chí Minh"
Environmental Supplier Quality Engineer,Navigos Search's Client,"$ 2,950-3,550 /tháng","Hà Nội, Việt Nam, Hanoi / HCMC","Navigos Search's client - a leading global technology-driven organization is seeking an experienced professional in environmental compliance to oversee and improve environmental quality performance across its extended supply network. This position plays a key role in ensuring suppliers and assembly partners consistently meet product environmental requirements throughout development and production phases. This role requires flexibility, hands-on engagement with partners, and significant regional travel.

Responsibilities:
- Conduct on-site evaluations of suppliers' environmental systems and practices against company-specific criteria
- Guide new vendors through environmental readiness processes and deliver targeted training to build compliance capability
- Perform periodic inspections at regional manufacturing and assembly sites to validate implementation of environmental controls and testing protocols
- Lead or support root cause investigations and action planning for any identified compliance risks or failures
- Partner with cross-functional teams to ensure new products meet environmental criteria from early development through to launch","Qualifications:
- Strong understanding of international environmental regulations and standards such as RoHS, REACH, Prop 65, EPEAT, and relevant material testing methods (e.g., IEC 62321)
- Hands-on experience in conducting environmental audits, failure analysis, and driving corrective actions within a manufacturing or supply chain setting
- Familiarity with electronic product assembly and the role of environmental controls in the process
- High attention to detail and strong problem-solving skills
- Excellent communication skills, both written and verbal
- Willingness and ability to travel regionally (approximately 50% annually), sometimes on short notice

Education & Background:
- Bachelor's or Master’s degree in Environmental Engineering, Chemistry, Materials Science, or a related field
- Minimum 5 years of relevant experience in environmental compliance, preferably with exposure to high-volume manufacturing
- Prior involvement in material compliance initiatives is a strong advantage",23/07/2025,Sản Xuất > Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,Sản xuất,5,Cử nhân,Không hiển thị,2,09:00 - 18:00,Nhân viên,"Environmental Standards Knowledge, Product Compliance, Electronics Manufacturing, Communication Skills, Material Science",Tiếng Anh,Người Việt Nam,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Sản Xuất, Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng, Sản xuất, Environmental Standards Knowledge, Product Compliance, Electronics Manufacturing, Communication Skills, Material Science, Navigos Search's Client, Hà Nội"
"UGG Senior Manager, Product Engineering",Công Ty TNHH Deckers Outdoor Việt Nam,Thương lượng,"Hải Phòng, Việt Nam, Room 821, TD Business Center Building, Lot 20A, Le Hong Phong, Dong Khe Ward, Ngo Quyen District, Hai Phong","At Deckers, we're not just designing footwear; we're crafting experiences. As a global powerhouse behind beloved brands like UGG, Teva, and HOKA, we thrive on pushing boundaries and embracing innovation. Join our diverse team, where creativity, collaboration, and growth are the cornerstones of our success. If you're a visionary engineering leader ready to elevate an iconic brand and shape the future of footwear, your next great challenge awaits.

About the Role
As the Sr. Manager, Product Engineering for UGG, you'll be the driving force behind the brand's technical excellence. You will lead, define, and execute cutting-edge engineering initiatives, processes, and best practices that directly support UGG's strategic priorities. This isn't just about managing a department; it's about partnering with global leaders to create the highest technical products in the market, ensuring top-tier quality, on-time delivery, robust margins, and sustainability. You'll provide essential technical expertise, mentor your team, and champion innovation to bring UGG's vision to life, season after season.

What You'll Do
• Lead Engineering Excellence: Drive the creation and execution of engineering and material development activities, ensuring products meet brand and consumer needs, are engineered for mass production at target margins, and achieve defined quality standards.
• Innovate & Optimize: Foster a culture of exploration for new ideas. Guide the evolution of the Engineering function and best practices, ensuring seamless T1 approval and on-time readiness for production.
• Strategic Collaboration: Partner with US Development, Design, Merchandising, and Asia teams to deploy strategies that align with business objectives and enhance product capabilities. Lead continuous improvement initiatives and digital transformation efforts.
• Build & Inspire Teams: Cultivate an inclusive environment, mentor and develop a high-performing team, and build a robust succession plan to support Deckers' cross-brand competencies.
• Technical Authority: Provide expert technical advice and corrective action plans to uphold the highest technical standards and product quality.","What You Bring
• Education: Bachelor's degree in Engineering, Industrial Design, Textile Engineering, or equivalent experience.
• Experience:
o 15+ years in the footwear industry, with a focus on Development, Commercialization, Production, or Quality Assurance.
o 10+ years of proven experience managing staff.
o Extensive knowledge of material applications, product constructions, and seasonal development calendars.
• Skills & Competencies:
o A highly intelligent, self-directed, and confident leader.
o Exceptional team-building, project management, and organizational skills.
o Highly effective communicator and natural problem-solver.
o Driven for excellence, self-starter, and an inspiring leader.
o Ability to plan strategically and lead in a fast-paced, multi-tasked global environment.
o Deep technical knowledge of materials, lasts, molds, compound development, and foot anatomy.
o Proficiency with industry tools, Microsoft Applications, and PLM systems.
o Excellent written and verbal English skills.
o Excellent written and verbal Mandarin skills are preferred.

Our Leadership Behaviors
At Deckers Brands, our leaders exemplify:
• Come As You Are
• Better Together
• Commit To Create
• Own It
• Do Good and Do Great

Benefits You'll Enjoy
• 13th month salary & incentive bonus
• Annual salary review
• Full paid social insurance
• Additional health care insurance for employee & dependent
• 12 days of annual leave
• Team building, annual parties, and other exciting activities
• Birthday & anniversary allowances
• Working hours: Monday to Friday (8 hours/day)


Ready to lead the future of product engineering for UGG? Apply now and become an essential part of our innovative journey!",23/07/2025,Dệt May/Da Giày > Phát Triển Sản Phẩm May Mặc,Dệt may/May mặc/Giày dép,15,Cử nhân,Không hiển thị,1,08:00 - 18:00,Trưởng phòng,"Footwear Industry, Material Applications Knowledge, Product Development, Project Management, Quality Assurance",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Dệt May/Da Giày, Phát Triển Sản Phẩm May Mặc, Dệt may/May mặc/Giày dép, Footwear Industry, Material Applications Knowledge, Product Development, Project Management, Quality Assurance, Công Ty TNHH Deckers Outdoor Việt Nam, Hải Phòng"
Nhân Viên Xuất Nhập Khẩu - Tiếng Nhật N3,Navigos Search,$ 600-700 /tháng,Hanoi / HCMC,"Khách hàng của Navigos Search là công ty thương mại của Nhật tại nội thành Hà Nội đang cần tuyển vị trí Nhân viên xuất nhập khẩu với mô tả công việc như sau:
- Chuẩn bị và follow các thủ tục xuất nhập khẩu với các công ty forwarder
- Quản lý báo cáo của các nhà cung ứng và follow ngày giao hàng
- Quản lý số liệu hàng tồn kho
- Hợp tác cùng các phòng ban khác","Nữ, 24-30 tuổi, tốt nghiệp ĐH
Có ít nhất 2 năm kinh nghiệm xuất nhập khẩu
Tiếng Nhật N3 (4 kỹ năng) trở lên",23/07/2025,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi > Xuất Nhập Khẩu & Thủ Tục Hải Quan,Bán lẻ/Bán sỉ,2,Cử nhân,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Tiếng Nhật N3, Xuất Nhập Khẩu, logistic",Tiếng Nhật,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Xuất Nhập Khẩu & Thủ Tục Hải Quan, Bán lẻ/Bán sỉ, Tiếng Nhật N3, Xuất Nhập Khẩu, logistic, Navigos Search"
