Title,Company,Salary,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
GTM - Sales Project Manager (F&B),Source Of Asia,"$ 1,000-1,500 /tháng","The Galleria Metro 6 Office Tower, 59 Vo Nguyen Giap, Thao Dien Ward, Thu Duc City, Ho Chi Minh City, The Galleria Metro 6, Đường Võ Nguyên Giáp, Thao Dien, Thủ Đức, Ho Chi Minh City, Vietnam","Main Responsibilities
1. Strategic Leadership
• Lead the end-to-end delivery of the clients mission, ensuring alignment between strategy, execution, and commercial outcomes.
• Serve as the primary point of contact for the client, ensuring satisfaction, trust, and transparency.
2. Business Development & Prospecting Oversight
• Supervise the commercial pipeline: from data sourcing and segmentation to lead qualification and distribution deal closing.
• Drive prospecting strategies targeting industrial manufacturers, laboratories and relevant partners (depending on the project targets).
• Monitor KPIs and ensure delivery of lead generation and deal-closing objectives.
3. Team & Project Management
• Supervise the commercial pipeline: from data sourcing and segmentation to lead qualification and distribution deal closing.
• Activate and manage discussion with internal teams when needed (marketing, digital, accounting...) and external parties (partners, contacts...).
• Establish clear processes, milestones, and reporting frameworks.
• Ensure timely and high-quality deliverables across all areas of the project.
4. Client & Stakeholder Engagement
• Act as strategic advisor to the client’s leadership team.
• Identify opportunities to extend or enhance the partnership scope.
• Facilitate alignment between client objectives and operational execution.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,16/03/2026,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Hàng tiêu dùng,3,Không giới hạn,30-40,1,9:00 - 18:00,Trưởng phòng,"Business Development, Client Service Management, Communication, Project Management, Social Project Management",Tiếng Anh,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Business Development, Client Service Management, Communication, Project Management, Social Project Management, Source Of Asia, Hồ Chí Minh"
(Hà Nôi) Trưởng Phòng Nhân Sự Chuỗi Bán Lẻ,Navigos Search's Client,Tới 60tr ₫/tháng,"Navigos Search's client, Hanoi, Hanoi","1. Xây dựng & triển khai chiến lược nhân sự phù hợp với chiến lược kinh doanh
- Định hướng văn hóa doanh nghiệp, quản trị hiệu suất & phát triển nhân sự.
- Phát triển & tối ưu các chính sách nhân sự, quy trình tuyển dụng, lương thưởng, phúc lợi.
- Quản lý cơ cấu tổ chức, đề xuất phương án tái cấu trúc nhân sự khi cần thiết.
2. Xây dựng chiến lược thu hút nhân tài & tối ưu quy trình tuyển dụng.
- Quản lý tuyển dụng cho tất cả các vị trí từ cấp nhân viên đến quản lý cấp cao.
- Phát triển chương trình L&D nhằm nâng cao năng lực đội ngũ.
3. Quản lý & giám sát hệ thống đánh giá năng lực & lộ trình thăng tiến.
- Thiết kế, quản lý chính sách lương thưởng, phúc lợi & đánh giá hiệu suất
4. Quản trị văn hóa doanh nghiệp & môi trường làm việc
- Xây dựng và phát triển văn hóa doanh nghiệp, đảm bảo sự gắn kết nội bộ.
- Triển khai các chương trình Employee Engagement, CSR, Team Building.
- Giải quyết các vấn đề liên quan đến quan hệ lao động, kỷ luật, tranh chấp nội bộ.
5. Quản lý & giám sát hoạt động nhân sự toàn quốc (Bắc & Nam)
- Quản lý đội ngũ HR tại hai miền Bắc & Nam, đảm bảo sự đồng bộ trong hệ thống nhân sự.
- Theo dõi & phân tích dữ liệu nhân sự để đề xuất các cải tiến.
- Báo cáo định kỳ lên CEO về tình hình nhân sự & chiến lược phát triển nguồn lực.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Giáo dục/Đào Tạo, C&B, Quản Lý Đội Nhóm, Quản Trị Nhân Sự, Tuyển Dụng, Đào Tạo, Navigos Search's Client, Hà Nội"
IT Administrator,Công Ty TNHH TLT Electronics Vietnam,Thương lượng,"Vĩnh Lộc 2 Industrial Zone Park, Mỹ Yên, Tây Ninh (Formerly Bến Lức, Long An), Hồ Chí Minh, Việt Nam, Nhà xưởng A1-2, Đường Vĩnh Lộc 3, KCN Vĩnh Lộc 2, Quốc lộ 1, Ấp Voi Lá, Xã Mỹ Yên, Tỉnh Tây Ninh, Việt Nam","We are currently inviting an IT Administrator to join our growing manufacturing team in our newly established facility in Vĩnh Lộc 2 Industrial Zone Park, Mỹ Yên, Tây Ninh (Formerly Bến Lức, Long An). Shuttle bus is provided from HCM to the factory.
Headcount: 02 (Infrastructure/ MES)
In this position, you will:
1. IT Infrastructure & Systems Management
- Maintain and improve IT infrastructure: Windows/Linux servers, virtualization environments (VMware), storage, and backups.
- Configure, monitor and optimize network systems (switches, firewalls, VPNs).
- Ensure cybersecurity compliance (antivirus, access control, patching, firewall policies).
2. User Support & Technical Troubleshooting
- Provide day-to-day IT support for office and manufacturing teams.
- Diagnose, analyze, and resolve complex hardware/software issues.
- Maintain and install office and manufacturing workstations, including specialized equipment (barcode scanners, label printers, production terminals).
3. Manufacturing IT Support
- Install, configure, and maintain production workplace PCs and operator stations.
- Ensure stable connectivity for MES, ERP, SMT/AOI/ICT equipment and production systems.
- Collaborate with Production, Engineering and Quality teams to minimize downtime.
4. IT Projects & Improvements
- Participate in IT projects from planning to implementation.
- Analyze existing systems and contribute to IT strategy development.
- Implement improvements in reliability, performance, monitoring, and automation.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,16/03/2026,Công Nghệ Thông Tin/Viễn Thông > Quản Trị Cơ Sở Dữ Liệu,Hệ thống CNTT & Thiết bị,3,Cao đẳng,Không hiển thị,2,,Nhân viên,"IT Infrastructure, Helpdesk Support, Database Administration, English",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Quản Trị Cơ Sở Dữ Liệu, Hệ thống CNTT & Thiết bị, IT Infrastructure, Helpdesk Support, Database Administration, English, Công Ty TNHH TLT Electronics Vietnam, Tây Ninh, Hồ Chí Minh"
(Sản Xuất - Thương Mại) Kế Toán Trưởng Tập Đoàn,Navigos Search's Client,Tới 60tr ₫/tháng,"Navigos Search's client, Hanoi, Hanoi","1. Công tác quản lý, điều hành
• Xây dựng, tổ chức và quản lý hệ thống kế toán Tập đoàn (sản xuất – thương mại – bán lẻ), bao gồm công ty mẹ, công ty con và nhà máy sản xuất tại Việt Nam.
• Thiết lập, hoàn thiện và giám sát việc thực hiện các quy trình, quy chế kế toán – tài chính nội bộ.
• Quản lý, đào tạo, phát triển đội ngũ kế toán tại trụ sở và nhà máy; xây dựng đội ngũ kế thừa.
• Phối hợp chặt chẽ với Giám đốc Tài chính, Ban TGĐ trong công tác quản trị tài chính, kiểm soát chi phí và hiệu quả hoạt động.
2. Công tác chuyên môn kế toán – tài chính
• Tổ chức ghi nhận, hạch toán và kiểm soát các nghiệp vụ kế toán phát sinh trong hoạt động sản xuất, thương mại và bán lẻ.
• Lập, kiểm soát và trình bày báo cáo tài chính hợp nhất Tập đoàn theo VAS và IFRS.
• Thực hiện chuyển đổi báo cáo tài chính từ VAS sang IFRS khi có yêu cầu.
• Kiểm soát giá thành sản xuất, định mức chi phí, tồn kho, giá vốn hàng bán và các chỉ số tài chính trọng yếu.
• Đảm bảo tuân thủ đầy đủ các quy định về thuế (VAT, TNDN, TNCN, thuế nhà thầu, thuế xuất nhập khẩu nếu có).
3. Công tác kiểm soát & làm việc với các bên liên quan
• Là đầu mối làm việc với cơ quan thuế, kiểm toán độc lập, ngân hàng, đối tác tài chính.
• Chuẩn bị hồ sơ, số liệu phục vụ công tác kiểm toán, thanh tra, quyết toán thuế.
• Đánh giá rủi ro tài chính – kế toán, đề xuất giải pháp phòng ngừa và cải tiến hệ thống kiểm soát nội bộ.
• Nắm vững chuẩn mực kế toán Việt Nam (VAS) và thông thạo IFRS.
• Am hiểu sâu về kế toán giá thành, kế toán quản trị trong doanh nghiệp sản xuất.
• Có kinh nghiệm lập và phân tích báo cáo tài chính hợp nhất.
• Sử dụng thành thạo các phần mềm kế toán, ERP (SAP, Oracle, Odoo hoặc tương đương).",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,16/03/2026,Kế Toán/Kiểm Toán > Kế Toán Tài Chính,Sản xuất,5,Cử nhân,Không hiển thị,Không hiển thị,09:00 - 18:00,Nhân viên,"Quản Lý Kế Toán, Kiểm Soát Tài Chính, Báo Cáo Tài Chính, Quản Trị Phần Mềm ERP, Kỹ năng giao tiêp",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T7,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Sản xuất, Quản Lý Kế Toán, Kiểm Soát Tài Chính, Báo Cáo Tài Chính, Quản Trị Phần Mềm ERP, Kỹ năng giao tiêp, Navigos Search's Client, Hà Nội"
(Sản Xuất - Thương Mại) Kế Toán Trưởng Tập Đoàn,Navigos Search,Thương lượng,Hanoi / HCMC,"1. Công tác quản lý, điều hành
• Xây dựng, tổ chức và quản lý hệ thống kế toán Tập đoàn (sản xuất – thương mại – bán lẻ), bao gồm công ty mẹ, công ty con và nhà máy sản xuất tại Việt Nam.
• Thiết lập, hoàn thiện và giám sát việc thực hiện các quy trình, quy chế kế toán – tài chính nội bộ.
• Quản lý, đào tạo, phát triển đội ngũ kế toán tại trụ sở và nhà máy; xây dựng đội ngũ kế thừa.
• Phối hợp chặt chẽ với Giám đốc Tài chính, Ban TGĐ trong công tác quản trị tài chính, kiểm soát chi phí và hiệu quả hoạt động.
2. Công tác chuyên môn kế toán – tài chính
• Tổ chức ghi nhận, hạch toán và kiểm soát các nghiệp vụ kế toán phát sinh trong hoạt động sản xuất, thương mại và bán lẻ.
• Lập, kiểm soát và trình bày báo cáo tài chính hợp nhất Tập đoàn theo VAS và IFRS.
• Thực hiện chuyển đổi báo cáo tài chính từ VAS sang IFRS khi có yêu cầu.
• Kiểm soát giá thành sản xuất, định mức chi phí, tồn kho, giá vốn hàng bán và các chỉ số tài chính trọng yếu.
• Đảm bảo tuân thủ đầy đủ các quy định về thuế (VAT, TNDN, TNCN, thuế nhà thầu, thuế xuất nhập khẩu nếu có).
3. Công tác kiểm soát & làm việc với các bên liên quan
• Là đầu mối làm việc với cơ quan thuế, kiểm toán độc lập, ngân hàng, đối tác tài chính.
• Chuẩn bị hồ sơ, số liệu phục vụ công tác kiểm toán, thanh tra, quyết toán thuế.
• Đánh giá rủi ro tài chính – kế toán, đề xuất giải pháp phòng ngừa và cải tiến hệ thống kiểm soát nội bộ.
• Nắm vững chuẩn mực kế toán Việt Nam (VAS) và thông thạo IFRS.
• Am hiểu sâu về kế toán giá thành, kế toán quản trị trong doanh nghiệp sản xuất.
• Có kinh nghiệm lập và phân tích báo cáo tài chính hợp nhất.
• Sử dụng thành thạo các phần mềm kế toán, ERP (SAP, Oracle, Odoo hoặc tương đương).",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Sản xuất, Quản Lý Kế Toán, Kiểm Soát Tài Chính, Báo Cáo Tài Chính, Quản Trị Phần Mềm ERP, Kỹ năng giao tiêp, Navigos Search"
Senior Strategic Planning & Operation Specialist,Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận (PNJ),Thương lượng,"170E Phan Đăng Lưu, P.3, Q. Phú Nhuận, TP. HCM, 170E Phan Đăng Lưu, Phường 03, Quận Phú Nhuận, Tp. Hồ Chí Minh","Mô tả công việc
1. Quản Trị Mục Tiêu (KPIs) (50%)
• Hướng dẫn & hỗ trợ đơn vị xây dựng KPIs định kỳ hàng năm
• Nghiên cứu, phân tích để hiểu về chuyên môn của tuyến công việc/ đơn vị được phân công phụ trách để đưa ra các tư vấn, giải pháp gia tăng hiệu quả quan trị mục tiêu
• Giám sát & hỗ trợ các đơn vị trong quá trình triển khai các hành động (action plan) theo KPIs & nghiệm thu kết quả.
• Tổng hợp các đánh giá kết quả thực hiện từ các nhân sự phụ trách từng ĐV, xác định nguyên nhân, hiệu quả giải pháp thực hiện và dự báo khả năng hoàn thành trong tương lai cho tổng quan KPIs các đơn vị được phân công phụ trách
2. Tổng hợp & phân tích báo cáo & kế hoạch hoạt động định kỳ của tập đoàn (30%)
• Thực hiện việc tổng hợp & phân tích báo cáo hoạt động của tập đoàn & các đơn vị.
• Tập trung vào phân tích mô hình & hiệu quả kinh doanh vận hành (business), tình hình hoạt động kinh doanh, vận hành của tập đoàn dựa trên số liệu, kết quả, các chỉ số định lượng về hiệu suất, hiệu quả tài chính của tập đoàn & các đơn vị phụ trách
• Tổng hợp & chọn lọc thông tin, kịp thời đưa ra các cảnh báo, nhận định để giúp công ty & đơn vị vận hành hiệu quả hơn.
• Tổ chức nhân sự & phân công công việc chuẩn bị tài liệu họp cho các phiên họp định kỳ của CEO & Ban Điều Hành cũng như các phiên làm việc đột xuất theo yêu cầu của CEO
3. Phân tích chuyên đề, tham gia các dự án theo yêu cầu của CEO, GĐCC Khối Vận Hành & các công việc khác (20%)
• Tham gia các nhóm làm việc thực hiện các chuyên đề, dự án theo yêu cầu của trưởng đơn vị.
• Giám sát, thúc đẩy việc thực hiện các chỉ đạo của CEO liên quan đến các tuyến công việc phụ trách
• Tham vấn/đề xuất cho lãnh đạo phòng về việc cải tiến/ bổ sung các quy trình hoạt động.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,16/03/2026,Kế Toán/Kiểm Toán > Kiểm Toán,Bán lẻ/Bán sỉ,4,Cử nhân,25-100,1,9:00 - 18:00,Nhân viên,"Phân Tích Chiến Lược, Phân Tích Số Liệu, Phân Tích Tài Chính, Quản Lý Dự Án, Quản Lý KPI",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kế Toán/Kiểm Toán, Kiểm Toán, Bán lẻ/Bán sỉ, Phân Tích Chiến Lược, Phân Tích Số Liệu, Phân Tích Tài Chính, Quản Lý Dự Án, Quản Lý KPI, Công Ty Cổ Phần Vàng Bạc Đá Quý Phú Nhuận (PNJ), Hồ Chí Minh"
Internal Accountant [Working Remote],CUSTOMERS FIRST,10tr-12tr ₫/tháng,,"About the Role
We are looking for a detail-oriented, tech-savvy Accountant to join our team. Working for an Amazon/Walmart seller isn't your typical 9-to-5 accounting gig—it’s fast-paced and data-heavy. You'll be reconciling settlement reports, managing transactions, and helping us understand the true profitability of every product we launch.
Key Responsibilities
• Marketplaces Settlement Reconciliation: Monthly reconciliation of Amazon and other platform payouts, ensuring all fees (FBA fees, storage, referral fees, and advertising spend) are accurately categorized.
• Inventory Accounting: Tracking Cost of Goods Sold (COGS), managing inventory valuations, and reconciling physical stock levels with Amazon’s Warehouse reports.
• Accounts Payable/Receivable: Managing vendor payments, factory deposits, and tracking inbound shipments.
• Financial Reporting: Preparing P&L statements, Balance Sheets, and Cash Flow forecasts to help leadership make data-driven purchasing decisions.
• Other Tasks: our company is growing and there would be more areas of ecommerce that may need your help.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,16/03/2026,Kế Toán/Kiểm Toán > Kế Toán Tài Chính,Thương mại điện tử,1,,,,,Nhân viên,"Accounting, Analytical Skills, Financial Reporting, Inventory Management, QuickBooks Online",Tiếng Anh,Không hiển thị,,,,,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Thương mại điện tử, Accounting, Analytical Skills, Financial Reporting, Inventory Management, QuickBooks Online, CUSTOMERS FIRST, Hà Nội"
Chief Accountant (Part-time),"Sincere Consulting Vietnam Co.,Ltd",30tr-45tr ₫/tháng,,"We are looking for an initial team member to support the launch of a new business support company in Vietnam.
Main responsibilities include:
• Accounting and bookkeeping
• Company setup support
• Sales support
• Administration and back-office tasks
We are looking for someone who can work flexibly and support the business during its startup phase.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Tài Chính, Administrative Support, Chief Accountant Certificate, PC Literacy, ProAccounting, Proactive Review, Sincere Consulting Vietnam Co.,Ltd, Hồ Chí Minh"
Specification Advisor,AkzoNobel Vietnam,Thương lượng,"Ho Chi Minh City, Vietnam, 12th Floor, Vincom Dong Khoi, 72 Le Thanh Ton St, District 1, HCMC","• Secure specification of AkzoNobel architectural furniture, Appliance, General Industrial & Funiture powder coatings in Vietnam.
• Build and maintain relationships with the network of key specifiers, specification consultants and curtain wall companies for these coatings within Vietnam.
• Support architects, designers and specification consultants in developing coating-specifications.
• Establish a database of Specification Consultants, Architects, Designers, Construction Companies and Owners.
• Follow up architectural projects on a common database by stage until powder application.
• Follow up PO, lead time production, delivery date and invole functional in the urgent case.
• OD follow up and update to finance & Sale.
• Follow up and support sale to sovle the issues in the projects process.
• Deliver lectures to specifiers and final year under graduate architects.
• Liaise with SBU counterpart to ensure a coordinated approach to international specifiers.
• Develop and maintain local specifier and project data bases.
• Responsible for keeping and updating projects / architects/ track records databases.
• Work closely with the laboratory for the timely supply of colour matching panels and mock up samples.
• Prepare a monthly report so that the Vietnam and ASEAN management team can monitor conformance to the architectural and furniture business strategy and the specification plan.
• Relationship with top owners, main constructor, sub – Constructor to ensure specified Akzonobel powder coating in their projects.
• Find the new Façades and develop relationship.
• Experience in analyst market, product quality, technologies, cost and make the forecast for project.
• Cooperation with Marketing Dept for presentation and event to customer.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Sản xuất, Building Material, Industrial Materials, Paint Coating, Specification, Specification Sales, AkzoNobel Vietnam, Hồ Chí Minh"
Senior R&D Chemist,AkzoNobel Vietnam,Thương lượng,"Amata Industrial Park, Long Bình, Bien Hoa, Dong Nai, Vietnam, 12th Floor, Vincom Dong Khoi, 72 Le Thanh Ton St, District 1, HCMC","Job Purpose:
Drive and execute RD&I activities in Wood Coatings, focusing on both product development and lab operations to support AkzoNobel Vietnam’s innovation roadmap and strategic business goals.
Lead formulation and modification projects, ensuring effective execution of lab work aligned with sustainability, performance, and cost targets.
Perform and oversee comprehensive lab testing and product evaluation to ensure quality, compliance, and customer satisfaction.
Collaborate closely with Technical Service and Sales teams to provide expert support during customer visits and resolve product-related issues efficiently.
Take ownership of rework and troubleshooting for solvent-based wood coatings and contribute to continuous product improvement.
Support scale-up and first batch production, ensuring smooth technology transfer and product consistency, particularly for key customer projects.
Proactively contribute to knowledge sharing, best practices, and continuous improvement within the RD&I team.

Key Responsibilities:
• To ensure that product developed comply with the requirements of MOC and HC materials Restriction.
• Raw material evaluation.
• Customer service and trouble shooting.
• To perform the analytical work with the Fourier Transform InfraRed Machine (FTIR), Gas Chromatography (GC), Moisture Analyzer (MA), X-Ray Flourescence (XRF), Taber Abraser, Centrifugue, Mar Tester, UV machines and other equipments be required.
• To monitor in production the making of the first batch of the new formulation.
• To prepare the Product Data Sheet and generate Material Safety Data Sheet (from Web Application) of existing or new products.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,16/03/2026,Sản Xuất > Nghiên Cứu & Phát Triển,Hoá chất/Hoá sinh,5,Cử nhân,Không hiển thị,1,08:00 - 16:30,Nhân viên,"Chemical Application, Paint Coating, Wood Coatings, Wood Finishing, Solvent-Based Coatings",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T7,Toàn thời gian,"Sản Xuất, Nghiên Cứu & Phát Triển, Hoá chất/Hoá sinh, Chemical Application, Paint Coating, Wood Coatings, Wood Finishing, Solvent-Based Coatings, AkzoNobel Vietnam, Đồng Nai"
