Title,Company,Salary,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
"Chief Engineer, Property Management",CapitaLand Development (Vietnam),Thương lượng,"Hà Nội, Vietnam, 17th Floor, Deutsches Haus Ho Chi Minh, 33 Le Duan Street, Ben Nghe Ward, District 1, HCMC","The Chief Engineer is responsible for overall management and supervision of the technical system operation for various properties of the Company, including but not limited to Structural, M&E, energy saving and sustainability, to ensure the properties in optimal and safe conditions for residents, tenants, guests and employees.

RESPONSIBILITIES:
1. Operation and Management:
- Oversee, supervise, manage the operation and maintenance of technical systems of various properties including residential, commercial, office, complex buildings.
- Establish maintenance programs, risk control procedures, compliance checklist to ensure all properties, assets are well managed, operated efficiently and strictly follow regulations.
- Conduct regular inspection of the properties to identify and resolve any technical issues.
- Manage contractors, building managing agent to operate and maintain the properties following operation & manual guidelines and relevant regulations.
- Constantly review existing facilities, assess risks and propose necessary improvements and costing.

2. Building set-up and handover:
- Involve in physical inspection & functional performance testing & commissioning of the systems in pre-opening period to take over for operation;
- Review O&M documents, as-built drawings, warranty, T&C report, etc., to prepare for building operation;
- Lead and participate in inspection, handing over technical systems, infrastructure to Managing agent and Building owner’s committee;
3. Defect rectification & Enhancement:
- Manage defect rectification, enhancement and renovation progress, method of statement, timeline, etc.
- Coordinate with relevant parties (internal departments, contractors, managing agents, etc.) to promptly attend and solve defects, technical issues to serve residents, tenants and customers.
- Propose suitable solutions, plans to facilitate the works.

4. Safety & Compliance:
- Ensure building assets and properties are in good and safe conditions;
- Ensure the property complies with all applicable building operation requirements, government regulations, and company policies;
- Develop and monitor emergency and safety procedures; Ensure that all fire and life safety systems are fully compliant and operational;
5. Technical services to Residents/Tenants:
- Timely respond to service requests from residents, tenants and customers for repair, upkeep or replacement;
- Review Tenant’s renovation plans. Provide solutions for alteration works (if any);
- Monitor renovation works.
6. Contractors/ Suppliers management:
- Coordinate with relevant departments in the tender process;
- Monitor technical contract execution;
- Monitor and supervise contractors, constant inspection is necessary;
- Ensure works comply with building’s regulations and relevant safety laws;
- Ensure an adequate standard of quality.
7. Prepare and review budgets for technical operation, maintenance of the properties and monitor expenses within approved budgets.
8. Involve in design stage for consultancy, recommendations to facilitate technical operation of the properties.
9. Periodically report and Perform any other jobs that may be assigned by the Management from time to time.

BENEFITS:
- Competitive Salary and a guaranteed 13th-month salary.
- Annual variable bonus and performance-based salary reviews.
- Comprehensive Health & Wellness Scheme (9 million/year).
- Bao Viet Insurance for staff and dependents.
- Worldwide top-up insurance (excluding the U.S.) for staff .
- 14 days of annual leave plus 3 days for family events.
- Continuous learning and development through in-house and on-the-job training.","Qualifications:
• Degree in mechanical or electrical engineering or an acceptable equivalent qualification
• Autocad skills and technical drawing reading
• Self-motivated, proactive with strong problem-solving and critical thinking skills
• Strong scheduling, organizational and people management skills
• Excellent communication skills
• Good oral and written literacy in English
• Willing to work overtime and on-call for emergencies out of regular business hours
• Attention to details
• Possess positive attitude such as willingness to learn, honesty, dynamic and good working behavior

Experiences:
• Minimum 3-year experience as Chief Engineer or in a similar position in commercial complex or condominium building
• Thorough knowledge of all areas of operational and maintenance engineering, including but not limit to operation of electrical, fire-fighting systems, air conditioning systems
• Hands-on experience in the related areas
• Risk and safety knowledge and procedures, prior experience with EHS is an advantage
• Ability to effectively supervise the Engineering Department
• Having experience working for a developer or consultant will be an added advantage",04/08/2025,Bất Động Sản > Cho Thuê & Quản Lý Căn Hộ,Kỹ thuật xây dựng/Cơ sở hạ tầng,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Property Management, Building Management, Engineering, Facilities Management, Technical Operations",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Bất Động Sản, Cho Thuê & Quản Lý Căn Hộ, Kỹ thuật xây dựng/Cơ sở hạ tầng, Property Management, Building Management, Engineering, Facilities Management, Technical Operations, CapitaLand Development (Vietnam), Hà Nội"
Chuyên Viên Khai Báo Hải Quan (Senior Customs Declaration Specialist),Công Ty Cổ Phần Sữa Việt Nam (Vinamilk),Thương lượng,"Vinamilk Tower, No. 10 Tan Trao, Tan Phu Ward, District 7, HCM City., Số 10, Tân Trào, P. Tân Phú, Q.7, Tp. HCM","Tóm tắt công việc:

Chịu trách nhiệm trước Trưởng Ban quản lý và Khai báo thuế XNK về:
- Theo dõi và kiểm tra các chứng từ nhận hàng,
- Làm thủ tục đăng ký, khai báo Hải quan hàng hóa xuất, nhập khẩu,
- Thủ tục giám định, phân tích, phân loại mã số HS hàng hóa,
- Cập nhật văn bản chính sách XNK phục vụ công tác nghiệp vụ,
- Tổng hợp, kiểm tra, báo cáo số liệu theo yêu cầu

Nhiệm vụ chính:
- Theo dõi hợp đồng nhập khẩu & phân loại mã HS
+ Đề xuất mã HS cho hàng nhập khẩu lần đầu.
+ Xác định FTA áp dụng và ước tính thuế nhập khẩu.
+ Đề xuất giám định mã HS khi cần.
- Kiểm tra chứng từ & khai báo hải quan
+ Thu thập, kiểm tra hồ sơ khai báo.
+ Phân loại, áp mã HS và mở tờ khai hải quan.
+ Chuyển thông tin cho các bộ phận liên quan.
- Cập nhật chính sách thuế & ngoại thương
+ Theo dõi văn bản pháp luật mới ảnh hưởng đến hoạt động công ty.
- Phối hợp với cơ quan quản lý
+ Làm việc, giải trình với cơ quan thuế và hải quan, bao gồm kiểm tra sau thông quan.
- Hướng dẫn công ty con
+ Hỗ trợ thực hiện chính sách thuế XNK tại các đơn vị thành viên.
- Lập báo cáo
+ Thực hiện các báo cáo công việc theo yêu cầu cấp quản lý.
- Lưu trữ hồ sơ
+ Tổ chức lưu trữ và phân phối hồ sơ hải quan.
- Thực hiện công việc khác
+ Theo phân công của cấp quản lý.","- Yêu cầu học vấn & chuyên môn
+ Tốt nghiệp Đại học chính quy các ngành: Ngoại thương, Kế toán, Tài chính, Kinh tế.
+ Ưu tiên ứng viên có chứng chỉ nghiệp vụ Xuất nhập khẩu.
- Kinh nghiệm
+ Tối thiểu 3 năm kinh nghiệm trong lĩnh vực khai báo hải quan và giao nhận hàng hóa.
- Kiến thức & kỹ năng chuyên môn
+ Hiểu biết về hàng hóa là thực phẩm và thiết bị, vật tư ngành thực phẩm.
+ Thành thạo nghiệp vụ ngoại thương, thủ tục khai báo hải quan và giao nhận.
+ Nắm vững quy định pháp luật về thuế và hải quan xuất nhập khẩu.
+ Kỹ năng giao tiếp, làm việc nhóm, trình bày, soạn thảo văn bản.
+ Kỹ năng tổng hợp, phân tích và xử lý tình huống.
- Yêu cầu khác
+ Nhanh nhẹn, cẩn thận, trung thực, chính xác.
+ Sẵn sàng đi công tác khi cần.
+ Thành thạo vi tính văn phòng.
+ Giao tiếp tiếng Anh tốt (nói và viết).
+ Có khả năng chịu áp lực công việc cao.",04/08/2025,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi > Xuất Nhập Khẩu & Thủ Tục Hải Quan,Nhập khẩu/Xuất khẩu,3,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"import export documentation, Custom Declaration",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Xuất Nhập Khẩu & Thủ Tục Hải Quan, Nhập khẩu/Xuất khẩu, import export documentation, Custom Declaration, Công Ty Cổ Phần Sữa Việt Nam (Vinamilk), Hồ Chí Minh"
Country Sales Lead,Navigos Search,Thương lượng,"Ho Chi Minh, HCMC","The Country Sales Lead is responsible for delivering sales and distribution targets through strategic distributor management and cross-channel execution in the institutional segment. This role focuses on expanding market presence, strengthening partnerships, and optimizing performance across key sales channels including Modern Trade, E-commerce, General Trade, and Away-from-Home (AFH).

Key Responsibilities:
• Develop and execute a territory-level sales strategy to achieve business growth and market share objectives
• Lead and coach distributor teams, ensuring performance excellence through recruitment, development, and retention of talent
• Align with senior leadership to ensure consistent execution of sales and marketing strategies
• Provide insights from sales data analysis and implement initiatives that improve field effectiveness and efficiency
• Foster strong relationships with distributors and key customers to drive mutual growth
• Oversee distribution and coverage plans, ensuring effective execution in line with targets
• Monitor market conditions and customer feedback, escalating insights to leadership for agile business decisions
• Drive promotional planning and negotiation to support revenue and profitability goals
• Ensure the company is recognized as a preferred partner within the distributor network
• Track trade marketing investments and assess ROI to guide future spend","Education: Bachelor's degree in Business, Marketing, or a related field from a recognized institution

Experience:
• Minimum 5 years of experience in FMCG sales, including Trade Marketing and E-commerce exposure
• At least 2 years in a leadership role managing teams or distributors
• Experience managing national accounts or full-country coverage in Vietnam is preferred
Skills:
• Solid understanding of sales operations and channel management
• Strong leadership, communication, and negotiation abilities
• Analytical mindset with the ability to identify opportunities from data
• Familiarity with distributor management and supply chain processes, including import/export",04/08/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Hàng tiêu dùng,5,Cử nhân,Không hiển thị,1,8:30 AM - 5:30 PM,Trưởng phòng,"Communication, E-commerce, FMCG, Leadership, Trade Marketing",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Communication, E-commerce, FMCG, Leadership, Trade Marketing, Navigos Search, Hồ Chí Minh"
HR Intern,BAT Vietnam,Thương lượng,"Phòng 18.02, tầng 18, Tòa nhà The Hallmark, Số 15, đường Trần Bạch Đằng, phường Thủ Thiêm, Thành phố Thủ Đức, Thành phố Hồ Chí Minh., Phòng 18.02, tầng 18, Tòa nhà The Hallmark, Số 15, đường Trần Bạch Đằng, phường Thủ Thiêm, Thành phố Thủ Đức, Thành phố Hồ Chí Minh","As an HR Intern, you will gain practical experience across employer branding, employee engagement, learning and development, and talent acquisition. Working alongside the HRBP team and external partners, you will contribute to a positive workplace culture and help build the talent pipeline.

1. Employer Branding

- Support the deployment & execution of Employer Branding/Recruitment activities (Global Graduate Programme, Mid-Career Networking event, Career Fair, etc.)

- Partnership with external parties (university clubs, competitions, etc.) to strengthen Employer Branding.

- Execute Social Media Campaigns aligned with EVP pillars.

2. Culture & Engagement

- Organize Wellbeing activities & Functional Engagement Events (Women's Day, Away Day, Leadership Workshop, etc.) to ensure an engaging employee experience.

- Collaborate with HRBPs to create a smooth Onboarding & Welcome experience.

- Create and distribute internal HR communications (newsletters, event announcements, etc.)

3. Learning & Development

- Support HRBPs in promotion & organization of digital learning platforms & functional training workshop (logistics, attendance checking, training recaps, etc.)

- Coordinate with global L&D team to facilitate locally/globally mandatory trainings.

4. Talent Acquisition

- Collaborate with HRBPs on logistics arrangement throughout the Hiring Process.

- Lead end-to end Recruitment Process for Intern Positions.

5. Administration

- Liaise with external vendors, following up on invoices post trainings/events and payments to vendors.","• 3rd/4th year student in Human Resources, Business Administration, Communications, or other related fields
• Able to work independently and in a team.
• Hardworking, eager to learn, detail-oriented.
• Strong communication skills and good English (written and spoken).
• Available full-time from September 2025 to February 2026.",04/08/2025,Nhân Sự/Tuyển Dụng > Tuyển Dụng,Giáo dục/Đào Tạo,Không yêu cầu,Cử nhân,Không hiển thị,1,9:00 - 18:00,Thực tập sinh/Sinh viên,"Communication Skills, Employee Engagement",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Thực tập,"Nhân Sự/Tuyển Dụng, Tuyển Dụng, Giáo dục/Đào Tạo, Communication Skills, Employee Engagement, BAT Vietnam, Hồ Chí Minh"
"Trưởng Nhóm Tư Vấn Bán Hàng Trực Tuyến Thu Nhập Cực Cao (Mỹ Phẩm, Dầu Gội, TPCN) Y/c Kinh Nghiệm - Long Biên- Sales Leader",Công Ty Cổ Phần Jinsei Vietnam,Thương lượng,"Liền kề 06-07 Hồng Tiến, Long Biên, Liền kề 06-07 Hồng Tiến, Bồ Đề, Long Biên","- Tư vấn bán hàng: Trực tiếp thực hiện tư vấn, xử lý tình huống, chốt đơn và hướng dẫn, đào tạo kỹ năng này cho các thành viên trong team để tăng quy mô doanh số
- Phân chia chỉ tiêu: Cùng với trưởng phòng MKT xây dựng, phân chia và theo dõi chỉ tiêu bán hàng theo tuần/tháng/quý.
- Quản lý: Kiểm tra, giám sát chất lượng chăm sóc khách hàng trên các kênh (page, hotline, sàn TMĐT...). Đảm bảo đội ngũ làm việc đúng quy trình, kịch bản tư vấn và sử dụng tốt công cụ chăm sóc khách hàng.
- Đề xuất chính sách, chiến lược: các chương trình khuyến mãi, chính sách bán hàng phù hợp với đặc thù ngành TPCN và mỹ phẩm.
- Phối hợp cùng các thành viên Marketing để cải thiện nội dung, data khách hàng và chất lượng lead.
- Báo cáo công việc: Báo cáo định kỳ kết quả hoạt động, hiệu suất nhóm và đề xuất hướng cải thiện.
- Thực hiện các nhiệm vụ khác theo chỉ đạo của quản lý trực tiếp và Ban Giám Đốc","- Có kinh nghiệm tư vấn bán hàng từ 3 năm trở lên ưu tiên ngành TPCN, mỹ phẩm, dược mỹ phẩm, hàng nhập khẩu có giá trị cao.
- Có đam mê kinh doanh và có nhiều ý tưởng sáng tạo để bán hàng tốt, đem lại doanh thu và lợi nhuận cao.
- Độ tuổi từ 25 – 35 tuổi
- Ưu tiên có kỹ năng quản lý đội nhóm từ 3 – 5 người, biết cách tạo động lực và đào tạo thành viên trong nhóm
- Am hiểu sâu sắc tâm lý khách hàng, có khả năng xử lý tình huống và chốt sale tốt.
- Có tư duy số, biết đọc và phân tích báo cáo doanh thu.
- Ưu tiên đã từng làm việc trong môi trường bán hàng online đa kênh (Facebook, Zalo, Shopee, Tiktok...).",04/08/2025,Kinh Doanh > Bán Hàng Qua Điện Thoại,Bán lẻ/Bán sỉ,3,Cao đẳng,25-35,1,,Trưởng phòng,"Kinh Doanh Dược Mỹ Phẩm, Tư Vấn Bán Hàng, Đam Mê Làm Giàu, Giao Tiếp Khéo Léo, Chiến Lược Bán Lẻ",Tiếng Việt,Người Việt Nam,Bất kỳ,Bất kỳ,,Toàn thời gian,"Kinh Doanh, Bán Hàng Qua Điện Thoại, Bán lẻ/Bán sỉ, Kinh Doanh Dược Mỹ Phẩm, Tư Vấn Bán Hàng, Đam Mê Làm Giàu, Giao Tiếp Khéo Léo, Chiến Lược Bán Lẻ, Công Ty Cổ Phần Jinsei Vietnam, Hà Nội"
Quản Lý Dự Án,Ban Quản lý dự án đầu tư - hạ tầng xã Thiên Lộc,14tr-20tr ₫/tháng,"Hà Nội, Việt Nam","Quản lý thực hiện các dự án đầu tư xây dựng do Ban làm chủ đầu tư hoặc đại diện chủ đầu tư từ giai đoạn chuẩn bị đầu tư dự án đến khi kết thúc bàn giao đưa vào sử dụng và thanh quyết toán dự án.
- Tổ chức thực hiện các nội dung quản lý dự án theo quy định của Luật Xây dựng và các quy định hiện hành của pháp luật có liên quan.
- Phối hợp với các phòng chuyên môn tại Ban quản lý; phòng ban thuộc xã Thiên Lộc và các sở ngành Thành phố để thực hiện đầy đủ và nghiêm túc về công tác quản lý dự án theo đúng quy định của pháp luật.","• Ưu tiên nam, dưới 35 tuổi.
• Đã từng tham gia quản lý dự án trong các Ban Quản lý dự án hạng II
• Tốt nghiệp đại học trở lên
• Có chứng chỉ chuyên ngành:
• Tổ chức lựa chọn nhà thầu;
• Sử dụng thành thạo phần mềm tin học văn phòng: world, excel, powerpoint/canva;
• Phần mềm dự toán G8, F1; Autocad; Nova; BIM
• Kiểm soát, quản lý thực hiện hợp đồng (tư vấn, xây lắp, phi tư vấn); chi phí (dự toán, điều chỉnh giá hợp đồng), chất lượng thiết kế; chất lượng, tiến độ, an toàn khối lượng trong thi công.
• Ưu tiên người đã từng kinh qua thiết kế, thẩm tra, giám sát/thẩm tra, thi công lĩnh vực giao thông, hạ tầng",04/08/2025,Kiến Trúc/Xây Dựng > Phát Triển Dự Án/Đấu Thầu,Kỹ thuật xây dựng/Cơ sở hạ tầng,1,Cử nhân,18-34,1,9:00 - 17:00,Nhân viên,"Autocad, Kỹ Thuật, Làm Dự Toán, Quản Lý Dự Án, Xây Dựng",Bất kỳ,Không giới hạn,Nam,Bất kỳ,T2 - T6,Toàn thời gian,"Kiến Trúc/Xây Dựng, Phát Triển Dự Án/Đấu Thầu, Kỹ thuật xây dựng/Cơ sở hạ tầng, Autocad, Kỹ Thuật, Làm Dự Toán, Quản Lý Dự Án, Xây Dựng, Ban Quản lý dự án đầu tư - hạ tầng xã Thiên Lộc, Hà Nội"
Kế Toán Viên,Ban Quản lý dự án đầu tư - hạ tầng xã Thiên Lộc,14tr-20tr ₫/tháng,"Hà Nội, Việt Nam","• Kế toán viên là người giúp việc trực tiếp cho Giám đốc và Kế toán trưởng, có nhiệm vụ tham mưu tổng hợp và phối hợp với các phòng thuộc Ban thực hiện công tác kế toán của các dự án, hoạch toán kế toán về thu, chi tài chính thuộc Ban Quản lý dự án.
• Thanh quyết toán dự án được giao trong công tác GPMB; quản lý; Kế toán tiền gửi ngân hàng, tiền mặt, lương, bảo hiểm, thuế; Kế toán tài sản; mua sắm chi thường xuyên; thực hiện các nhiệm vụ chi về dịch vụ công ích, sự nghiệp thị chính...","• Ưu tiên nữ dưới 35 tuổi.
• Tối thiểu 02 năm kinh nghiệm
• Tốt nghiệp chính - Kế toán.
• Ưu tiên đã từng làm kế toán
• Sử dụng thành thạo phần mềm tin học văn phòng: word, excel, powerpoint/canva;
• Kế toán viên có nhiệm vụ tham mưu tổng hợp và phối hợp với các phòng thuộc Ban thực hiện công tác kế toán của các dự án, hoạch toán kế toán về thu, chi tài chính thuộc Ban Quản lý dự án",04/08/2025,Kế Toán/Kiểm Toán > Kế Toán Tài Chính,Bất Động Sản/Cho thuê,2,Không giới hạn,Dưới 34 tuổi,1,9:00 - 18:00,Nhân viên,"Giao Tiếp, Kế Toán, Phần mềm kế toán, Quản Lý Dự Án, Tin Học Văn Phòng",Bất kỳ,Không giới hạn,Nữ,Bất kỳ,T2 - T6,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Bất Động Sản/Cho thuê, Giao Tiếp, Kế Toán, Phần mềm kế toán, Quản Lý Dự Án, Tin Học Văn Phòng, Ban Quản lý dự án đầu tư - hạ tầng xã Thiên Lộc, Hà Nội"
Quản Lý Kinh Doanh/ Business Manager,Công Ty TNHH Đầu Tư - Dịch Vụ Humventures,Thương lượng,"32 - 34 Võ Văn Tần, phường 6, Quận 3, Thành phố Hồ Chí Minh, Việt Nam, Số 34, Đường số 11, Phường Thảo điền, Thành phố Thủ Đức., Số 34, Đường số 11, Phường Thảo Điền, TP Thủ Đức","HumVentures đang tìm kiếm Quản lý Kinh doanh, người sẽ đồng hành trong việc phát triển thị trường, mở rộng tệp khách hàng và nâng tầm dịch vụ ẩm thực, sự kiện đậm đà hương vị bản địa.

CHÚNG TÔI MONG ĐỢI GÌ NƠI ỨNG VIÊN
- Quản lý & phát triển doanh thu kinh doanh: chịu trách nhiệm doanh thu theo chỉ tiêu tại các địa điểm kinh doanh và sự kiện, theo dõi tiến độ và đảm bảo hiệu quả tăng trưởng;

- Tư vấn & tổ chức dịch vụ sự kiện: tiếp nhận yêu cầu, tư vấn giải pháp không gian và dịch vụ phù hợp mục tiêu – ngân sách của khách hàng; điều phối và giám sát toàn bộ quá trình cung cấp dịch vụ trước – trong – sau sự kiện;

- Mở rộng thị trường & tệp khách hàng tiềm năng: chủ động khai thác phân khúc khách đoàn, đối tác doanh nghiệp và nhóm khách hàng chiến lược phù hợp với định vị thương hiệu;

- Nâng cao trải nghiệm dịch vụ trực tuyến: quản lý hoạt động chăm sóc khách hàng qua tổng đài, đào tạo đội ngũ tư vấn và đảm bảo khách hàng được hỗ trợ kịp thời – chuyên nghiệp;

- Quản trị rủi ro & dịch vụ hậu mãi: trực tiếp xử lý sự cố, đề xuất chương trình ưu đãi và thúc đẩy lòng trung thành khách hàng;

- Phân tích xu hướng thị trường & cơ hội tăng trưởng: cập nhật dữ liệu khách hàng, theo dõi phản hồi và đề xuất giải pháp nâng cao chất lượng dịch vụ, gia tăng doanh số và thị phần.","CHÂN DUNG ỨNG VIÊN CHÚNG TÔI TÌM KIẾM

- Trình độ & kinh nghiệm: tốt nghiệp Đại học/Cao đẳng chuyên ngành Quản trị Kinh doanh, Marketing, Nhà hàng – Khách sạn hoặc các lĩnh vực liên quan; có kinh nghiệm quản lý kinh doanh – sự kiện – chăm sóc khách hàng, đặc biệt trong môi trường dịch vụ cao cấp;

- Kiến thức chuyên môn: hiểu biết về quy trình tổ chức sự kiện, tư vấn dịch vụ, chăm sóc khách hàng và hành vi tiêu dùng;

- Kỹ năng làm việc: giỏi giao tiếp, thuyết trình, xử lý tình huống và điều phối liên phòng ban; có khả năng phân tích thị trường, theo dõi dữ liệu và đề xuất chiến lược tăng trưởng;

- Phẩm chất cá nhân: chủ động, cầu tiến, nhạy bén trong kinh doanh và tận tâm với chất lượng dịch vụ; phù hợp với môi trường đề cao sự tinh tế, gắn kết và phát triển bền vững.",04/08/2025,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,5,Không giới hạn,Không hiển thị,Không hiển thị,,Trưởng phòng,"Business Development Management, Quản Lý Kinh Doanh, Dịch Vụ Ẩm Thực",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Business Development Management, Quản Lý Kinh Doanh, Dịch Vụ Ẩm Thực, Công Ty TNHH Đầu Tư - Dịch Vụ Humventures, Hồ Chí Minh"
Giải Phóng Mặt Bằng,Ban Quản lý dự án đầu tư - hạ tầng xã Thiên Lộc,14tr-20tr ₫/tháng,"Hà Nội, Việt Nam","• Thực hiện các dự án được giao nhiệm vụ và theo thẩn quền của Ban và các nhiệm vụ khác do BGĐ giao:
• Xây dựng kế hoạch công tác GPMB;
• Thành viên tổ công tác;
• Tổ chức thực hiện, kiểm tra, đôn đốc GPMB;
• Phối hợp trong công tác dân vận, tuyên truyền;
• Chủ động thực hiện công tác GPMB đảm bảo đúng quy trình quy định;
• Báo cáo;
• Báo cáo xác minh, văn bản trả lời, giải quyết khiếu nại.","• Ưu tiên nam dưới 35 tuổi.
•Tốt nghiệp đại học trở lên chuyên ngành: Quản lý đất đai, Luật, Xây dựng (giao thông, hạ tầng, dân dụng)
• Đã có kinh nghiệm ít nhất 2 năm (tính từ năm 2023)
• Sử dụng thành thạo phần mềm tin học văn phòng: world, excel, powerpoint/canva; autocad.",04/08/2025,Pháp Lý > Luật Xây Dựng,Bất Động Sản/Cho thuê,2,Cử nhân,18-34,4,08:00 - 18:00,Nhân viên,"Bồi Thường Mặt Bằng, Giải Phóng Mặt Bằng, Lập Hồ Sơ Đất Đai, Luật Xây Dựng",Bất kỳ,Không giới hạn,Nữ,Bất kỳ,T2 - T6,Toàn thời gian,"Pháp Lý, Luật Xây Dựng, Bất Động Sản/Cho thuê, Bồi Thường Mặt Bằng, Giải Phóng Mặt Bằng, Lập Hồ Sơ Đất Đai, Luật Xây Dựng, Ban Quản lý dự án đầu tư - hạ tầng xã Thiên Lộc, Hà Nội"
Marketing Manager (B2B),Navigos Search's Client,"$ 1,700-2,000 /tháng","Hà Nội, Việt Nam, Hanoi / HCMC","Navigos Search's client, a fast-growing B2B software/ solution provider is looking for a dynamic Marketing Manager to lead demand generation and elevate brand visibility. The company develops and distributes advanced ERP and automation solutions for thousands of enterprises across the country and operates a robust partner network in key regions.

What You’ll Be Responsible For:
- Develop and implement a comprehensive marketing roadmap aligned with the company’s growth strategy and KPIs (including lead quality, partner pipeline development, etc.);
- Analyze market trends and customer needs to shape marketing initiatives for both new and existing offerings;
- Design and execute branding strategies across multiple brand tiers (corporate, product lines, services);
- Lead the creation and management of annual and quarterly marketing budgets, adjusting campaigns and spend allocation based on results and priorities;
- Build and nurture strategic alliances and supplier relationships to support marketing initiatives;
- Guide, mentor, and upskill team members to meet departmental objectives and performance benchmarks;
- Oversee all marketing functions across digital, content, PR, events, and creative units;
- Monitor performance and deliver actionable insights to leadership.","What We’re Looking For:
- A degree (or higher) in Marketing, Communications, Business, or a related field;
- At least 5 years of marketing experience, with 2+ years in a managerial or leadership role;
- Strong B2B marketing acumen, especially in performance-driven digital channels;
- Practical knowledge of CRM platforms, Google Analytics 4, Meta & Google Ads tools;
- Strategic thinking with the ability to translate goals into actionable plans;
- Exceptional communication, leadership, and analytical skills;
- Proficiency in English, both written and verbal.

Bonus Points If You Have:
- Prior experience in marketing ERP or enterprise software products;
- Knowledge of brand-building frameworks and corporate communication;
- Hands-on experience organizing industry events, both in-person and virtual.",04/08/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị",Phần Mềm CNTT/Dịch vụ Phần mềm,5,Cử nhân,Không hiển thị,1,09:00 - 18:00,Trưởng phòng,"Marketing Strategy, B2B Marketing, Digital Performance, CRM System, Communication Skills",Tiếng Anh,Người Việt Nam,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị, Phần Mềm CNTT/Dịch vụ Phần mềm, Marketing Strategy, B2B Marketing, Digital Performance, CRM System, Communication Skills, Navigos Search's Client, Hà Nội"
