Title,Company,Salary,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Age,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Marital Status,Work Date,Work Type,Keyword
Primary/ Secondary Co-Teacher for Cambridge Program (Teaching Assistant- Vietnamese Only),The Canadian International School System - Ciss (Hệ Thống Trường Quốc Tế Canada),Thương lượng,"Canadian International School, HCMC, Vietnam, Số 07, Đường 23, Phường Tân Phú, Quận 7, Tp.Hồ Chí Minh","• Support classroom instruction in alignment with the Cambridge curriculum.
• Assist with lesson preparation, classroom management, and student engagement.
• Collaborate with expat teachers in preparing periodic academic reports and student progress updates.
• Update daily lessons, homework, and assignments on Google Classroom to ensure smooth communication with students and parents.
• Provide language and academic support to students as needed.
• Work closely with the lead teacher to monitor student learning and contribute to a positive learning environment.
• Support expat teachers in communicating with parents when necessary.
• Attend parent–teacher meetings alongside the expat teacher.","1. Qualifications:
- A university degree in education or a related field (English, Math, Science,..).
- Good command of English (equivalent to B2+ or higher).
- Passion for teaching and working with children.
- Familiarity with Google Workspace for Education (especially Google Classroom).
- Prior experience in international education or Cambridge programs is an advantage.
2. Experience:
- At least 2-3 years of professional experience",29/07/2025,Giáo Dục > Quản Lý Giáo Dục,Giáo dục/Đào Tạo,Không yêu cầu,Không giới hạn,Không hiển thị,Không hiển thị,,Nhân viên,"Mathematics Education, Science Education",Tiếng Anh,Người Việt Nam,Không hiển thị,Không hiển thị,,Toàn thời gian,"Giáo Dục, Quản Lý Giáo Dục, Giáo dục/Đào Tạo, Mathematics Education, Science Education, The Canadian International School System - Ciss (Hệ Thống Trường Quốc Tế Canada), Hồ Chí Minh"
Social Media Content Creator,CÔNG TY CỔ PHẦN KIN LIVING GROUP,Thương lượng,,"Job Summary
We are seeking a creative and detail-oriented Social Media Content Creator to develop, manage, and execute engaging content across our digital platforms. In this role, you will be responsible for crafting compelling visuals, videos, and captions tailored to each social media channel, aligned with our brand voice and marketing goals. You will work closely with the marketing team to grow our online presence, increase engagement, and drive audience interaction.

Responsibilities
• Create and maintain high-frequency content for our social media channels (e.g. Instagram, TikTok) — including ideation, shooting, editing, and publishing
• Follow existing strategy but contribute and pitch original content and campaign ideas that align with brand and marketing
• Collaborate with in-house videographers and graphic designers to produce social-first videos and visuals
• Write engaging scripts and captions that elevate visuals and resonate with our audience
• Liaise with stakeholders to translate briefs into compelling social content
• Stay on top of social media trends and new features to keep our content fresh and relevant
• Participate in and lead external shoots (2–3 times a week) to capture content for ongoing campaigns and daily posts","• A strong content creator who has been consistently posting on Instagram and/or TikTok over the past year (personal or professional account)
• Comfortable in front of and behind the camera — confident with both photo and video formats
• A keen eye for aesthetics and an intuitive grasp of what performs well on social
• Proactive, creative, and always ready to try new ideas",29/07/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị Nội Dung",Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,3,Cử nhân,Không hiển thị,1,08:30 - 17:30,Nhân viên,"Content Creation, Social Media Management",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị Nội Dung, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, Content Creation, Social Media Management, CÔNG TY CỔ PHẦN KIN LIVING GROUP, Hồ Chí Minh"
HR Operations Coordinator,OIA Global Vietnam,"$ 600-1,200 /tháng","138-142 Hai Bà Trưng, phường Đa Kao, Quận 1, TP. Hồ Chí Minh, Việt Nam, 1 Floor, Empress Tower, 138-142 Hai Ba Trung Str., Dakao, Dist. 1, HCMC","1. HR Operations & Documentation

Prepare and manage employment contracts, HR letters, and employee records across the four countries.

Maintain accurate HR databases on SuccessFactors and filing systems to ensure up-to-date employee documentation.

Support audit preparation and labor inspections by maintaining proper documentation.

2. Onboarding & Offboarding

Coordinate onboarding logistics (documents, equipment requests, system access) for new hires.

Ensure smooth offboarding, including final settlements, exit checklists, and feedback collection.

3. Payroll & Compliance Support

Assist the HRBP in collating payroll data and ensuring timely submission to payroll vendors.

Track leave and attendance records and support statutory reporting as required in each country.

Help monitor compliance with labor laws and company policies.

4. Recruitment & Talent Acquisition Support

Post job advertisements, coordinate interview schedules, and manage candidate communications.

Assist in offer letter preparation and background checks as needed.

Maintain recruitment trackers and reports.

5. Performance & Development Administration

Support the Manager- HRBP in coordinating the performance review cycle.

Maintain training records and track employee development initiatives.

6. General HR Support

Serve as a point of contact for basic employee queries and redirect complex issues to the HRBP.

Provide administrative support for HR projects and regional initiatives.

Coordinate logistics for HR events, meetings, and employee engagement activities.","Diploma or bachelor’s degree in human resources, Business Administration, or a related field.

1–3 years of experience in an HR support role, preferably in a multinational or FDI setting.

Familiarity with HR processes and local labor law in Vietnam

Strong organizational and administrative skills.

Proficient in Microsoft Office (Excel, Word, PowerPoint); experience with HRIS systems is an advantage.

Detail-oriented with a proactive attitude and willingness to learn.

Good communication skills in English and Vietnamese is critical for this role.",29/07/2025,Nhân Sự/Tuyển Dụng > Nhân Sự Tổng Hợp,Hậu cần/Giao nhận,1,Cử nhân,Không hiển thị,Không hiển thị,,Nhân viên,"English Fluency, Payroll Calculation, Vietnam Labor Laws, HR Administration",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Hậu cần/Giao nhận, English Fluency, Payroll Calculation, Vietnam Labor Laws, HR Administration, OIA Global Vietnam, Hồ Chí Minh"
Trade Marketing Supervisor,Navigos Search,Thương lượng,"Ho Chi Minh, HCMC","A. Job Purpose & Expectations:
- Responsible for planning and executing Trade Marketing activities to support the company's product strategy in the agriculture/FMCG sector.
- Conduct product surveys, analysis, and pricing; coordinate with the Sales team in negotiating prices with customers.

B. Professional Responsibilities
- Develop and manage promotional plans and projects to enhance trade marketing effectiveness.
- Execute promotional and communication activities (e.g., advertising, sponsorship, roadshows, offline events).
- Organize activation activities including sampling and market fairs.
- Evaluate promotion effectiveness and adjust strategy accordingly.
- Manage and distribute marketing materials and ensure consistent POSM implementation across retail channels.
- Work closely with Sales to analyze pricing, support negotiations, and improve sales performance.
- Collect and report on market trends, POSM, and competitor activity.

C. Other Responsibilities
- Ensure compliance with internal policies and recommend improvements where necessary.
- Participate in required training and development activities, and contribute to company culture.
- Complete other tasks as assigned by the manager.","Education:
• Bachelor's degree in Marketing, Business, or a related field

Experience:
• Minimum 2 years in a similar role or 3–5 years in a related function

Language:
• Proficiency in English

Technical Competence:
• Planning and execution
• POSM design and control
• Industry knowledge

Core Skills:
• Time management
• Analytical thinking
• Negotiation
• Creativity

Personal Attributes:
• Integrity
• Positivity
• Accountability
• Ability to work under pressure

Preferred:
• Experience in FMCG or modern retail distribution",29/07/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị Thương Mại",Hàng tiêu dùng,2,Cử nhân,15-60,1,9:00 - 18:00,Nhân viên,"Analytical Thinking, Negotiation, Planning, Time Management, Posm Design And Control",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị Thương Mại, Hàng tiêu dùng, Analytical Thinking, Negotiation, Planning, Time Management, Posm Design And Control, Navigos Search, Hồ Chí Minh"
Nhân Viên Chăm Sóc Khách Hàng - Không Kinh Nghiệm,Mola Paradise,$ 350-800 /tháng,"94 Hoàng Trọng Mậu, Khu đô thị Him Lam, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam, KDC, 94 Hoàng Trọng Mậu, Khu đô thị Him Lam, Tân Hưng, Quận 7, Hồ Chí Minh, Việt Nam","Tiếp nhận và xử lý các yêu cầu, thắc mắc của khách hàng về sản phẩm/dịch vụ của công ty thông qua các kênh như chat trực tuyến.
Cung cấp thông tin chính xác và kịp thời cho khách hàng về sản phẩm, dịch vụ, chương trình khuyến mãi.
Giải quyết các vấn đề, khiếu nại của khách hàng một cách hiệu quả và chuyên nghiệp.
Theo dõi và cập nhật thông tin về tình trạng yêu cầu của khách hàng.
Làm việc nhóm hiệu quả, phối hợp với các bộ phận khác để giải quyết vấn đề của khách hàng.","Không yêu cầu kinh nghiệm.
Khả năng giải quyết vấn đề nhanh chóng, hiệu quả.
Trung thực, cẩn thận, có trách nhiệm trong công việc.
Khả năng làm việc độc lập và làm việc nhóm.
Kiên nhẫn, nhiệt tình, có khả năng chịu áp lực cao.
Kiến thức về game (thể loại kiếm hiệp) là một lợi thế.
Nắm vững các kỹ năng giao tiếp, xử lý tình huống, kỹ năng lắng nghe.",29/07/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị Trực Tuyến",Thương mại điện tử,Không yêu cầu,Không giới hạn,18-30,Không hiển thị,,Nhân viên,"Tư Vấn, Giao Tiếp, Chăm Sóc Khách Hàng",Tiếng Việt,Người Việt Nam,Bất kỳ,Bất kỳ,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị Trực Tuyến, Thương mại điện tử, Tư Vấn, Giao Tiếp, Chăm Sóc Khách Hàng, Mola Paradise, Hồ Chí Minh"
"Cost Controller (Non-Management, Fluent English)",CÔNG TY TNHH RBA VIỆT NAM,Thương lượng,"8th Floor, TMS Building, 172 Hai Ba Trung, Tan Dinh Ward, Ho Chi Minh City, Vietnam, TMS Building, 172 Hai Bà Trưng, Tan Dinh Ward, Ho Chi Minh City, Vietnam","As part of the Finance team, the Cost Controller plays a critical role in driving cost efficiency and financial transparency across all RBA offices. This position is responsible for tracking, analyzing, and controlling costs across multiple entities, ensuring consistency, accuracy, and compliance with group-wide financial policies. Reporting directly to the Finance Manager, the role requires strong cross-border collaboration, advanced cost accounting expertise, and the ability to influence both local and regional stakeholders.

Key Responsibilities
1. Cost Planning & Analysis
• Develop and maintain standard costing methodologies in alignment with RBA’s multi-entity operations.
• Monitor and analyze actual vs. standard costs; identify variances, investigate root causes, and propose corrective actions.
• Conduct contribution margin and profitability analysis across business units and geographies.
• Support budgeting and forecasting by providing accurate cost data and financial insights.
• Cost structure analysis
2. Cost Control & Operations Support
• Collaborate with teams across the group to ensure accurate cost allocations and improve cost efficiency.
• Review and validate Bills and support expenses approval; ensure timely updates reflecting real-time purchasing data.
• Track input costs (labor, overhead and other expenses); flag anomalies and recommend optimization measures.
• Drive cost-saving initiatives and support continuous improvement efforts across functions.
3. Reporting & Compliance
• Prepare and present monthly cost reports for all RBA entities; ensure consistency in group-wide reporting.
• Ensure compliance with internal controls, accounting standards, and financial policies.
• Support month-end and year-end closing processes, intercompany reconciliations, and internal/external audit requirements.
4. Stakeholder Collaboration & Process Improvement
• Work closely with the Finance Manager and cross-functional teams to align cost control processes across regions.
• Contribute to the standardization and documentation of cost procedures group-wide.
• Coach and guide junior staff (if any) in cost analysis tools and best practices.
• Participate in system enhancement projects related to costing.","• Bachelor’s degree in Accounting, Finance, or a related field; CMA or CPA certification is a strong advantage.
• Minimum of 3 years of experience in cost controlling or cost accounting, preferably within the professional services, retail, F&B, or agency sectors.
• Solid expertise in accounts payable, management accounting, cost and variance analysis, and group consolidation processes.
• Proficient in Microsoft Excel; experience with accounting systems, particularly Xero is essential.
• Fluent in English, both written and spoken.
• Strong analytical skills, attention to detail, and the ability to manage complexity across multiple locations.
• Good communication and interpersonal skills, with a proven ability to collaborate across diverse teams and cultures.
• Demonstrates high integrity and a strong commitment to professional ethics.",29/07/2025,Kế Toán/Kiểm Toán > Kế Toán Tài Chính,Tài Chính,3,Cử nhân,Không hiển thị,1,9:00 - 18:00,Nhân viên,"Accounts Payable, Analysis & Reporting Skills, Costing management, Management Accounting, Planning & controlling",Tiếng Anh,Người Việt Nam,Bất kỳ,Bất kỳ,T2 - T6,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Tài Chính, Accounts Payable, Analysis & Reporting Skills, Costing management, Management Accounting, Planning & controlling, CÔNG TY TNHH RBA VIỆT NAM, Hồ Chí Minh"
Marketing Director (FDI Company),Navigos Search's Client,"$ 3,000-5,000 /tháng","Hanoi, Hà Nội, Việt Nam, Hanoi","Navigos Search’s client is a trading & manufacturing FDI company looking for a position of Marketing Director in charge of the following duties:
• Develop and execute the overall marketing strategy for Company’s portfolio in Vietnam, aligning with global brand direction and local market dynamics.
• Lead brand development and positioning for multiple brands across consumer and trade segments.
• Oversee all marketing functions including brand communication, digital marketing, public relations, trade marketing, and experiential events.
• Conduct market research, analyze industry trends, customer behavior, and competitor landscape to provide strategic insights.
• Drive demand generation, customer acquisition, and brand equity through integrated campaigns and marketing initiatives.
• Build, lead and mentor the internal marketing team; foster a high-performance and innovative culture.
• Manage marketing budgets efficiently to ensure optimal ROI and cost-effectiveness.
• Collaborate cross-functionally with Sales, Product, R&D, and Regional teams to launch new products and campaigns effectively.
• Represent company in industry events, strategic forums, and corporate social responsibility (CSR) activities.","Qualifications & Experience
• Bachelor’s degree or higher in Marketing, Business Administration, or a related field.
• Minimum 10 years of progressive marketing experience, with at least 5 years in a senior leadership role.
• Candidates with experience related to electronic home appliances, electronic consumer goods, or building materials/interior industry is highly preferred.
• Proven success in leading brand strategy and multi-channel marketing in a complex business environment.
Skills & Attributes
• Strategic thinker with a deep understanding of consumer behavior and market trends.
• Strong business acumen with data-driven decision-making capability.
• Excellent leadership, communication, and stakeholder management skills.
• Fluent in English (written and spoken); proficiency in Vietnamese is a plus.
• Creative, adaptable, results-oriented, and capable of managing multiple priorities.",29/07/2025,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị",Bán lẻ/Bán sỉ,10,Không giới hạn,Không hiển thị,Không hiển thị,,Giám Đốc và Cấp Cao Hơn,"English, Marketing, Management, Leadership",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị, Bán lẻ/Bán sỉ, English, Marketing, Management, Leadership, Navigos Search's Client, Hà Nội"
EE Technical Project Manager,Vinfast Global,Thương lượng,"Symphony Building, Chu Huy Man Street, Long Bien District, Hanoi, Symphony Building, Chu Huy Man Street, Hanoi, Vietnam","Position Context 
We are seeking two highly skilled and experienced Technical Assistants to join our Electronics and Electricity (EE) Division at VinFast. The successful candidates will provide critical technical support to the Deputy CEO, contributing to the development and management of EE Vehicle Programs.

Position Responsibilities:
(List of essential job functions/duties, responsibilities and expectations – use bullets and prioritize key responsibilities on top)

Project Management and Coordination: 

- Work closely with the Chief Engineers EE to develop and maintain project schedules, milestones, and deliverables 

- Prepare regular project status reports to Deputy CEO and Senior Management 

- Coordinate with cross-functional teams to ensure timely completion of EE-related project tasks 

- Manage coordinated tasks between vehicle programs, including: cost optimization, improvements, issues closure 

- Implement risk management strategies for development projects 


Technical Support and Innovation:


- Collaborate with the Chief Engineers EE to support technical decision-making in EE Vehicle Programs 

- Provide expert technical input on EE components, systems integration, and performance optimization 

- Identify opportunities for process improvement and efficiency gains in EE operation 


Documentation and Communication: 
- Develop and maintain comprehensive technical documentation for EE systems and processes 

- Communicate complex technical information to both technical and non-technical audiences","- Bachelor’s degree or Master’s degree in Electrical Engineering.

- At least 7+ years of experience in Automotive electronics or a similar industry.

- Strong background in project management.

- Strong communication skills to enable effective dialogue with local and international parties across all levels of the organization.

- Excellent analytical and problem-solving skills.

- Excellent English (4 skills) and Chinese is a plus. Good proficiency in translation (English-Vietnamese and vice versa).

- Proficient in Microsoft Office Suite (PowerPoint, Word, Excel); reporting skills.

- Thorough, detail-oriented, proactive, and self-motivated with strong work ethics.",29/07/2025,Khoa Học & Kỹ Thuật > Kỹ Thuật Điện/Điện Tử,Ô tô,7,Khác,Không hiển thị,5,09:00 - 18:00,Trưởng phòng,"Project Management, Software Development, Electrical",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Khác,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Ô tô, Project Management, Software Development, Electrical, Vinfast Global, Hà Nội"
Giám Đốc Quản Lý Thiết Kế,Novaland,Thương lượng,"65 Đường Nguyễn Du, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam, 65 Nguyễn Du, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","I. Vai trò
Xây dựng kế hoạch, triển khai quản lý tổng thể thiết kế các giai đoạn thiết kế sơ bộ, thiết kế cơ sở, thiết kế kỹ thuật, thiết kế bản vẽ thi công và giám tác tác giả. Điều phối các bộ phận quy hoạch, kiến trúc, thiết kế kỹ thuật và các bộ phận liên quan để hoàn thành dự án.
II. Nhiệm vụ trọng tâm
Nhiệm vụ 1: Điều hành và kiểm soát việc xây dựng kế hoạch tổng thể dự án, xây dựng kế hoạch, quản lý triển khai thiết kế phù hợp với tiến độ tổng thể của dự án.
1.1 Quản lý & kiểm soát tổng thể công tác quản lý thiết kế, chủ trì xử lý việc điều chỉnh phạm vi công việc, tiến độ thực hiện, phát sinh chi phí của các đơn vị tư vấn thiết kế.
Nhiệm vụ 2: Quản lý chất lượng và tiến độ thiết kế đáp ứng mục tiêu kinh doanh của Tập đoàn
2.1 Kiểm tra đôn đốc các công việc liên quan đến đảm bảo tiến độ, chất lượng và ngân sách thiết kế.
2.2 Tổ chức thực hiện và theo dõi quá trình thiết kế cũng như kiểm soát sự thay đổi
2.3 Kiểm tra tất cả hồ sơ phát hành bao gồm: nhiệm vụ thiết kế, hồ sơ thiết kế các bước phục vụ pháp lý, thẩm tra, thẩm định, đấu thầu và thi công xây dựng.
Nhiệm vụ 3: Đánh giá Tư vấn thiết kế đủ năng lực, đảm bảo phù hợp với yêu cầu thiết kế, ngân sách và tính khả thi trong thi công cho từng dự án.
3.1 Đánh giá và lựa chọn tư vấn thiết kế
3.2 Quản lý ngân sách thiết kế dự án đảm bảo hiệu quả
Nhiệm vụ 4: Xây dựng các chuẩn hóa thiết kế
Xây dựng hệ thống QLTK, chuẩn hóa thiết kế, chuẩn hóa vật liệu thiết kế
Nhiệm vụ 5: Thực hiện các nhiệm vụ khác theo phân công của Quản lý trực tiếp
- Tỷ lệ hoàn thành các công việc được phân công","1. Trình độ: Đại học trở lên, chuyên ngành Kiến trúc, Quy hoạch
2. Chứng chỉ nghề nghiệp:
• Có chứng chỉ hành nghề thiết kế kiến trúc, quy hoạch
• 12 năm kinh nghiệm tham gia thiết kế công trình Nhà ở, Khách sạn, Villas, Khu Vui chơi giải trí, quy hoạch khu đô thị
3. Kinh nghiệm:
• 5 năm kinh nghiệm ở vị trí tương đương và quản lý quy mô nhóm ít nhất 10 nhân viên.
• Kỹ năng lãnh đạo tốt, tạo động lực cho nhân viên
• Kỹ năng phán đoán, phân tích, tổng hợp.
• Kỹ năng giải quyết vấn đề.
4. Kỹ năng:
• Kỹ năng quản lý thời gian.
• Thành thạo về Auto Cad, MS Office (Word, Excel, PowerPoint…), sử dụng được MS project.
• Giao tiếp tiếng Anh chuyên ngành.
• Kỹ năng phân tích và đánh giá, nghiên cứu và áp dụng công nghệ, vật liệu mới vào thực tế.
5. Các yêu cầu khác: Hiệu quả, Chính trực, Chuyên nghiệp",29/07/2025,Kiến Trúc/Xây Dựng > Thiết Kế & Quy Hoạch Đô Thị,Kiến trúc/Thiết kế nội thất,12,Cử nhân,Không hiển thị,1,08:30 - 17:30,Giám Đốc và Cấp Cao Hơn,"Auto CAD, Giao Tiếp Tiếng Anh, Lãnh Đạo, MS Office, Thiết Kế",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Kiến Trúc/Xây Dựng, Thiết Kế & Quy Hoạch Đô Thị, Kiến trúc/Thiết kế nội thất, Auto CAD, Giao Tiếp Tiếng Anh, Lãnh Đạo, MS Office, Thiết Kế, Novaland, Hồ Chí Minh"
Giám Đốc Bộ Phận Hệ Thống Thiết Kế,Novaland,Thương lượng,"65 Đường Nguyễn Du, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam, 65 Nguyễn Du, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","I Mô tả công việc:
1. Xây dựng và phát triển hệ thống quy trình quản lý thiết kế
2. Kiểm soát, đánh giá và cải tiến hệ thống quản lý thiết kế, giám sát việc vận hành hệ thống
3. Đào tạo và phát triển năng lực áp dụng hệ thống
4. Quản lý bộ phận và điều phối liên phòng ban
5. Thực hiện các công việc khác theo sự phân công của cấp trên/ Ban Lãnh đạo.
6. Xây dựng và duy trì sự tuân thủ công tác quản trị, vận hành hệ thống
II. Mô tả chi tiết:
1. Tổ chức và điều phối toàn bộ hoạt động thiết kế nội bộ
1.1 Xây dựng kế hoạch tổng thể và chi tiết cho các dự án thiết kế, phân bổ nguồn lực
hợp lý theo ưu tiên công việc.
1.2 Điều phối hiệu quả các nhóm thiết kế, đảm bảo tiến độ, chất lượng và sự nhất
quán trong phong cách thiết kế.
1.3 Giám sát và tối ưu hóa quy trình làm việc nội bộ nhằm nâng cao hiệu suất vận
hành và khả năng phản ứng với thay đổi.
1.4 Chủ động phối hợp với các bộ phận liên quan để đảm bảo sản phẩm thiết kế đáp
ứng mục tiêu chiến lược và định hướng dự án.
2. Kiểm soát chất lượng và định hướng chuyên môn thiết kế.
2.1 Thiết lập và duy trì tiêu chuẩn thiết kế thống nhất theo định hướng Tập đoàn,
2.2 Thẩm định, phản biện và duyệt các phương án thiết kế từ góc độ chuyên môn và
tính ứng dụng thực tế.
2.3 Hướng dẫn và định hướng giải pháp thiết kế phù hợp từng loại sản phẩm, đối
tượng người dùng và quy mô dự án.
2.4 Đảm bảo sự cải tiến và sáng tạo trong thiết kế, đồng thời duy trì tính khả thi khi
triển khai vào thực tế hoặc thi công.
3. Quản lý hệ thống quy trình và chuẩn hóa tài liệu thiết kế
3.1 Xây dựng, cập nhật và kiểm soát quy trình thiết kế từ giai đoạn ý tưởng đến triển
khai bản vẽ chi tiết.
3.2 Chuẩn hóa tài liệu thiết kế, thư viện bản vẽ, vật liệu mẫu, quy cách kỹ thuật...
nhằm phục vụ công việc hiệu quả và đồng nhất.
3.3 Phối hợp với các bộ phận như kỹ thuật, thi công, cung ứng… để rà soát khả năng
thi công, tính tối ưu chi phí trong thiết kế.
3.4 Ứng dụng phần mềm và công cụ quản lý để số hóa, lưu trữ, chia sẻ và truy xuất
dữ liệu thiết kế dễ dàng và an toàn
4. Thực hiện các công việc khác theo sự phân công của cấp trên/ Ban Lãnh
đạo.
5. Xây dựng và duy trì sự tuân thủ công tác quản trị, vận hành hệ thống
5.1 Chủ trì xây dựng hệ thống quản trị nội bộ Phòng Ban: Quy chế làm việc, Quy
trình, Quy định, Biểu mẫu - Check list công việc, …, đề xuất điều chỉnh Ma trận phân
quyền phù hợp vận hành từng thời kỳ để đảm bảo công tác vận hành nội bộ, phối
hợp công việc liên Phòng/ Ban trong Tập đoàn được xuyên suốt, chính xác, nhanh
chóng mang lại hiệu quả tối ưu.
5.2 Xây dựng và triển khai kế hoạch đào tạo chuyên môn nội bộ cho Phòng Ban
nhằm nâng cao năng lực chuyên môn, phát triển đội ngũ nhân tài, kế thừa.
5.3 Tuân thủ nội quy/quy định/tài liệu nội bộ của Tập đoàn. Quản lý dữ liệu/ thông
tin/ hồ sơ chuyên môn và các tài liệu liên quan đến tác nghiệp nội bộ phòng.
5.4 Nhận diện, đánh giá, kiểm soát và giảm thiểu các rủi ro phát sinh trong hoạt
động hàng ngày tại đơn vị; báo cáo tới Phòng Quản lý Rủi ro, Quy trình và Tuân thủ
các rủi ro phát sinh theo các chính sách, quy định nội bộ về Quản lý rủi ro.
5.5 Quản trị, chịu trách nhiệm về các vấn đề liên quan đến công cụ dụng cụ, tài sản
mà Phòng Ban sử dụng, vận hành, quản lý.","1. Trình độ: Tốt nghiệp Đại học trở lên chuyên ngành Kiến trúc, Kỹ thuật xây dựng, Quản lý chất lượng hoặc các ngành liên quan.
2. Kiến thức:
3. Chứng chỉ nghề nghiệp: Ưu tiên ứng viên có chứng chỉ về ISO, quản lý dự án (PMP), hệ thống chất lượng, hoặc đào tạo nội bộ
4. Kinh nghiệm:
4.1 Tối thiểu 10 năm kinh nghiệm quản lý hệ thống, quy trình hoặc kiểm soát nội bộ.
4.2
- 5 năm kinh nghiệm ở vị trí tương đương và quản lý quy mô nhóm ít nhất 10 nhân viên.
5. Kỹ năng:
- Kỹ năng lãnh đạo tốt, tạo động lực cho nhân viên
- Kỹ năng phán đoán, phân tích, tổng hợp.
- Kỹ năng giải quyết vấn đề.
- Kỹ năng quản lý thời gian.
- Thành thạo về Auto Cad, MS Office (Word, Excel, PowerPoint…), sử dụng được MS project.
- Giao tiếp tiếng Anh chuyên ngành.
- Kỹ năng phân tích và đánh giá, nghiên cứu và áp dụng công nghệ, vật liệu mới vào thực tế.
6. Các yêu cầu khác: Hiệu quả, Chính trực, Chuyên nghiệp
- Đặc tính Novator & Cơ chế đánh giá Nhân sự.
7. Năng lực yêu cầu: Sử dụng Khung NL theo của từng chức danh để đưa vào (theo từng thời kỳ)",29/07/2025,Kiến Trúc/Xây Dựng > Thiết Kế & Quy Hoạch Đô Thị,Kiến trúc/Thiết kế nội thất,8,Cử nhân,Không hiển thị,1,08:30 - 17:30,Giám Đốc và Cấp Cao Hơn,"Auto CAD, Lãnh Đạo, Quản Lý Hệ Thống, Quản Lý Quy Trình, Thiết Kế",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,Toàn thời gian,"Kiến Trúc/Xây Dựng, Thiết Kế & Quy Hoạch Đô Thị, Kiến trúc/Thiết kế nội thất, Auto CAD, Lãnh Đạo, Quản Lý Hệ Thống, Quản Lý Quy Trình, Thiết Kế, Novaland, Hồ Chí Minh"
