Title,Company,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max,salary_avg_vnd,salary_mins,salary_maxs
Senior Business Controller,Page Group Vietnam,,,,,,,,,,,,,,,,,,,,0,100,190704500.0,151409000.0,230000000.0
HRBP Manager (Commercial) - FMCG/ Consumer goods,Navigos Search,"Center of Ho Chi Minh City, HCMC","Key Responsibilities
• Act as a strategic HR Business Partner for Commercial functions, translating business strategies into people and organizational strategies to drive sustainable growth.
• Build strong partnerships with senior stakeholders and influence people-related decisions.
• Identify organizational risks and opportunities, and proactively propose people and organizational solutions.
• Partner with Commercial leaders on workforce planning, talent acquisition, performance management, leadership development, succession planning, and strategic talent reviews.
• Design and maintain organizational structure aligned with business strategy and productivity goals.
• Plan annual headcount and workforce allocation in partnership with Commercial Director and functional heads, and provide manpower insights for decision-making.
• Develop and implement talent management strategies to strengthen organizational capability and commercial performance.
• Participate in key hiring decisions for Sales and Commercial roles to ensure talent quality and strategic fit.
• Identify and develop high-potential talents and successors for critical and leadership roles, building robust succession pipelines.
• Conduct Training Needs Analysis (TNA), develop training plans and budgets, and partner with Talent/OD and Sales Capability teams on learning initiatives.
• Drive organizational culture aligned with Group values and commercial objectives.
• Deliver employee engagement initiatives to enhance collaboration, motivation, and performance.
• Coach leaders on people management, leadership effectiveness, and employee experience to build a high-performance culture.
• Ensure effective implementation of performance management processes and alignment between performance outcomes and rewards policies.
• Provide coaching to managers and employees to drive accountability and performance excellence.
• Advise on Vietnam Labor Law and HR policies to ensure compliance and disciplined workplace practices.
• Manage employee relations, grievances, disciplinary actions, and industrial relations cases in a fair and compliant manner.
• Develop and manage HR budget for Commercial functions.
• Lead HR transformation and change management initiatives and partner with HR team on compensation, learning, HR operations, and facilities.
• Conduct exit interviews and analyze insights to improve retention strategies.
• Leverage HR analytics and reports to provide actionable insights for business leaders.
• Lead or participate in HR strategic projects to enhance overall HR effectiveness.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-02-10,Nhân Sự/Tuyển Dụng,Hàng tiêu dùng,5.0,,,,Trưởng phòng,"Analytical Skills, HR Business Partner, Stakeholder Management, Talent Management, Vietnam Labor Laws",Tiếng Anh,Người Việt Nam,,,,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Hàng tiêu dùng, Analytical Skills, HR Business Partner, Stakeholder Management, Talent Management, Vietnam Labor Laws, Navigos Search, Hồ Chí Minh",Nhân Sự Tổng Hợp,0,100,,,
Chief Technology Officer (Consumer Finance - Open for Expat),Navigos Search's Client,"Hà Nội, Việt Nam, Hanoi / HCMC","Role Purpose:
The CTO will be responsible for defining and executing the company’s technology strategy, building a robust, secure, and scalable digital finance platform, and leading the engineering organization from early-stage build to growth and optimization.

Key Responsibilities:
Technology Strategy & Architecture 
 • Define and own the overall technology vision, roadmap, and architecture aligned with business objectives. 
 • Design and oversee scalable, high-availability systems supporting consumer finance products (e.g. lending, credit scoring, payments, wallets). 
 • Ensure system architecture supports rapid iteration while maintaining stability, security, and compliance.
Product & Business Collaboration 
 • Partner closely with the CEO and leadership team to translate business strategy into technical execution. 
 • Collaborate with Product, Risk, Data, and Operations teams to deliver seamless end-to-end consumer experiences. 
 • Balance speed-to-market with long-term platform sustainability.
Engineering Leadership 
 • Build, lead, and mentor a high-performing engineering and technology team. 
 • Establish engineering best practices across software development, DevOps, QA, and release management. 
 • Set clear KPIs for delivery, system reliability, and team performance.
Security, Risk & Compliance 
 • Ensure compliance with financial regulations, data privacy, and security standards (e.g. KYC, AML, data protection). 
 • Implement strong cybersecurity, fraud prevention, and risk mitigation practices. 
 • Work with internal and external stakeholders to meet audit and regulatory requirements.
Data & Platform Enablement 
 • Oversee data infrastructure supporting analytics, credit decisioning, and personalization. 
 • Enable effective use of data for risk management, customer insights, and product optimization.
 Ecosystem & Vendor Management 
 • Align technology standards and integrations within the broader technology ecosystem. 
 • Evaluate and manage third-party vendors, platforms, and technology partners when appropriate.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-02-10,Công Nghệ Thông Tin/Viễn Thông,Tài Chính,10.0,Cử nhân,1,09:00 - 18:00,Giám Đốc và Cấp Cao Hơn,"Software Engineering, Technology Management, Consumer Finance, Digital Platform, Strategic Thinking",Tiếng Anh,Không giới hạn,Không hiển thị,Thứ 2  đến Thứ 6,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Quản Lý Công Nghệ Thông Tin, Tài Chính, Software Engineering, Technology Management, Consumer Finance, Digital Platform, Strategic Thinking, Navigos Search's Client, Hà Nội",Quản Lý Công Nghệ Thông Tin,0,100,,,
Head of AI (Conversation Team),Navigos Search's Client,"Hà Nội, Việt Nam, Hanoi / HCMC","The Head of Conversational AI is responsible for owning the end-to-end conversational intelligence strategy for embodied or interactive AI platforms. This role leads all R&D and applied development related to dialogue systems, speech interaction, multimodal understanding, memory architectures, and safety-aligned AI behavior.

You will manage a multidisciplinary team and collaborate closely with robotics, perception, systems, and product teams to deliver natural, reliable, and context-aware conversational experiences in real-world environments.

Key Responsibilities
Technical & Strategic Leadership
- Define the long-term vision and technical roadmap for conversational AI systems.
- Lead the design and evolution of LLM-based dialogue architectures, including memory, retrieval, and safety layers.
- Oversee development of robust speech pipelines (ASR/TTS) suitable for noisy and dynamic environments.
- Guide integration of vision–language and multimodal reasoning to enhance situational understanding.

System Development & Deployment
- Ensure conversational models are optimized for edge and embedded deployment, balancing latency, accuracy, and compute constraints.
- Drive best practices for dataset creation, annotation strategies, and scalable data pipelines.
- Partner with system, robotics, and infrastructure teams to deliver production-grade conversational capabilities.

People & Execution
- Build, mentor, and scale a high-performing conversational AI team.
- Set clear objectives, OKRs, and execution priorities aligned with product roadmaps.
- Foster a culture of technical excellence, research curiosity, and delivery discipline.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-02-10,Công Nghệ Thông Tin/Viễn Thông,Phần Mềm CNTT/Dịch vụ Phần mềm,7.0,Cử nhân,1,09:00 - 18:00,Trưởng phòng,"Conversational AI, Natural Processing Language, Deep Learning, Python Programming, Leadership",Tiếng Anh,Người Việt Nam,Không hiển thị,Thứ 2  đến Thứ 6,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Data Engineer/Data Analyst/AI, Phần Mềm CNTT/Dịch vụ Phần mềm, Conversational AI, Natural Processing Language, Deep Learning, Python Programming, Leadership, Navigos Search's Client, Hà Nội",Data Engineer/Data Analyst/AI,0,100,,,
AI Researcher Scientist (Conversation),Navigos Search's Client,"Hà Nội, Việt Nam, Hanoi / HCMC","This role focuses on advanced research and experimentation in conversational intelligence for embodied AI systems. The Research Scientist will explore and develop next-generation capabilities in large language models, speech recognition, and speech synthesis, with an emphasis on real-world interaction scenarios.

The position is highly research-driven, targeting algorithmic innovation, large-scale model training, and scientific publication, while also working closely with engineering teams to transition research outcomes into deployed systems.

Key Responsibilities
- Conduct original research in LLMs, ASR/STT, and TTS for interactive AI systems.
- Propose and evaluate new model architectures, training pipelines, and multimodal learning approaches.
- Design and run large-scale experiments, including pre-training, fine-tuning, and instruction tuning.
- Investigate alignment, safety, hallucination control, and reinforcement learning–based optimization techniques.
- Build and curate high-quality datasets and evaluation benchmarks for language and speech tasks.
- Explore grounding methods that connect language understanding with perception, action, and world modeling.
- Collaborate with applied engineering teams to translate research outputs into production-ready solutions.
- Optimize model performance for deployment on edge devices, GPU clusters, or cloud infrastructure.
- Define evaluation methodologies and metrics (e.g. WER, CER, MOS, latency, robustness).",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-02-10,Công Nghệ Thông Tin/Viễn Thông,Phần Mềm CNTT/Dịch vụ Phần mềm,7.0,Thạc Sĩ,1,09:00 - 18:00,Nhân viên,"NLP, Machine Learning, Speech Processing, Pytorch, Problem-solving",Tiếng Anh,Người Việt Nam,Không hiển thị,Thứ 2  đến Thứ 6,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Data Engineer/Data Analyst/AI, Phần Mềm CNTT/Dịch vụ Phần mềm, NLP, Machine Learning, Speech Processing, Pytorch, Problem-solving, Navigos Search's Client, Hà Nội",Data Engineer/Data Analyst/AI,0,100,,,
Data Governance Head,Navigos Search's Client,,,,,,,,,,,,,,,,,,,,0,100,,,
Production Supervisor (SMT),Công Ty TNHH Ajax Systems Việt Nam,"KCN Minh Đức, Hưng Yên, Mỹ Hào, Hưng Yên, Việt Nam, Hà Nội, Vietnam, near VSIP Hải Dương, KCN Minh Đức, Hưng Yên, My Hao District, Hung Yen, Vietnam","Job purpose:
We are seeking a detail-oriented and hands-on Production Supervisor to oversee and coordinate production activities in the electronics manufacturing line, specifically focusing on SMT, semi-finished and finished product assembly. The ideal candidate will ensure production targets are met in terms of quality, output, and efficiency, while complying with all safety and quality standards.

Responsibilities:
• Production Planning & Execution:
◦ Manage and coordinate the production process to ensure rhythmic product release in accordance with production plans and supply contracts.
◦ Develop and adjust production plans and calendar schedules, including implementing planning standards for operational production planning.
◦ Coordinate department sites to ensure rhythmic execution of production plans and eliminate violations.

• Operational Control & Resource Management (4M):
◦ Organize operational control over the provision of technical documentation, equipment, tools, materials, and transport.
◦ Ensure daily operational accounting of the production process, fulfillment of daily tasks for finished product release, and control of work-in-progress.
◦ Manage production department warehouses and participate in inventory processes.

• Process & Quality Improvement & KPI management
◦ Establish, monitor, and manage departmental Key Performance Indicators (KPIs) to drive efficiency, quality, and productivity. This includes participating in establishing departmental priority quality goals that can be measured and analyzing the effectiveness of applied actions in the area of process and product quality.
◦ Identify and develop technical innovations, best practices to improve technology, production organization, and labor productivity.
◦ Analyze activities to ensure more complete and uniform loading of capacities, equipment, and production space, and shorten production cycles.
◦ Organize the development of measures to improve operational planning, current accounting of production, and the operational control system.
◦ Ensure department operation adheres to Quality Manuals and applies a process approach for implementation of production activities.

• Team Leadership & Communication:
◦ Manage department employees.
◦ Regularly provide feedback to subordinates and timely inform them of production tasks and updated information.

• Occupational Health & Safety (OHS):
◦ Develop and implement measures to ensure safe and healthy working conditions for employees.
◦ Participate in developing and monitoring labor protection instructions, and conducting OHS training.
◦ Control the provision of collective protection means, emergency alarms, and fire extinguishing systems.
◦ Develop organizational and technical measures for the safe conduct of loading and unloading and warehouse operations and monitor their implementation.
◦ Ensure safe and healthy working conditions for employees, conduct occupational safety training, and monitor compliance with safety requirements.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-02-10,Sản Xuất,Hệ thống CNTT & Thiết bị,0.0,Không giới hạn,1,,Nhân viên,"Production Management, Giám Sát Sản Xuất, Quản Lý Sản Xuất, SMT, PCB",Bất kỳ,Người Việt Nam,Không hiển thị,,Toàn thời gian,"Sản Xuất, Hoạch Định & Quản Lý Sản Xuất, Hệ thống CNTT & Thiết bị, Production Management, Giám Sát Sản Xuất, Quản Lý Sản Xuất, SMT, PCB, Công Ty TNHH Ajax Systems Việt Nam, Hưng Yên, Hà Nội, Hải Dương",Hoạch Định & Quản Lý Sản Xuất,0,100,,,
Privilege Banking Relationship Manager,United Overseas Bank (Vietnam) Limited (UOB),"Saigon Ward, Ho Chi Minh City, The Central Plaza, 17 Le Duan, District 1, Ho Chi Minh City, Vietnam","About UOB
United Overseas Bank Limited (UOB) is a leading bank in Asia with a global network of more than 500 branches and offices in 19 countries and territories in Asia Pacific, Europe and North America. In Asia, we operate through our head office in Singapore and banking subsidiaries in China, Indonesia, Malaysia and Thailand, as well as branches and offices. Our history spans more than 80 years. Over this time, we have been guided by our values – Honorable, Enterprising, United and Committed. This means we always strive to do what is right, build for the future, work as one team and pursue long-term success. It is how we work, consistently, be it towards the company, our colleagues or our customers.

About the Department
Personal Financial Services: We design and provide products and services that empower our customers to enjoy greater banking convenience while they extract more value from their money. In particular, we are focused on promoting and developing healthy saving and investment practices across generations.

Job Responsibilities
NTB Sales Management:
• Growing the portfolio of high network individuals by Soliciting business to prospective clients and bring in new accounts & achieve sales target as per monthly targets assigned. This would involve cold calls. Tapping existing account holders for referrals and lead generation.
Portfolio Management:
• Deepen existing relationships via customer visits or cross sell and focus on attrition management. Implementing sales strategies to grow the portfolio. Making use of relationship management to retain valuable customers and win new business.
Marketing/ Cross sell:
• To cross-sell bank products to increase total portfolio for the bank Cross-selling and referrals of other banking products.
• Ensure compliance with local policies, SOPs & regulation guided by SBP in all activities & transaction. Also ensure the compliance of AML/ CFT required for the assigned portfolio.
Service quality:
• To promote the highest level of customer service and responsiveness to Privilege Clients. Ensure that the customer gets the correct & accurate, not misleading information on UOB Privilege products, program & promotion.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-02-10,Ngân Hàng & Dịch Vụ Tài Chính,Ngân hàng,3.0,Cử nhân,1,9:00 - 18:00,Nhân viên,"Client Orientation, Communication, Investment Management, Relationship Management, Sales Orientation",Tiếng Anh,Không hiển thị,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Ngân Hàng & Dịch Vụ Tài Chính, Dịch Vụ Hỗ Trợ Khách Hàng, Ngân hàng, Client Orientation, Communication, Investment Management, Relationship Management, Sales Orientation, United Overseas Bank (Vietnam) Limited (UOB), Hồ Chí Minh",Dịch Vụ Hỗ Trợ Khách Hàng,0,100,,,
Legal Counsel,Công Ty TNHH Ajax Systems Việt Nam,,,,,,,,,,,,,,,,,,"Pháp Lý, Tư Vấn Pháp Lý, Hệ thống CNTT & Thiết bị, Legal, Law, Legal & Law, Legal Counsel & Compliance, Legal Counseling, Công Ty TNHH Ajax Systems Việt Nam, Hưng Yên, Hải Dương, Hà Nội",,0,100,,,
Beauty & Cosmetics Marketing Manager,Công Ty TNHH ActsOne Việt Nam,"R. 803 - 11th Floor, Nguyen Lam Tower, 133 Duong Ba Trac, Chanh Hung Ward, Ho Chi Minh City, Số 20 Đường 01, Khu Đô Thị Mới Him Lam, Phường Tân Hưng, Quận 7, Thành Phố Hồ Chí Minh","We are seeking an experienced and innovative *Marketing Manager (Junior or Senior)* who specializes in beauty and cosmetics to lead our marketing efforts. The ideal candidate will have substantial experience in influencer marketing, branding and content creation, and social media management, particularly in short-form videos (e.g., TikTok, Instagram Reels, YouTube Shorts) and engaging text content. This role requires a proactive leader who can develop creative marketing strategies, foster strong relationships with influencers, and drive impactful brand collaborations that resonate with our target audience.

Key Responsibilities
** We are not looking for someone with marketing experience in other fields, but rather someone with extensive experience in cosmetics marketing with clearly copywriting and branding experience, and above all, someone with extensive experience in creating social content and working with influencers, not just planning experience.
1. Branding & Creative Direction:
- Lead brand identity development and evolution (logos, brand guidelines, visual systems, typography, color palettes)
- Establish and maintain global-standard aesthetic direction with emphasis on Korean beauty trends
- Oversee brand application across all touchpoints (retail spaces, packaging, POSM, corporate materials, popup store design)
- Drive creative strategy alignment with Korean and international beauty industry standards
- Guide storytelling and copywriting with copywriter.

2. Influencer Marketing and Content Collaboration
- Develop and implement strategic influencer marketing plans tailored to beauty and cosmetic products.
- Identify, negotiate, and establish strong, ongoing collaborations with influencers, makeup artists, and beauty content creators.
- Lead the production of authentic and engaging collaborative content (e.g., product reviews, tutorials, trend-based content) with influencers that align with our brand voice and values.
- Monitor and analyze the performance of influencer campaigns, ensuring high engagement rates, ROI, and adherence to brand guidelines.

3. Social Media Management and Strategy
- Develop and execute a comprehensive social media strategy that integrates influencer campaigns, short-form videos, and other content types to grow the brand’s online presence.
- Reprocessing various content resources created internally and through influencers and publishing them to various channels for viral marketing.
- Manage content calendars, ensuring a consistent and balanced mix of content that appeals to various customer segments.
- Track and analyze content performance metrics, using data-driven insights to refine and optimize social media strategies.

4. Team Leadership and Performance Management
- Lead and mentor the marketing team, providing direction on creative content, influencer partnerships, and campaign execution.
- Set clear KPIs and performance goals for team members, offering regular feedback and support to ensure targets are met.
- Foster a collaborative and dynamic work environment that encourages creativity and continuous improvement.

5. Market Analysis and Reporting
- Conduct regular market analysis to identify emerging trends, competitor strategies, and new opportunities in the beauty and cosmetics sector.
- Prepare and present performance reports to senior management, highlighting successes, challenges, and actionable insights for future campaigns.",Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,2026-02-10,"Tiếp Thị, Quảng Cáo/Truyền Thông",Thương mại điện tử,5.0,Cử nhân,1,,Nhân viên,"Social Media, Content Strategy, Influencing Management, PR Communication, Viral Marketing",Tiếng Anh,Không giới hạn,Nữ,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị, Thương mại điện tử, Social Media, Content Strategy, Influencing Management, PR Communication, Viral Marketing, Công Ty TNHH ActsOne Việt Nam, Hồ Chí Minh",Tiếp Thị,0,100,28750000.0,23000000.0,34500000.0
