Title,Company,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max,salary_avg_vnd,salary_mins,salary_maxs
Accountant,Meshlink,"82 Phố Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội, Vietnam","Position / Vị trí: Accountant
Responsibilities / Nhiệm vụ:
- Handle accounting operations & corporate tax filing
- Support the General Manager and Vietnamese supervisor in company tasks (not limited to accounting)
-Co-work with Taiwanese colleagues for business purpose","Requirements / Yêu cầu:
- 2–3 years of accounting experience
- Bachelor’s degree in Accounting, Economics, or Finance
- Experience in the consumer electronics manufacturing industry is preferred.
- English proficiency; Chinese is a plus",2025-11-10,Kế Toán/Kiểm Toán,Hệ thống CNTT & Thiết bị,1,Cao đẳng,1,,Nhân viên,"Tax Accounting, Kế Toán Tổng Hợp, Kế Toán, Kế Toán Thuế, Hệ Thống Thuế",Tiếng Anh,Người Việt Nam,Nữ,,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Thuế, Hệ thống CNTT & Thiết bị, Tax Accounting, Kế Toán Tổng Hợp, Kế Toán, Kế Toán Thuế, Hệ Thống Thuế, Meshlink, Hà Nội",Kế Toán Thuế,20,27,14490000.0,11385000.0,17595000.0
"Engineer, Plating Process (New Factory)",Molex Vietnam - Hung Yen Branch - New Plant,"Thang Long Industrial Park II, Hung Yen, Vietnam, Lô P15, KCN Thăng Long, Thiên Lộc, Hà Nội, Plots T8 and T9 in Thang Long II Industrial Park, Hung Yen","Working location: Molex Hung Yen
Training period: 1 year at Molex Viet Nam (Hanoi)
About us
MOLEX, a brand under KOCH Industries with its headquarters in LISLE (USA), is one of the world’s leading interconnector manufacturers. Molex creates connections for life by providing technologies that transform the future and improve lives. With a presence in over 40 countries, Molex offers a full range of products, services, and connectivity solutions for the data communications, healthcare, industrial, automotive, and consumer electronics industries. We not only develop solutions for customers but also Create Connections for Life.
Molex Vietnam has been operating its first factory at Thang Long Industrial Park I since 2007. Currently, Molex is investing in a NEW FACTORY located at Thang Long Industrial Park II, Hung Yen province, with a total investment of approximately 145 million USD, covering an area of 100,000 m2 and divided into 3 phases. This factory will produce high-tech products, such as high-speed connector, cables and optical devices.
1. Your Job
To set up production conditions, control the plating process and all related technologies, and manage equipment process engineering to ensure operations achieve quality, productivity, and output goals.
2. Our Team
This role is part of the C&CS division and reports directly to the Manager. The Plating Process Engineer works closely with the plating production department, quality control teams, suppliers, as well as manufacturing engineers from Japan and Korea to support plating line operations and new product development.
3. What You Will Do
• Lead the setup, installation, and trial of new plating production lines, machines, and technologies
• Design plating processes, workflows, and FMEA for new products, and develop operation instructions and machine setting standards
• Provide process control and support during product trials and mass production readiness
• Troubleshoot and resolve quality, technical, and process issues related to plating production lines
• Collaborate with chemical engineers and suppliers to implement process changes and equipment maintenance
• Drive continuous improvement initiatives focused on quality enhancement, productivity increase, and cost reduction
• Manage plating line equipment, spare parts, and preventive maintenance activities
• Support suppliers in resolving machine and technical issues during product setup or trials
• Perform other duties as assigned by management","Who You Are (Basic Qualifications)
• University degree
• At least 2 years of manufacturing experience
• Ability to read technical drawings and knowledge of manufacturing processes
• Proficient in creating standards and work instructions
• Skilled in Microsoft Office (Word, Excel, PowerPoint)
• English communication skills (Japanese or Korean language skills are an advantage)
• Personal qualities: confidentiality, initiative, accountability, carefulness, honesty, willingness to
learn and share knowledge, hard-working, and able to work overtime if needed
5. What Will Put You Ahead (Preferred Qualifications)
• University degree majoring in Chemical, Material, Mechanical, or Mechatronic Engineering
• Experience as a production engineer or process engineer in plating manufacturing
• Knowledge of plating processes or plating machine design
Why Join Us?
• Modern American-standard work environment
• PBM culture that fosters collaboration and personal growth
• Full salary during probation & insurance based on actual salary
• 24/7 occupational safety insurance from day one
• Premium health insurance after just 2 months
• Most Saturdays off (8AM–5PM)
• Shuttle service for convenient commuting
• Global career development via KOCH’s Talent Exchange Programme
• Annual Summer Trip
• Total compensation based on contribution, including:
+Base salary
+Allowances
+Overtime
+13th-month salary
+Performance & spot bonuses
+Service award",2025-11-10,Khoa Học & Kỹ Thuật,Điện/Điện tử,2,Không giới hạn,Không hiển thị,,Nhân viên,"Process Engineering, Chemical Analysis, AutoCAD",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Điện/Điện Tử, Điện/Điện tử, Process Engineering, Chemical Analysis, AutoCAD, Molex Vietnam - Hung Yen Branch - New Plant, Hưng Yên, Hà Nội",Kỹ Thuật Điện/Điện Tử,0,100,,,
Customer Service,Công Ty TNHH Gardenline International (VN),"60a Đường Hoàng Văn Thụ, Phường 9 (Phú Nhuận), Phú Nhuận, Hồ Chí Minh, Việt Nam, Bình Định & Hồ Chí Minh","* Main functions of CS

- Receive information from customers (PO, spec, packaging, testing requirement...).

- Work with Pur to plan shipments

- Update customers on production and delivery status.

- Translate, summarize technical information, requirements, customer feedback.

- Coordinate with PM and logistics.

- Control documents & shipping documents

- Be the contact point for handling customer complaints.","* University/College Degree in Import/Export, Business administration…

 At least 03 years of experience in Customer Service Position or similar

 Fluency in both verbal and written English and English

 Good at Microsoft Office software

 Strong in Negotiation Skill, Time-Management Skill

 Independent and able to work under pressure

 Approachable & team work

 Attention to details & customer-focused",2025-11-10,Dịch Vụ Khách Hàng,Sản xuất,3,Cử nhân,Không hiển thị,,Nhân viên,"Dịch Vụ Khách Hàng, Customer Care, Chăm Sóc Khách Hàng, Customer Service, Communication",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Dịch Vụ Khách Hàng, Dịch Vụ Khách Hàng, Sản xuất, Dịch Vụ Khách Hàng, Customer Care, Chăm Sóc Khách Hàng, Customer Service, Communication, Công Ty TNHH Gardenline International (VN), Hồ Chí Minh",Dịch Vụ Khách Hàng,0,100,28750000.0,23000000.0,34500000.0
[Hà Nội] Trưởng Phòng Hành Chính - Nhân Sự (Công Ty Sản Xuất & Thương Mại),Navigos Search's Client,"Hoài Đức, Hà Nội, Hanoi","1. Mục tiêu vị trí
Chịu trách nhiệm xây dựng chiến lược nhân sự và hành chính phù hợp với chiến lược phát triển của tổ chức; đảm bảo môi trường làm việc chuyên nghiệp, văn hóa tích cực, và tuân thủ pháp luật lao động.
2. Nhiệm vụ chính
Chiến lược & Phát triển tổ chức
• Xây dựng và triển khai chiến lược nhân sự đồng bộ với mục tiêu kinh doanh.
• Nghiên cứu nhu cầu tổ chức, dự báo nguồn lực, theo dõi xu hướng thị trường lao động.
• Đề xuất mục tiêu, chỉ số đánh giá hiệu quả (KPIs, OKRs) cho phòng Nhân sự.
Quản lý & Phát triển đội ngũ
• Xây dựng đội ngũ nhân sự chuyên nghiệp, thúc đẩy tinh thần hợp tác và phát triển cá nhân.
• Thiết kế chương trình đào tạo, lộ trình thăng tiến, và cơ chế ghi nhận đóng góp.
Quản lý quan hệ lao động & chính sách nhân sự
• Giải quyết các vấn đề quan hệ lao động, khiếu nại, kỷ luật công bằng và minh bạch.
• Cập nhật và triển khai chính sách, quy trình nhân sự tuân thủ quy định pháp luật.
• Tư vấn Ban lãnh đạo về các vấn đề nhân sự chiến lược.
Xây dựng & Duy trì văn hóa doanh nghiệp
• Định hình và lan tỏa giá trị cốt lõi của tổ chức.
• Tổ chức hoạt động gắn kết, ghi nhận và truyền thông nội bộ hiệu quả.
Quản lý đánh giá hiệu suất & dữ liệu nhân sự
• Thiết kế hệ thống đánh giá hiệu suất, cơ chế thưởng – phạt rõ ràng.
• Phân tích dữ liệu nhân sự để hỗ trợ ra quyết định và cải tiến quy trình.","• Tốt nghiệp Đại học trở lên chuyên ngành Nhân sự, Quản trị kinh doanh.
• Có kinh nghiệm 5 năm trở lên ở vị trí Trưởng phòng Nhân sự trong các công ty sản xuất hoặc lĩnh vực kinh doanh tương tự.
• Nắm vững kiến thức chuyên môn về quản trị nguồn nhân lực, quản trị hành chính.
• Nắm vững các quy định của pháp luật trong quản trị doanh nghiệp và lĩnh vực hoạt động kinh doanh của Công ty như luật lao động, luật doanh nghiệp, luật SHTT,...
• Kỹ năng Lãnh đạo và Quản lý tốt: Lập kế hoạch, tổ chức triển khai công việc, giám sát và báo cáo.
• Kỹ năng Chiến lược và Tư duy Chiến lược nhạy bén.
• Có Kiến thức Pháp luật Lao động.
• Kỹ năng Giao tiếp và giải quyết các vấn đề trong quan hệ lao động.
• Hiểu biết về Quản lý Hiệu suất và Đào tạo.
• Tư duy tốt, nhạy bén và linh hoạt.
• Thành thạo tin học Văn phòng.",2025-11-10,Nhân Sự/Tuyển Dụng,Sản xuất,5,Cử nhân,Không hiển thị,09:00 - 18:00,Trưởng phòng,"Quản Trị Nguồn Nhân Lực, Quản Trị Hành Chính, Lãnh Đạo, Chiến Lược Sản Phẩm, Giao Tiếp",Bất kỳ,Không hiển thị,Không hiển thị,Thứ 2  đến Thứ 6,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Sản xuất, Quản Trị Nguồn Nhân Lực, Quản Trị Hành Chính, Lãnh Đạo, Chiến Lược Sản Phẩm, Giao Tiếp, Navigos Search's Client, Hà Nội",Nhân Sự Tổng Hợp,0,100,,,
Remittance Officer (Outsourcing),United Overseas Bank (Vietnam) Limited (UOB),"Saigon Ward, Ho Chi Minh City, The Central Plaza, 17 Le Duan, District 1, Ho Chi Minh City, Vietnam","About the Department
The Technology and Operations function is comprised of five teams of specialists with distinct capabilities: business partnership, technology, operations, risk governance and planning support and services. We work closely together to harness the power of technology to support our physical and digital banking services and operations. This includes developing, centralising and standardising technology systems as well as banking operations in Singapore and overseas branches.

Overview of Role
The candidate will be responsible for receiving, processing and posting of inward remittances to ensure timely and accurate crediting into customers’ accounts.

Job Responsibilities
• Receive all types of inward foreign currency (FC) and local currency transfers.
• Process FC and local currency transfers within the bank’s established policies, procedures and systems.
• Investigate discrepancies in customer account details provided by correspondent banks or customers.
• Verify customers’ particulars before posting funds into their accounts.
• In charge of other daily operational tasks: End of day/ Suspense GL/ Nostro reconciliation & investigation.
• Handle internal/external customers’ enquiries & complaints on daily works.
• Investigate and settle any pending or discrepancy items from Nostro/ Sundry/ Suspense GL account timely.
• Perform other duties as assigned by superior.","• Bachelor’s degree/University degree or equivalent experience
• Proficient in MS Office applications especially Excel
• Strong interpersonal skills
• Good command of English language
• Self-motivated, proactive and service oriented
• Able to work under pressure
• Customer-oriented, detailed-minded and meticulous
• Good communication skill
• Team player",2025-11-10,Dịch Vụ Khách Hàng,Ngân hàng,1,Cử nhân,Không hiển thị,8:30 - 17:30,Nhân viên,"Bachelor’S Degree, Communication Skills, Customer Orientation, Interpersonal Skills, MS Office",Bất kỳ,Không hiển thị,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Dịch Vụ Khách Hàng, Dịch Vụ Khách Hàng, Ngân hàng, Bachelor’S Degree, Communication Skills, Customer Orientation, Interpersonal Skills, MS Office, United Overseas Bank (Vietnam) Limited (UOB), Hồ Chí Minh",Dịch Vụ Khách Hàng,0,100,,,
Chuyên Viên Tuyển Dụng,Công Ty Cổ Phần Đầu Tư Xây Dựng SOL E&C,"Thành phố Hồ Chí Minh, Việt Nam, Số 96 Phan Đăng Lưu, Phường 05, Quận Phú Nhuận, TP.HCM","- Lập kế hoạch và tổ chức thực hiện tuyển dụng theo kế hoạch;
- Xây dựng thương hiệu tuyển dụng;
- Xây dựng quy trình/ quy định liên quan đến công tác tuyển dụng;
- Phân tích và tổng hợp số liệu báo cáo tuyển dụng;
- Thực hiện các công việc khác khi được phân công.","- Ưu tiên NAM, Tốt nghiệp Đại học chuyên ngành Quản lý nguồn nhân lực, Quản trị doanh nghiệp, Luật, Hành chính và các chuyên ngành liên quan;
- Kinh nghiệm từ 1 – 2 năm (Ưu tiên ứng viên đã làm việc tại công ty xây dựng);
- Tiếng Anh tốt;
- Nhanh nhẹn và giao tiếp tự tin;
- Kỹ năng phỏng vấn tuyển dụng tốt;
- Kỹ năng phân tích và tổng hợp tốt;
- Chịu áp lực tốt và tinh thần trách nhiệm cao.",2025-11-10,Nhân Sự/Tuyển Dụng,Kỹ thuật xây dựng/Cơ sở hạ tầng,1,Không giới hạn,Không hiển thị,,Nhân viên,"Tuyển Dụng, Nhân Sự, Human Resources, Recruitment, HR",Bất kỳ,Người Việt Nam,Nam,,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Kỹ thuật xây dựng/Cơ sở hạ tầng, Tuyển Dụng, Nhân Sự, Human Resources, Recruitment, HR, Công Ty Cổ Phần Đầu Tư Xây Dựng SOL E&C, Hồ Chí Minh",Nhân Sự Tổng Hợp,23,30,,,
Kế Toán Tổng Hợp,Công Ty Cổ Phần Tập Đoàn Sunhouse,"Nhà máy Sunhouse, Lô E-4A1 & lô E-4B-CN, Đường NA2, KCN Mỹ Phước 2, Thị Xã Bến Cát, Tỉnh Bình Dương,, Nhà máy Sunhouse, Km21 Đại lộ Thăng Long, Ngọc Liệp, Xã Kiều Phú, TP Hà Nội, Nhà máy Sunhouse, km21 Đại Lộ Thăng Long, xã Ngọc Liệp, Huyện Quốc Oai, Hà Nội","1. Quản lý thành phẩm
- Tính giá bán sản phẩm
- Kiểm tra xuất thành phẩm của ngày hôm trước, lập hóa đơn bán hàng
- Cung cấp số liệu thành phẩm để P.HCNS tính lương
- Quản lý hàng trả lại:
- Lập phiếu xuất bán thanh lý phế liệu, các loại khác
2. Quản lý nguyên vật liệu
- Ghi nhận công nợ nhà cung cấp
- Xuất bán vật tư
- Đối chiếu & điều chỉnh biên bản kiểm kê trong kho và sản xuất
- Nhập xuất phế phẩm, phế liệu, hàng lỗi
- Kiểm kê và chốt số liệu hao hụt với sản xuất
3. Quản lý CCDC, TSCĐ
- Ghi nhận công nợ nhà cung cấp
- Nhập tài sản
- Xuất bán giữa các nhà máy
- Xuất sử dụng vào sản xuất
- Tập hợp và theo dõi các công trình, dự án TK2411
- Kiểm kê & điều chỉnh CCDC, TSCĐ khi có yêu cầu
- Khấu hao tài sản cố định, phân bổ CCDC
- Theo dõi quản lý sổ TSCĐ
4. Lập báo cáo tài chính
- Kiểm tra các sổ sách, tài khoản, khoản mục chi phí
- Kết chuyển chi phí giá thành
- Complete lệnh sản xuất
- Lên các báo cáo chi phí, báo cáo giá thành, báo cáo bán hàng, bảng kết quả hoạt động SX- KD, bảng cân đối kế toán, cân đối số phát sinh
- In sổ sách báo cáo tài chính
5. Công việc khác
- Thực hiện hiện các công việc theo yêu cầu của quản lý","1. Trình độ học vấn: Cao đẳng trở lên
2. Chuyên môn: chuyên ngành kế toán/ kế toán doanh nghiệp và các ngành liên quan
3. Kinh ngiệm: tối thiểu 2 năm tại vị trí tương đương, 1 năm kinh nghiệm làm trong môi trường sản xuất
4. Khả năng:
- Thành thạo tin học văn phòng (word, excel, phần mềm Misa…)
- Khả năng sắp xếp, phân tích công việc, giải quyết vấn đề tốt
- Khả năng làm việc dưới áp lực cao
- Tư duy logic tốt
- Ưu tiên ứng viên sử dụng hệ thông ERP",2025-11-10,Kế Toán/Kiểm Toán,Sản xuất,2,Không giới hạn,Không hiển thị,,Nhân viên,"Kế Toán Tổng Hợp, Kế Toán, Báo Cáo Tài Chính, Kế Toán Sản Xuất",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tổng Hợp, Sản xuất, Kế Toán Tổng Hợp, Kế Toán, Báo Cáo Tài Chính, Kế Toán Sản Xuất, Công Ty Cổ Phần Tập Đoàn Sunhouse, Bình Dương, Hà Nội",Kế Toán Tổng Hợp,0,100,13800000.0,11500000.0,16100000.0
Nhân Viên Pháp Chế Tại Hà Nội,Công Ty CP Tư Vấn Và Dịch Vụ Viettel,"Tháp Tây, toà nhà Hancorp, 72 Trần Đăng Ninh, Dịch Vọng, Cầu Giấy, Hà Nội., Địa chỉ làm việc: Tháp Tây, toà nhà Hancorp, 72 Trần Đăng Ninh, Dịch Vọng, Cầu Giấy, Hà Nội","1. QUYỀN LỢI
- Thu nhập: Từ 15 – 20 triệu đồng, tùy theo kinh nghiệm và năng lực của ứng viên;
- Thưởng kết quả kinh doanh công ty, thưởng ngày lễ, tết, nghỉ mát;
- Khám sức khỏe định kỳ hằng năm tại bệnh viện uy tín;
- Được hưởng đầy đủ quyền lợi theo quy định của pháp luật;

2. MÔ TẢ CÔNG VIỆC

- Cập nhật, nghiên cứu các văn bản pháp luật liên quan đến hoạt động của Công ty.
- Tham gia xây dựng, soát xét, thẩm định các quy chế, quy định nội bộ.
- Tư vấn cho Ban Lãnh đạo các rủi ro pháp lý có thể phát sinh trong hoạt động kinh doanh.
- Kiểm soát tính tuân thủ pháp luật của các thủ tục, hợp đồng Đầu tư/Mua sắm của Công ty.
- Chuẩn bị hồ sơ pháp lý, tham gia giải quyết tranh chấp, khiếu nại, tố tụng nếu phát sinh.
- Tổ chức các buổi đào tạo, phổ biến kiến thức pháp luật cho cán bộ, nhân viên trong công ty.
- Các công việc khác theo phân công của Cán bộ quản lý","3. YÊU CẦU
- Tốt nghiệp Đại học chuyên ngành Luật (Ưu tiên Luật Doanh ngiệp, Luật Kinh tế, Luật Thương mại, Luật Quốc tế,...) hoặc tương đương.
- Kinh nghiệm: Từ 2 năm trở lên

- Am hiểu pháp luật về doanh nghiệp, thương mại, hợp đồng, đầu tư, lao động, sở hữu trí tuệ....
- Sử dụng thành thạo tin học văn phòng (Excel, Word, Powerpoint).
- Ưu tiên có khả năng giao tiếp bằng tiếng Anh.

ĐỊA CHỈ: Tháp Tây, toà nhà Hancorp, 72 Trần Đăng Ninh, Dịch Vọng, Cầu Giấy, Hà Nội.

THỜI GIAN LÀM VIỆC: 8h00 – 17h30 thứ 2 đến thứ 7 (trong tháng làm 2 ngày thứ 7).",2025-11-10,Pháp Lý,Kỹ thuật xây dựng/Cơ sở hạ tầng,2,Cử nhân,1,,Nhân viên,"Kinh Tế Xây Dựng, Tư Vấn Luật Xây Dựng, Pháp Lý Xây Dựng, Pháp Lý Dự Án Đầu Tư, Luật Đấu Thầu",Bất kỳ,Không giới hạn,Bất kỳ,,Toàn thời gian,"Pháp Lý, Luật Xây Dựng, Kỹ thuật xây dựng/Cơ sở hạ tầng, Kinh Tế Xây Dựng, Tư Vấn Luật Xây Dựng, Pháp Lý Xây Dựng, Pháp Lý Dự Án Đầu Tư, Luật Đấu Thầu, Công Ty CP Tư Vấn Và Dịch Vụ Viettel, Hà Nội",Luật Xây Dựng,23,35,18400000.0,18400000.0,18400000.0
Phó Văn Phòng Quản Lý Chuyển Đổi (Tmo),Ngân Hàng TMCP Việt Nam Thương Tín (Vietbank),"Ho Chi Minh, Ho Chi Minh City, Vietnam, Số 62A CMT8, phường 6, quận 3, TPHCM","- Chịu trách nhiệm các hoạt động của TMO, đảm bảo quá trình vận hành được tối ưu và hiệu quả
- Phối hợp hoạch định chiến lươc, quản lý toàn bộ doanh mục dự án toàn hàng
- Thực hiện trực tiếp hoặc phân công giám sát các dự án chiến lược, trọng điểm
- Báo cáo kết quả cho Ủy ban chiến lược","- Tốt nghiệp: Đại học trở lên
- Ưu tiên: Kinh nghiệm 15 năm trong lĩnh vực tài chính ngân hàng và có ít nhất 5 năm kinh nghiệm ở vị trí tương đương (cấp bậc tương đương Ban Giám đốc Khối/Ban)",2025-11-10,Kiến Trúc/Xây Dựng,Ngân hàng,15,Cử nhân,Không hiển thị,,Giám Đốc và Cấp Cao Hơn,"Chiến Lược Chuyển Đổi, Quản Lý Dự Án, Quản Lý Tài Chính Ngân Hàng",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kiến Trúc/Xây Dựng, Quản Lý Dự Án, Ngân hàng, Chiến Lược Chuyển Đổi, Quản Lý Dự Án, Quản Lý Tài Chính Ngân Hàng, Ngân Hàng TMCP Việt Nam Thương Tín (Vietbank), Hồ Chí Minh",Quản Lý Dự Án,0,100,,,
Digital Marketing Executive,Uhomes.com Việt Nam,"VIT Tower, 519 Kim Mã, Ba Đình, Hà Nội, Hanoi Office: 10F, VIT Tower, 519 Kim Ma, Ba Dinh, Hanoi, Vietnam","About Us

Established in 2015, Uhomes.com is one of the leading accommodation booking platforms for global students.

Since 2015, Uhomes has an international operation with offices located in the many key cities such as London, New York, Boston, Los Angeles, Beijing, Tianjin, Mumbai, Pune, Kuala Lumpur and operations in over 27 countries or regions. We continue to look for expansion into multiple countries as well as to diversify our property portfolios.
Who are we looking for:
The Digital Marketing Executive will be responsible for managing and growing our social media channels, fostering community engagement, and creating and executing comprehensive marketing strategies to promote assigned products. This role requires a strategic thinker with strong communication skills, a deep understanding of social media trends, community management, and the ability to work collaboratively with cross-functional teams.

Your working arrangements would be as below:
• Working time: 8:00 - 17:00, Mon – Friday
• Location: 10F, VIT Tower, 519 Kim Ma, Hanoi

Responsibilities
• Produce, plan and manage a monthly calendar, engaging visual and written content for social media platforms, including but not limited to, Youtube, TikTok, Facebook & Instagram
• Conduct market analysis and research to identify the latest trends, and assist in developing a social media content calendar to maintain a consistent posting schedule.
• Source and curate user-generated content, as well as relevant industry news, articles and trends for sharing on social media
• Work closely with different teams to ensure content aligns with ongoing marketing campaigns, sales initiatives, and promotions.
• Proficient in content creation tools such as editing software, Canva, and various social media apps.
• Engage with the online community by responding to comments, messages, and mentions, while tracking key social media metrics to measure content performance and campaign success
• Analyze industry and competitor trends to propose new digital content
• Stay current with social media trends, platform updates, and emerging technologies and explore fresh concepts for content curation and be receptive to new approaches
• Collaborate with partnership team to organize and follow up with monthly offline events
• Attend the company events, interacting with events attendees for the purpose of improving conversion
• Track and report on all marketing activity performance using analytics tools
• Other specialized tasks as required by the job","Qualifications
• Bachelor’s degree in Marketing, Communications, Business, or a related field
• 3-5 years of experience in social media management, community engagement, and marketing/ digital marketing
• Proven track record of developing and executing social media platforms
• Strong understanding of social media platforms, trends, and best practices
• Excellent written and verbal communication skills
• Proficient in social media management tools and analytics platforms
• Ability to work effectively in a fast-paced, dynamic environment
• Experience with content creation and graphic design tools is a plus.
Why join us?
• Professional development and training opportunities, including overseas training programs
• Opportunity for detailed learning about business operations
• Room for influence and impact in a flat organizational structure
• A supportive culture and a young dynamic team will make you feel at Uhomes.com
Find out more about us:
• Website: https://VN.uhomes.com/
• Facebook: www.facebook.com/uhomesvietnam.official",2025-11-10,"Tiếp Thị, Quảng Cáo/Truyền Thông",Bất Động Sản/Cho thuê,3,Cử nhân,Không hiển thị,,Nhân viên,"Social Media Management, Brand & Community Engagement, Digital Marketing, Market Analysis, Marketing Campaign Management",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị Trực Tuyến, Bất Động Sản/Cho thuê, Social Media Management, Brand & Community Engagement, Digital Marketing, Market Analysis, Marketing Campaign Management, Uhomes.com Việt Nam, Hà Nội",Tiếp Thị Trực Tuyến,0,100,12650000.0,11500000.0,13800000.0
