Title,Company,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max,salary_avg_vnd,salary_mins,salary_maxs
Visual Merchandiser,"Emers Vietnam Co., Ltd","Mapletree Business Centre, 1060 Đường Nguyễn Văn Linh, Tân Hưng, Hồ Chí Minh, Việt Nam, 9th floor, Mapletree Business Centre 1060 Nguyen Van Linh Street, Tan Hung Ward, HCMC","- Collaborate and communicate with relevant departments for store display routine adjustments.
- Responsible for displaying merchandise in designated areas according to brand guidelines and preparing monthly reports.
- Conceptualize and execute seasonal theme windows and DP designs.
- Participate in discussions for store opening plans and contribute to visual concepts within the store.
- Advisor to the company‘s customer about VM at their store.","- Ability to work independently and strong communication skills.
- Proficiency in planning and managing inventory of props warehouses.
- Strong spatial awareness.
- Extensive experience in communication with engineering companies.
- Proficient in Illustrator / Photoshop.",2025-08-22,Bán Lẻ/Tiêu Dùng,Bán lẻ/Bán sỉ,2,Cử nhân,1,,Nhân viên,"Visual Merchandising, Store Decoration, Fashion, Design, Adobe Illustrator",Tiếng Anh,Người Việt Nam,Bất kỳ,,Toàn thời gian,"Bán Lẻ/Tiêu Dùng, Trợ Lý Bán Lẻ, Bán lẻ/Bán sỉ, Visual Merchandising, Store Decoration, Fashion, Design, Adobe Illustrator, Emers Vietnam Co., Ltd, Hồ Chí Minh",Trợ Lý Bán Lẻ,0,100,,,
Kinh Doanh Xuất Khẩu,Công ty TNHH Công nghệ Meditec,"Bắc Ninh, Vietnam, Đường N3-2, KCN Đại Đồng, Bắc Ninh","* Phát triển thị trường:
- Tìm kiếm và đánh giá khách hàng tiềm năng
- Quản lý nguồn khách hàng quốc tế.
- Phát triển thị trường xuất khẩu về thiết bị y tế do Meditec sản xuất

* Triển khai dự án:
- Tham gia xây dựng và thực hiện chiến lược bán hàng xuất khẩu.
- Phối hợp với Bộ phận Tài chính xây dựng phương án giá.
- Chịu trách nhiệm đàm phán về giá & xây dựng chính sách bán hàng cho hàng xuất khẩu.
- Kết hợp cùng các bộ phận để triển khai đơn hàng.
- Theo dõi đánh giá liên tục hiệu quả dự án. Cập nhật thông tin quản lý rủi ro về tài chính của dự án.
- Tư vấn, hỗ trợ thủ tục xuất khẩu

* Báo cáo:
- Lập báo cáo hàng tháng để theo dõi tiến độ hoàn thành mục tiêu bán hàng.
- Theo dõi doanh thu bán hàng, tiến độ thanh toán, tiến độ thực hiện hợp đồng.

* Dữ liệu:
- Duy trì và phát triển cơ sở dữ liệu khách hàng tiềm năng và hiện tại.
- Cải thiện và tối ưu hóa quy trình bán hàng và giải quyết khiếu nại của khách hàng","• Tốt nghiệp Đại học trở lên chuyên ngành: Kinh tế đối ngoại, Kinh doanh quốc tế, Quản trị Marketing, Quản trị Kinh doanh, ...
• Tiếng Anh giao tiếp tốt.
• Có kinh nghiệm tìm kiếm Khách hàng Quốc tế.
• Tối thiểu từ 3 năm kinh nghiệm ở vị trí tương đương tại các công ty sản xuất.
• Kiến thức về nghiên cứu, khảo sát thị trường, điều kiện thương mại quốc tế,..
• Có khả năng làm việc độc lập và chịu được áp lực cao.
• Là người mạnh mẽ, quyết đoán.",2025-08-22,Kinh Doanh,Thiết bị y tế,3,Cử nhân,1,07:00 - 16:00,Trưởng phòng,"Giao Tiếp Tiếng Anh, Kinh Doanh Xuất Nhập Khẩu, Phân Tích Thị Trường, Quản Trị Khách Hàng",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2  đến Thứ 7,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Thiết bị y tế, Giao Tiếp Tiếng Anh, Kinh Doanh Xuất Nhập Khẩu, Phân Tích Thị Trường, Quản Trị Khách Hàng, Công ty TNHH Công nghệ Meditec, Bắc Ninh",Bán Hàng/Phát Triển Kinh Doanh,25,45,24150000.0,20700000.0,27600000.0
Phó Giám Đốc,Công ty TNHH Công nghệ Meditec,"Bắc Ninh, Vietnam, Đường N3-2, KCN Đại Đồng, Bắc Ninh","I. Kinh doanh
+ Phối hợp lên chiến lược, kế hoạch kinh doanh, xây dựng chính sách bán hàng, quản lý các hoạt động bán hàng, chăm sóc khách hàng trong nước và xuất khẩu.
+ Tăng trưởng doanh thu và mở rộng thị phần, đề xuất các giải pháp, thực thi các kế hoạch kinh doanh để đảm bảo đạt được các mục tiêu KPIs quý/năm.

II. Quản lý sản xuất:
+ Triển khai, chỉ đạo và điều hành hoạt động sản xuất tại Nhà máy theo kế hoạch/chỉ tiêu đã được phê duyệt.
+ Đảm bảo hoàn thành các chỉ tiêu/kế hoạch sản xuất tại Nhà máy theo kế hoạch kinh doanh
+ Kiểm tra, đánh giá và báo cáo định kỳ hàng tuần đối với tình hình sản xuất, hiệu quả lao động, quy trình sản xuất và những bất thường (nếu có) tại Nhà máy.

III. Phụ trách hệ thống quản lý chất lượng của nhà máy
+ Là đại diện chất lượng của nhà máy:
+ Ký phê duyệt ban hành các qui trình trong hệ thống QLCL
+ Phụ trách thanh tra, giám sát và đánh giá hoạt động của hệ thống QLCL

IV. Phát triển sản phẩm mới
+ Đầu mối cuả nhà máy làm việc với các đối tác liên quan tới vấn đề sản phẩm, kỹ thuật sản xuất.
+ Chịu trách nhiệm xây dựng costing, quản lý tiến độ, quản lý chi phí, quản lý nguồn lực, quản trị rủi ro... các dự án phát triển sản phẩm mới.
+ Đầu mối của nhà máy tham gia nghiệm thu các dự án.

V. Kỹ thuật cơ điện
+ Điều hành giám sát toàn bộ hoạt động của kỹ thuật
+ Đảm bảo tuân thủ quy định vận hành tốt các hoạt động an toàn môi trường, PCCC.","• Tốt nghiệp Đại học chuyên ngành Kỹ thuật, Kinh doanh..
• Ít nhất 5 năm kinh nghiệm làm việc ở các nhà máy ở vai trò Phó Giám đốc.
• Có kinh nghiệm quản lý dự án, quản lý kinh doanh sản xuất.
• Có kinh nghiệm Quản lý sản xuất, công nghệ sản xuất.
• Tiếng Anh giao tiếp tốt.",2025-08-22,Kinh Doanh,Sản xuất,5,Cử nhân,1,07:00 - 16:00,Giám Đốc và Cấp Cao Hơn,"Giám Sát Vận Hành Máy Móc, Kinh Doanh, Kỹ Năng Quản Lý, Quản Lý Chất Lượng, Quản Trị Sản Xuất",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2  đến Thứ 7,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Sản xuất, Giám Sát Vận Hành Máy Móc, Kinh Doanh, Kỹ Năng Quản Lý, Quản Lý Chất Lượng, Quản Trị Sản Xuất, Công ty TNHH Công nghệ Meditec, Bắc Ninh",Bán Hàng/Phát Triển Kinh Doanh,30,50,40250000.0,34500000.0,46000000.0
Chuyên Viên Cao Cấp Giải Pháp Giao Dịch,Công Ty Cổ Phần Chứng Khoán SSI,"Phường Gia Định, TP Hồ Chí Minh, 1C Ngô Quyền - Hoàn Kiếm - Hà Nội","- Tiếp nhận và theo dõi thực hiện các công việc theo phân công của Trương Phòng/Phó Phòng/Trưởng nhóm;
- Nghiên cứu/tìm kiếm/đề xuất công cụ mới nhằm tối ưu hóa công việc vận hành;
- Xây dựng tài liệu mô tả nghiệp vụ/tính năng hệ thống trong việc phát triển/cải tiến SP-DV;
- Xây dựng kịch bản thử nghiệm và thực hiện kiểm thử các tính năng hệ thống;
- Xây dựng kế hoạch triển khai giải pháp hệ thống;
- Lưu trữ các phiên bản tài liệu yêu cầu hệ thống liên quan đến Dịch vụ Giao dịch;
- Soạn thảo tài liệu đào tạo, hướng dẫn sử dụng tính năng hệ thống;
- Hỗ trợ cho các Khối Kinh Doanh trong quá trình vận hành Dịch vụ Giao dịch; Giải đáp thắc mắc về luồng vận hành hệ thống, chức năng hệ thống các vấn đề phát sinh liên quan; Tư vấn, hỗ trợ xử lý lỗi hệ thống, các vấn đề liên quan đến chức năng hệ thống;
- Mô tả phân quyền người dùng; Soạn Quy trình...
- Chủ động nghiên cứu/tìm kiếm các công cụ hỗ trợ thực hiện, quản lý công việc được hiệu quả, nhanh chóng;","- Tốt nghiệp Đại hệ chính quy các chuyên ngành Tài chính, Ngân hàng, Kiểm Toán, Chứng khoán, Kinh tế, Luật...
- Ưu tiên ứng viên có Chứng chỉ hành nghề;
- Có ít nhất 2 năm kinh nghiệm làm việc trong ngành Chứng khoán;
- Có kiến thức chuyên sâu về thị trường chứng khoán, đặc biệt thị trường chứng khoán Việt nam/các quy định pháp luật liên quan đến hoạt động giao dịch chứng khoán;
- Có các nhóm kỹ năng: Kỹ năng quản lý; Kỹ năng lập kế hoạch và triển khai; Kỹ năng phân tích và giải quyết vấn đề; Kỹ năng làm việc nhóm; Kỹ năng trình bày; Kỹ năng viết;
- Tư duy logic;
- Có khả năng làm việc dưới áp lực cao;
- Tiếng Anh: giao tiếp, đọc hiểu;
- Sử dụng thành thạo tin học văn phòng;
- Nhanh nhẹn, nhiệt tình.",2025-08-22,Ngân Hàng & Dịch Vụ Tài Chính,Chứng khoán,2,Cử nhân,Không hiển thị,,Nhân viên,"Tối Ưu Hóa Quy Trình, Giao Dịch Chứng Khoán, Giải Pháp Cải Tiến, Core Securities System",Bất kỳ,Người Việt Nam,Bất kỳ,,Toàn thời gian,"Ngân Hàng & Dịch Vụ Tài Chính, Môi Giới & Giao Dịch Chứng Khoán, Chứng khoán, Tối Ưu Hóa Quy Trình, Giao Dịch Chứng Khoán, Giải Pháp Cải Tiến, Core Securities System, Công Ty Cổ Phần Chứng Khoán SSI, Hồ Chí Minh",Môi Giới & Giao Dịch Chứng Khoán,0,100,,,
PE Maintenance Technician,CÔNG TY TNHH UE VIỆT NAM,Hai Duong City - Vietnam,"To perform routine preventive maintenance tasks to ensure equipment runs reliably, safely, and efficiently with minimal downtime.
Thực hiện công việc kiểm tra, bảo trì thiết bị định kỳ nhằm đảm bảo hoạt động liên tục, an toàn và giảm thiểu sự cố trong sản xuất.
Essential Duties and Responsibilities/ Nhiệm vụ và trách nhiệm chủ yếu
The duties listed below are intended only as examples of the various types of work that may be performed. The omission of specific statements of duties does not exclude them from the position if the work is similar, related or a logical assignment to this class.
Dưới đây là các nhiệm vụ chính yếu của vị trí này, ngoài những công việc chủ yếu dưới đây vị trí này cũng sẽ đảm nhiệm những công việc có liên quan hoặc được phân công hợp lý từ người quản lý.
1. Perform preventive maintenance tasks as scheduled.
Thực hiện các công việc bảo trì định kỳ theo kế hoạch đã phân công.
2. Inspect, clean, tighten, lubricate, and replace worn-out parts.
Kiểm tra, vệ sinh, siết chặt, bôi trơn, thay thế các linh kiện hao mòn.
3. Record maintenance results and report any abnormalities.
Ghi chép kết quả bảo trì, báo cáo tình trạng bất thường của thiết bị.
4. Follow technical procedures and safety guidelines.
Tuân thủ quy trình kỹ thuật và an toàn trong khi làm việc.
5. Coordinate with production teams for timely maintenance execution.
Phối hợp với các bộ phận sản xuất để sắp xếp thời gian bảo trì hợp lý.
6. Support minor troubleshooting under the guidance of engineers or supervisors.
Hỗ trợ xử lý sự cố nhỏ theo hướng dẫn của kỹ sư hoặc giám sát.
7. Conduct post-maintenance checks to ensure equipment stability.
Kiểm tra thiết bị sau bảo trì, đảm bảo hoạt động ổn định trước khi bàn giao.
8. Other tasks dully assigned by the supervisor.
Hoàn thành các công việc khác theo phân công của cấp trên.","1. Minimum 2 years of maintenance experience.
2. Able to read technical drawings and use measuring tools such as a digital multimeter, oscilloscope, spectrum analyzer, and signal generator.
3. Basic English communication.",2025-08-22,Kỹ Thuật,Cơ khí/Máy móc/Thiết bị công nghiệp,2,Cử nhân,1,9:00 - 18:00,Nhân viên,"Basic English, Measuring Instruments, Predictive Maintenance, Task Coordination, Technical Drawing Reading",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Kỹ Thuật, Bảo trì/Bảo Dưỡng, Cơ khí/Máy móc/Thiết bị công nghiệp, Basic English, Measuring Instruments, Predictive Maintenance, Task Coordination, Technical Drawing Reading, CÔNG TY TNHH UE VIỆT NAM, Hải Dương",Bảo trì/Bảo Dưỡng,0,100,,,
"FA Sr. Lean, Six-Sigma Officer",CÔNG TY TNHH UE VIỆT NAM,Hai Duong City - Vietnam,"The primary responsibility of a Lean Six Sigma Senior Engineer is to improve the performance and quality of processes within an organization by applying Lean and Six Sigma methodologies and tools. They work to eliminate waste, reduce errors, and optimize workflows, thereby improving productivity, reducing costs, and increasing customer satisfaction.
Essential Duties and Responsibilities:
The duties listed below are intended only as examples of the various types of work that you may be asked to perform. The omission of specific statements of duties does not exclude them from the position if the work is similar, related or a logical assignment to this class. You may be asked to perform other duties as assigned from time to time.
Specifically, the duties of a Lean Six Sigma Senior Engineer include:
1. Use statistical and data analysis tools to identify problems, root causes, and improvement opportunities in the process.
2. Develop improvement solutions, including process, technology, and people solutions, to address identified problems.
3. Analyze and improve production processes.
4. Survey the current state of production lines.
5. Collect and analyze data (cycle time, defect rate, productivity, etc.)
6. Propose improvement solutions to increase efficiency, reduce defects, and lower costs.
7. Plan and monitor the progress of improvement projects.
8. Evaluate post-improvement effectiveness (e.g., reduced cycle time, increased output, lower labor costs).
9. Prepare operation manuals (WI) and troubleshooting guides.
10. Comply with quality and safety standards; ensure all equipment and improvements meet ISO, EHS, 5S, and Kaizen standards.
11. Coordinate with QA/PE to ensure product quality is not affected after improvements.
12. Guide and manage Lean Six Sigma projects, from planning, implementation, to monitoring and evaluating results.
13. Instruct and coach employees on Lean Six Sigma principles and tools, helping them apply these methods to their daily work.
14. Contributing to building an organizational culture focused on continuous improvement, encouraging everyone to participate in finding improvement opportunities.
15. Monitoring and evaluating the effectiveness of improvement projects, ensuring that changes bring about the desired results.
16. Reporting progress, presenting improvement results to management and stakeholders.
17. Others as assigned by Assistant Manager.","1. Knowledge of Kaizen, Lean, Six- Sigma.
2. From 2-3 years of experience in Lean Six- Sigma improvement activities, Green/Black Belt is an advantage.
3. Priority is given to candidates with knowledge of one of the following standards: ISO 45001:2018, 9001:2015, ISO 14001:2015.
4. Proficient in English 4 skills.
5. Experience in ERP systems is a plus.
6. Proficient in tools such as AutoCAD, advanced Excel, Power BI, and Minitab.
7. Good at team-work leadership, communication, and problem-solving skills.",2025-08-22,Sản Xuất,Cơ khí/Máy móc/Thiết bị công nghiệp,2,Cử nhân,1,9:00 - 18:00,Nhân viên,"ERP Systems, Lean Six Sigma, Process Improvement, Statistical Analysis, Teamwork",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Sản Xuất, Hoạch Định & Quản Lý Sản Xuất, Cơ khí/Máy móc/Thiết bị công nghiệp, ERP Systems, Lean Six Sigma, Process Improvement, Statistical Analysis, Teamwork, CÔNG TY TNHH UE VIỆT NAM, Hải Dương",Hoạch Định & Quản Lý Sản Xuất,0,100,,,
PE Test Technician,CÔNG TY TNHH UE VIỆT NAM,Hai Duong City - Vietnam,"Position Summary/Tóm lược về vị trí
Taking responsibility for the temporary handling of irregularities related testing stations, to be responsible for monitoring UPH and UPPH of production lines, supporting layout, program setup and receiving new products transfer and so on.
Chịu trách nhiệm về việc xử lý tạm thời các vấn đề bất thường liên quan đến các trạm kiểm tra chức năng sản phẩm, chịu trách nhiệm theo dõi UPH và UPPH của các chuyền sản xuất, hỗ trợ layout, thiết lập chương trình, nhận chuyển giao các sản phẩm mới.
Essential Duties and Responsibilities/ Nhiệm vụ và trách nhiệm chủ yếu
The duties listed below are intended only as examples of the various types of work that may be performed. The omission of specific statements of duties does not exclude them from the position if the work is similar, related or a logical assignment to this class.
Dưới đây là các nhiệm vụ chính yếu của vị trí này, ngoài những công việc chủ yếu dưới đây vị trí này cũng sẽ đảm nhiệm những công việc có liên quan hoặc được phân công hợp lý từ người quản lý.
1. Execute manual and automated test procedures on electronic assemblies to verify functionality and compliance with specifications.
Thực hiện các quy trình kiểm tra thủ công và tự động trên các cụm điện tử để xác minh chức năng và tuân thủ các thông số kỹ thuật.
2. Operate production test equipment and follow defined test strategies to ensure product quality and performance.
Vận hành thiết bị kiểm tra sản xuất và tuân theo các chiến lược kiểm tra đã xác định để đảm bảo chất lượng và hiệu suất của sản phẩm.
3. Support test coverage validation by accurately following test instructions and reporting unexpected results or failures.
Hỗ trợ xác thực phạm vi kiểm tra bằng cách tuân thủ chính xác các hướng dẫn kiểm tra và báo cáo kết quả hoặc lỗi không mong muốn.
4. Record and analyze test data, flag yield issues, and escalate recurring failures to engineering for root cause analysis.
Ghi lại và phân tích dữ liệu kiểm tra, đánh dấu các vấn đề về năng suất và chuyển các lỗi lặp lại đến bộ phận kỹ thuật để phân tích nguyên nhân gốc rễ.
5. Perform basic troubleshooting of test stations and units under test, including identification of component-level failures.
Thực hiện khắc phục sự cố cơ bản của các trạm kiểm tra và đơn vị đang được kiểm tra, bao gồm xác định lỗi ở cấp độ thành phần.
6. Use test software tools (e.g., LabVIEW-based UIs or in-house applications) to run diagnostics and log results.
Sử dụng các công cụ phần mềm kiểm tra (ví dụ: UI dựa trên LabVIEW hoặc các ứng dụng nội bộ) để chạy chẩn đoán và ghi lại kết quả.
7. Assist with the maintenance and calibration of test fixtures and equipment to ensure reliable operation.
Hỗ trợ bảo trì và hiệu chuẩn các thiết bị và đồ gá kiểm tra để đảm bảo hoạt động đáng tin cậy.
8. Follow work instructions and standard procedures to support consistent and repeatable test outcomes across shifts.
Thực hiện các hướng dẫn làm việc và quy trình chuẩn để hỗ trợ kết quả kiểm tra nhất quán và có thể lặp lại trong các ca làm việc.
9. Support audits and customer visits by demonstrating proper test processes and ensuring traceability of test results.
Hỗ trợ kiểm toán và thăm khách hàng bằng cách trình diễn các quy trình kiểm tra phù hợp và đảm bảo khả năng truy xuất nguồn gốc của kết quả kiểm tra.
10. Participate in continuous improvement initiatives aimed at reducing test time, improving yields, and supporting overall factory efficiency.
Tham gia vào các sáng kiến cải tiến liên tục nhằm mục đích giảm thời gian kiểm tra, cải thiện năng suất và hỗ trợ hiệu quả chung của nhà máy.
11. Other tasks as duly assigned by Superior.
Hoàn thành các công việc khác theo phân công của cấp trên.","1. 3+ years working experience.
2. Good at English preferred.
3. Experienced in FCT machine, Programming machine, and product error analysis etc.",2025-08-22,Sản Xuất,Sản xuất,3,Cử nhân,1,9:00 - 18:00,Nhân viên,"English Communication, Equipment Testing, Test Lab, Test Method Validation, Troubleshooting",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Sản Xuất, Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng, Sản xuất, English Communication, Equipment Testing, Test Lab, Test Method Validation, Troubleshooting, CÔNG TY TNHH UE VIỆT NAM, Hải Dương",Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,0,100,,,
Chuyên Viên Truyền Thông Thương Hiệu,Công Ty Cổ Phần Bibomart TM,"Tầng 10, tòa nhà Handico (đối diện tòa nhà Keangnam), số 1 Mễ Trì, quận Nam Từ Liêm, Hà Nội, Tầng 10, tòa nhà Handico (đối diện tòa nhà Keangnam), số 1 Mễ Trì, quận Nam Từ Liêm, Hà Nội","1. MÔ TẢ CÔNG VIỆC:
_ Xây dựng & quản lý hình ảnh/nhận diện của thương hiệu Bibo Mart, Ecosystem Bon, nâng cao giá trị thương hiệu cho doanh nghiệp hoặc dự án thương hiệu mới
_ Đề xuất & triển khai các hoạt động đồng hợp tác nâng cao uy tín thương hiệu
_ Triển khai, giám sát các kế hoạch truyền thông thương hiệu.
_ Triển khai tuyến nội dung đảm bảo định vị thương hiệu đồng nhất - hiệu quả.
_ Duy trì & phát triển các mối quan hệ với báo chí, đối tác truyền thông, marketing, hợp tác doanh nghiệp.
_ Quản lý hiệu quả ngân sách truyền thông.
_ Phát hiện, ngăn chặn & xử lý khủng hoảng truyền thông (nếu có)","2. YÊU CẦU:
- Tốt nghiệp Đại học chuyên ngành Ngôn ngữ/ Báo chí/ Truyền thông/ Marketing…
- Ứng viên có kinh nghiệm trong đúng mảng công việc liên quan từ 1-2 năm trở lên.
- Ứng viên có kinh nghiệm làm việc tại công ty công nghệ là lợi thế
- Ưu tiên ngoại hình sáng, hoạt ngôn, tư duy tốt có khả năng lên kế hoạch
- Trung thực, cẩn thận, chịu khó, tinh thần trách nhiệm cao, chịu được áp lực công việc
- Nhiệt tình, có tinh thần cầu tiến.",2025-08-22,Công Nghệ Thông Tin/Viễn Thông,Bán lẻ/Bán sỉ,2,Không giới hạn,2,,Nhân viên,"Truyền Thông Doanh Nghiệp, Truyền Thông Thương Hiệu, Công Nghệ, Ecosystem, Công cụ TMĐT",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Công Nghệ Thông Tin/Viễn Thông, Chuyển Đổi Số, Bán lẻ/Bán sỉ, Truyền Thông Doanh Nghiệp, Truyền Thông Thương Hiệu, Công Nghệ, Ecosystem, Công cụ TMĐT, Công Ty Cổ Phần Bibomart TM, Hà Nội",Chuyển Đổi Số,0,100,14950000.0,11500000.0,18400000.0
Process Engineer,CÔNG TY TNHH UE VIỆT NAM,Hai Duong City - Vietnam,"Position Summary:
The Process Engineer plays a critical role in developing, optimizing, and sustaining manufacturing processes for electronic assemblies. This position focuses on improving product quality, throughput, and cost-efficiency by analyzing process performance, introducing new technologies, and ensuring process control. The Process Engineer collaborates closely with design, production, quality, and test engineering teams to support continuous improvement initiatives, resolve production issues, and ensure a smooth transition of new products into volume manufacturing. Strong knowledge of electronics manufacturing techniques—such as SMT, soldering, PCB handling, and assembly is essential.
Essential Duties and Responsibilities:
The duties listed below are intended only as examples of the various types of work that you may be asked to perform. The omission of specific statements of duties does not exclude them from the position if the work is similar, related or a logical assignment to this class. You may be asked to perform other duties as assigned from time to time.
1. Develop and optimize manufacturing processes for electronic assemblies, ensuring consistency, quality, and efficiency in production.
2. Create and review process routings to support new product quotes, cost models, and process improvement initiatives.
3. Analyze process capability and yield data to identify trends, root causes of issues, and implement corrective/preventive actions.
4. Define and document standard operating procedures (SOPs), work instructions, and visual aids to ensure consistency in manufacturing practices.
5. Lead trials and qualifications for new materials, equipment, and processes, ensuring successful integration into production.
6. Collaborate with cross-functional teams—including Quality, Test, and Design Engineering—to support DFM (Design for Manufacturability) and NPI (New Product Introduction).
7. Support cost-reduction and productivity improvement projects through process redesign, automation, and layout optimization.
8. Ensure compliance with safety, environmental, and regulatory standards in all process-related activities.
9. Provide technical support to production teams, troubleshoot process-related issues, and serve as a subject matter expert for assigned areas.
10. Maintain accurate documentation of process changes, validations, and performance metrics in accordance with internal and customer requirements.","1. Strong understanding of PCB assembly processes, including SMT, wave soldering, reflow, hand soldering, and final assembly.
2. Experience with process routing creation, time studies, and line balancing in support of quoting, costing, and production planning.
3. Familiarity with lean manufacturing, Six Sigma, and process control methodologies to drive continuous improvement.
4. Proficiency in English is required; Chinese language skills are desirable for communication with global teams and suppliers.
5. Hands-on experience with manufacturing tools and systems, such as MES, ERP, CAD viewers, and data analysis platforms.",2025-08-22,Sản Xuất,Sản xuất,1,Cử nhân,1,08:00 - 17:00,Nhân viên,"English Language Proficiency, Lean Manufacturing, PCB Process, Process Control, Six Sigma",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Sản Xuất, Quy Trình & Lắp Ráp, Sản xuất, English Language Proficiency, Lean Manufacturing, PCB Process, Process Control, Six Sigma, CÔNG TY TNHH UE VIỆT NAM, Hải Dương",Quy Trình & Lắp Ráp,0,100,,,
Trưởng Phòng Cao Cấp Giải Pháp Giao Dịch,Công Ty Cổ Phần Chứng Khoán SSI,"Phường Gia Định, TP Hồ Chí Minh, 1C Ngô Quyền - Hoàn Kiếm - Hà Nội","1. Mục tiêu công việc

Lãnh đạo việc thiết kế, cải tiến và số hóa quy trình vận hành các dịch vụ giao dịch (tài khoản, thanh toán, chứng khoán); ứng dụng công nghệ nhằm nâng cao hiệu quả hoạt động, tối ưu hóa trải nghiệm khách hàng và hỗ trợ mục tiêu kinh doanh của công ty.

2. Thông điệp tuyển dụng

Bạn là người có tư duy đổi mới, đam mê công nghệ và mong muốn tạo ra những đột phá trong vận hành dịch vụ tài chính?
SSI đang tìm kiếm một Trưởng phòng cao cấp Giải pháp giao dịch – người dẫn dắt các sáng kiến số hóa, ứng dụng công nghệ tiên tiến như RPA, AI, BPM, API tích hợp, để tái định hình quy trình vận hành, cải tiến liên tục nâng cao hiệu suất, trải nghiệm người dùng nội bộ và trải nghiệm khách hàng.
Đây là cơ hội để bạn thực sự tạo dấu ấn trong một môi trường chuyên nghiệp, năng động và định hướng công nghệ.

3. Chức năng chính của Phòng Giải pháp giao dịch

Phát triển và cải tiến quy trình vận hành mảng dịch vụ giao dịch.
Số hóa, tự động hóa quy trình, ứng dụng công nghệ vào vận hành.
Quản lý, điều phối hoạt động và nhân sự trong bộ phận.
4. Nhiệm vụ chính

Thiết kế và cải tiến quy trình vận hành sản phẩm/dịch vụ giao dịch chứng khoán.
Triển khai các giải pháp số hóa và tự động hóa: RPA, BPM, tích hợp API, AI hỗ trợ vận hành.
Quản lý dự án và công việc theo kế hoạch.
Phát triển đội ngũ nhân sự.","- Trình độ học vấn: Đại học chính quy trở lên chuyên ngành Tài chính, Ngân hàng, Quản trị kinh doanh, Công nghệ thông tin; Có chứng chỉ hành nghề theo quy định của Pháp luật chứng khoán hiện hành;
- Kinh nghiệm:
+Tối thiểu 5 năm trong lĩnh vực vận hành dịch vụ tài chính/chứng khoán.
+Ít nhất 3 năm ở vị trí quản lý cấp trung/cao cấp.
+Kinh nghiệm quản lý dự án và triển khai các hệ thống core chứng khoán, hệ thống nội bộ mảng dịch vụ chứng khoán, CRM .
- Kiến thức chuyên môn:
+Hiểu biết sâu về quy trình vận hành dịch vụ giao dịch.
+Am hiểu công nghệ số hóa: RPA, BPM, AI, API tích hợp.
- Kỹ năng:
+Lãnh đạo, quản lý dự án, phân tích và ra quyết định.
+Kỹ năng phân tích và giải quyết vấn đề;
+Giao tiếp, trình bày, làm việc nhóm.
+Thành thạo tiếng Anh, công cụ văn phòng, công cụ quản lý dự án.
+Có kiến thức chuyên sâu về thị trường chứng khoán, đặc biệt thị trường chứng khoán Việt nam/ các Quy định pháp luật liên quan đến hoạt động Giao Dịch chứng khoán;
+Kỹ năng đào tạo và phát triển đội ngũ;
+Kỹ năng quy hoạch mảng nghiệp vụ, soạn thảo văn bản chất lượng.",2025-08-22,Ngân Hàng & Dịch Vụ Tài Chính,Chứng khoán,5,Cử nhân,1,,Trưởng phòng,"CRM, Core Securities System, API, Dịch Vụ Chứng Khoán, Giao Dịch Chứng Khoán",Bất kỳ,Người Việt Nam,Bất kỳ,,Toàn thời gian,"Ngân Hàng & Dịch Vụ Tài Chính, Môi Giới & Giao Dịch Chứng Khoán, Chứng khoán, CRM, Core Securities System, API, Dịch Vụ Chứng Khoán, Giao Dịch Chứng Khoán, Công Ty Cổ Phần Chứng Khoán SSI, Hồ Chí Minh",Môi Giới & Giao Dịch Chứng Khoán,0,100,,,
